"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"6360"	"Cipralex 20mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Escitalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"79313"	"Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes"	"Prolonged-release suspension for injection"	"Intramuscular"	"Paliperidone"	"200mg/1ml"	"Antipsychotic Depot Injections"	"Paliperidone"	"Antipsychotics"
"38885"	"Quetiapine 50mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Quetiapine"	"50mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"58703"	"Largactil 50mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"50mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"75075"	"Citalopram 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"50214"	"Olanzapine 5mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Olanzapine"	"5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"31168"	"MIRTAZAPINE"	NA	NA	"Mirtazapine"	NA	"Unknown"	"Mirtazapine"	"Antidepressants"
"89063"	"Levomepromazine 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Levomepromazine"	"10mg/1ml"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"	"Antipsychotics"
"76317"	"Dosulepin 25mg capsules (Strides Pharma UK Ltd)"	"Oral capsule"	"Oral"	"Dosulepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"10645"	"Ludiomil 25mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Maprotiline"	"25mg"	"Unknown"	"Maprotiline"	"Antidepressants"
"66201"	"Nortriptyline 25mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Nortriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"34216"	"Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Fluoxetine"	"4mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"28147"	"Taractan 15mg Tablet (Roche Products Ltd)"	"Tablet"	"Oral"	"Chlorprothixene"	"15mg"	"Antipsychotic Products"	"Chlorprothixene"	"Antipsychotics"
"26800"	"Loxapac 50mg capsules (Wyeth Pharmaceuticals)"	"Oral capsule"	"Oral"	"Loxapine"	"50mg"	"Unknown"	"Loxapine"	"Antipsychotics"
"84320"	"Risperidone 250micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"Risperidone"	"50microgram/1ml"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"89570"	"Fluoxetine 20mg/5ml oral solution (Phoenix Healthcare Distribution Ltd)"	"Oral solution"	"Oral"	"Fluoxetine"	"4mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"10948"	"Dosulepin 75mg/5ml oral solution sugar free"	"Oral Solution Sugar-Free"	"Oral"	"Dosulepin"	"75mg/5ml"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"28355"	"Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"200mg/1ml"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"	"Antipsychotics"
"63364"	"Zaluron XL 200mg tablets (Fontus Health Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"29619"	"Lamotrigine 25mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"25mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"47808"	"Haloperidol 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Haloperidol"	"2mg/1ml"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"77484"	"Quetiapine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"8055"	"Imipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Imipramine"	"5mg/1ml"	"Unknown"	"Imipramine"	"Antidepressants"
"66255"	"Atrolak XL 200mg tablets (Accord-UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"55625"	"Amisulpride 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amisulpride"	"10mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"51558"	"Amisulpride 12.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amisulpride"	"2.5mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
"80546"	"Nortriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline"	"2mg/1ml"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"63930"	"Tegretol 100mg/5ml liquid (DE Pharmaceuticals)"	"Oral suspension"	"Oral"	"Carbamazepine"	"20mg/1ml"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"52100"	"Citalopram 10mg tablets (Arrow Generics Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"67622"	"Lamotrigine 100mg dispersible tablets sugar free (PLIVA Pharma Ltd)"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"100mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"34150"	"Valproate sodium 200mg Gastro-resistant tablet (IVAX Pharmaceuticals UK Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"81234"	"Quetiapine 200mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"47256"	"Olanzapine 5mg oral lyophilisates sugar free"	NA	NA	"Olanzapine"	NA	"Unknown"	"Olanzapine"	"Antipsychotics"
"21081"	"Amitriptyline 12.5mg / Chlordiazepoxide 5mg capsules"	"Capsules"	"Oral"	"Amitriptyline"	"12.5mg + 5mg"	"Tricyclic And Related Antidepressants"	"Amitriptyline"	"Antidepressants"
"3569"	"Carbamazepine 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"12386"	"Haldol Decanoate 100mg/1ml solution for injection ampoules (Essential Pharma Ltd)"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"100mg/1ml"	"First-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Haloperidol"	"Antipsychotics"
"26213"	"Domical 10mg Tablet (Berk Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain"	"Amitriptyline"	"Antidepressants"
"61103"	"Olanzapine 15mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"15mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"53556"	"Olanzapine 10mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"10mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"38914"	"Seroquel XL 200mg tablets (Luye Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"77571"	"Prochlorperazine 5mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"	"Antipsychotics"
"45329"	"Fluoxetine 20mg capsules (Actavis UK Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"52143"	"THIORIDAZINE CONCENTRATE 750MG/5ML 750 MG ELI"	"Solution for injection"	"Intramuscular"	"Thioridazine"	NA	"Unknown"	"Thioridazine"	"Antipsychotics"
"88460"	"Aripiprazole 1mg/ml oral solution (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Aripiprazole"	"1mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"70313"	"Quetiapine 100mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Quetiapine"	"100mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"23517"	"THIOPROPAZATE HCl 10 MG TAB"	"Tablet"	"Oral"	"Thiopropazate"	NA	"Unknown"	"Thiopropazate"	"Antipsychotics"
"46818"	"Amitriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline"	"2mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"84186"	"Efexor 37.5mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"8903"	"Sulpiride 200mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Sulpiride"	"40mg/1ml"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
"63268"	"Venlafaxine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine"	"15mg/1ml"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"65213"	"Trimipramine 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Trimipramine"	"10mg/1ml"	"Tricyclic And Related Antidepressants"	"Trimipramine"	"Antidepressants"
"56215"	"Quetiapine 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Quetiapine"	"10mg/1ml"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"56862"	"Chlorpromazine 25mg/5ml syrup (Rosemont Pharmaceuticals Ltd)"	"Oral solution"	"Oral"	"Chlorpromazine"	"5mg/1ml"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"22606"	"Chlorpromazine 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular/Intravenous"	"Chlorpromazine"	"25mg/1ml"	"Unknown"	"Chlorpromazine"	"Antipsychotics"
"81221"	"Cariprazine 6mg capsules"	"Oral capsule"	"Oral"	"Cariprazine"	"6mg"	"Antipsychotic Products"	"Cariprazine"	"Antipsychotics"
"9965"	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20mg/1ml"	"Unknown"	"Chlorpromazine"	"Antipsychotics"
"8885"	"Orlept 500mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"4118"	"Nortriptyline 10mg Capsule"	"Capsule"	"Oral"	"Nortriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain"	"Nortriptyline"	"Antidepressants"
"11963"	"Limbitrol 10 Capsule (Roche Products Ltd)"	"Capsule"	"Oral"	"Amitriptyline"	NA	"Tricyclic And Related Antidepressants"	"Amitriptyline"	"Antidepressants"
"86640"	"Fluoxetine 20mg capsules (Brown & Burk UK Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"23426"	"Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Dosulepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"13888"	"Zyprexa 10mg Velotabs (Neon Healthcare Ltd)"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"10mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"487"	"Amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline"	"25mg"	"Unknown"	"Amitriptyline"	"Antidepressants"
"34722"	"Citalopram 20mg Tablet (Neo Laboratories Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"69685"	"Fluoxetine 20mg/5ml oral solution sugar free (Morningside Healthcare Ltd)"	"Oral solution"	"Oral"	"Fluoxetine"	"4mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"43024"	"Dosulepin 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin"	"20mg/1ml"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"65804"	"Clomipramine 50mg capsules (Teva UK Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"50mg"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"3579"	"Melleril 25mg/5ml oral suspension (Novartis Pharmaceuticals UK Ltd)"	"Oral suspension"	"Oral"	"Thioridazine"	"5mg/1ml"	"Unknown"	"Thioridazine"	"Antipsychotics"
"301"	"Venlafaxine 37.5mg tablets"	"Oral tablet"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"5497"	"Stemetil 25mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Prochlorperazine"	"25mg"	"Unknown"	"Prochlorperazine"	"Antipsychotics"
"329"	"Haloperidol 1.5mg tablets"	"Oral tablet"	"Oral"	"Haloperidol"	"1.5mg"	"First-Generation Antipsychotic Drugs"	"Haloperidol"	"Antipsychotics"
"42247"	"Imipramine 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Imipramine"	"5mg/1ml"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"18197"	"Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100mg/1ml"	"Antipsychotic Depot Injections"	"Flupentixol"	"Antipsychotics"
"60782"	"Psytixol 20mg/1ml solution for injection ampoules (Viatris UK Healthcare Ltd)"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20mg/1ml"	"Antipsychotic Depot Injections"	"Flupentixol"	"Antipsychotics"
"77488"	"Mirtazapine 30mg tablets (Arrow Generics Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"30mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"1314"	"Thioridazine 50mg tablets"	"Oral tablet"	"Oral"	"Thioridazine"	"50mg"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"8921"	"Integrin 10mg Capsule (Sanofi-Synthelabo Ltd)"	"Oral capsule"	"Oral"	"Oxypertine"	"10mg"	"Antipsychotic Products"	"Oxypertine"	"Antipsychotics"
"53699"	"Mirtazapine 15mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"39506"	"Lamotrigine 50mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"3783"	"Tranylcypromine 10mg tablets"	"Oral tablet"	"Oral"	"Tranylcypromine"	"10mg"	"Monoamine-Oxidase Inhibitors (MAOI)"	"Tranylcypromine"	"Antidepressants"
"14344"	"Aripiprazole 5mg tablets"	"Oral tablet"	"Oral"	"Aripiprazole"	"5mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"87023"	"Lamotrigine 25mg dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"25mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"65965"	"Lamictal 50mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"86618"	"Amitriptyline 10mg tablets (Flamingo Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"81126"	"Dosulepin 75mg tablets (Strides Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Dosulepin"	"75mg"	"Tricyclic And Related Antidepressants"	"Dosulepin"	"Antidepressants"
"61856"	"Mirtazapine 15mg orodispersible tablets (Consilient Health Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"79784"	"Cipramil 10mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"45915"	"Sertraline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"12707"	"Zuclopenthixol 2mg tablets"	"Oral tablet"	"Oral"	"Zuclopenthixol"	"2mg"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"	"Antipsychotics"
"43424"	"Thioridazine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Thioridazine"	"25mg"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"86929"	"Aripiprazole 5mg tablets (Aspire Pharma Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"5mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"10405"	"Thioridazine 25mg/5ml sugar free Oral solution"	"Oral Solution"	"Oral"	"Thioridazine"	"25mg/5ml"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"56355"	"Citalopram 10mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"81647"	"Lamotrigine 200mg tablets (Milpharm Ltd)"	"Oral tablet"	"Oral"	"Lamotrigine"	"200mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"17319"	"Amoxapine 25mg tablets"	"Tablets"	"Oral"	"Amoxapine"	"25mg"	"Tricyclic And Related Antidepressants"	"Amoxapine"	"Antidepressants"
"24145"	"Amitriptyline 25mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"64778"	"Sondate XL 150mg tablets (Teva UK Ltd)"	"Modified-release tablet"	"Oral"	"Quetiapine"	"150mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"87521"	"Sertraline 50mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"13621"	"Molipaxin CR 150mg tablets (Aventis Pharma)"	"Modified-release tablet"	"Oral"	"Trazodone"	"150mg"	"Unknown"	"Trazodone"	"Antidepressants"
"3024"	"PROCHLORPERAZINE MALEATE 3 MG TAB"	"Tablet"	"Oral"	"Prochlorperazine"	NA	"Unknown"	"Prochlorperazine"	"Antipsychotics"
"73417"	"Citalopram 20mg tablets (PLIVA Pharma Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"10689"	"LARGACTIL FORTE SYR"	"Solution for injection"	"Intramuscular"	"Chlorpromazine"	NA	"Unknown"	"Chlorpromazine"	"Antipsychotics"
"30081"	"Sodium valproate CR 500mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"67127"	"Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals)"	"Oral solution"	"Oral"	"Amitriptyline"	"5mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"83006"	"Carbamazepine oral solution"	"Oral solution"	"Oral"	"Carbamazepine"	NA	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"17428"	"Carbamazepine 250mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"250mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"74011"	"Efexor XL 75mg capsules (Dowelhurst Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"71005"	"Citalopram 10mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"83668"	"Sertraline 25mg/5ml oral suspension (Special Order)"	"Oral suspension"	"Oral"	"Sertraline"	"5mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"20174"	"Loxapac 10mg capsules (Wyeth Pharmaceuticals)"	"Oral capsule"	"Oral"	"Loxapine"	"10mg"	"Unknown"	"Loxapine"	"Antipsychotics"
"2787"	"Risperidone 4mg tablets"	"Oral tablet"	"Oral"	"Risperidone"	"4mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"872"	"Priadel 400mg modified-release tablets (Essential Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Lithium"	"400mg"	"Products Used For Mania And Hypomania"	"Lithium"	"Mood Stabilisers"
"41137"	"Sodium valproate with valproic acid 100mg modified release granules"	"Modified Release Granules"	"Oral"	"Valproate/Valproic"	"100mg"	"Control Of Epilepsy"	"Valproate/Valproic"	"Mood Stabilisers"
"7475"	"AMOXAPINE 25 MG TAB"	"Tablet"	"Oral"	"Amoxapine"	NA	"Unknown"	"Amoxapine"	"Antidepressants"
"78430"	"Thioridazine 25mg Tablet (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Thioridazine"	"25mg"	"Antipsychotic Products"	"Thioridazine"	"Antipsychotics"
"85613"	"Risperdal 500microgram tablets (Lexon (UK) Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"47233"	"Zaponex 25mg tablets (Leyden Delta B.V.)"	"Oral tablet"	"Oral"	"Clozapine"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Clozapine"	"Antipsychotics"
"91052"	"Amitriptyline 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Oral solution"	"Oral"	"Amitriptyline"	"10mg/1ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"29756"	"Paxoran 20mg Tablet (Ranbaxy (UK) Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"15126"	"Lamictal 5mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"5mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"66058"	"Carbamazepine 200mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"14966"	"Flupentixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20mg/1ml"	"Antipsychotic Depot Injections"	"Flupentixol"	"Antipsychotics"
"90785"	"Benperidol 250micrograms/5ml oral suspension"	"Oral suspension"	"Oral"	"Benperidol"	"50microgram/1ml"	"First-Generation Antipsychotic Drugs"	"Benperidol"	"Antipsychotics"
"87012"	"Venlafaxine 37.5mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Venlafaxine"	"37.5mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"63735"	"Carbamazepine 400mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"400mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"61503"	"Sertraline 100mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Sertraline"	"100mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"19470"	"Fluoxetine 20mg capsules (Sun Pharma UK Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"90571"	"Episenta 300mg/3ml solution for injection ampoules (Desitin Pharma Ltd)"	"Solution for injection"	"Intravenous"	"Valproate"	"100mg/1ml"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"9247"	"Sulpiride 400mg tablets"	"Oral tablet"	"Oral"	"Sulpiride"	"400mg"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
"60370"	"Zispin SolTab 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"79124"	"Winfex XL 75mg capsules (Zentiva Pharma UK Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"43522"	"Sulpiride 200mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Sulpiride"	"200mg"	"First-Generation Antipsychotic Drugs"	"Sulpiride"	"Antipsychotics"
