"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Citalopram 40mg tablets (Accord Healthcare Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"69571"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Aurobindo Pharma Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"70790"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"71005"	"0403030D0"	"citalopram"
"Citalopram 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Citalopram hydrobromide"	"4mg/1ml"	"71848"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (Ranbaxy (UK) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"72373"	"0403030D0"	"citalopram"
"Citalopram 20mg tablets (PLIVA Pharma Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20mg"	"73417"	"0403030D0"	"citalopram"
"Citalopram 30mg tablets"	""	""	"Citalopram Hydrobromide"	""	"74753"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"75075"	"0403030D0"	"citalopram"
"Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"75697"	"0403030D0"	"citalopram"
"Citalopram 40mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"75702"	"0403030D0"	"citalopram"
"Citalopram 40mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40mg/1ml"	"513"	"0403030Z0"	"citalopram"
"Cipramil 40mg/ml drops (Lundbeck Ltd)"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40mg/1ml"	"815"	"0403030Z0"	"citalopram"
"Citalopram 40mg/ml oral drops sugar free (Actavis UK Ltd)"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40mg/1ml"	"56292"	"0403030Z0"	"citalopram"
"Citalopram 40mg/ml oral drops sugar free (A A H Pharmaceuticals Ltd)"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40mg/1ml"	"57936"	"0403030Z0"	"citalopram"
"Citalopram 40mg/ml oral drops sugar free (Teva UK Ltd)"	"Oral drops"	"Oral"	"Citalopram hydrochloride"	"40mg/1ml"	"72124"	"0403030Z0"	"citalopram"
"Clomipramine 10mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"3194"	"0403010F0"	"clomipramine"
"Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"3657"	"0403010F0"	"clomipramine"
"Clomipramine 25mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"3670"	"0403010F0"	"clomipramine"
"Clomipramine 50mg capsules"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"3925"	"0403010F0"	"clomipramine"
"Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"7515"	"0403010F0"	"clomipramine"
"Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"7693"	"0403010F0"	"clomipramine"
"Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Modified-release tablet"	"Oral"	"Clomipramine hydrochloride"	"75mg"	"7894"	"0403010F0"	"clomipramine"
"Clomipramine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Clomipramine hydrochloride"	"75mg"	"8661"	"0403010F0"	"clomipramine"
"Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)"	"Oral solution"	"Oral"	"Clomipramine hydrochloride"	"5mg/1ml"	"8719"	"0403010F0"	"clomipramine"
"Clomipramine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine hydrochloride"	"5mg/1ml"	"8720"	"0403010F0"	"clomipramine"
"Clomipramine 25mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/Intramuscular"	"Clomipramine hydrochloride"	"12.5mg/1ml"	"26513"	"0403010F0"	"clomipramine"
"Anafranil 25mg/2ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd)"	"Solution for injection"	"Intravenous/Intramuscular"	"Clomipramine hydrochloride"	"12.5mg/1ml"	"30375"	"0403010F0"	"clomipramine"
"Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"34245"	"0403010F0"	"clomipramine"
"Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"34866"	"0403010F0"	"clomipramine"
"Clomipramine 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clomipramine hydrochloride"	"10mg/1ml"	"38274"	"0403010F0"	"clomipramine"
"Clomipramine 25mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"41563"	"0403010F0"	"clomipramine"
"Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"41597"	"0403010F0"	"clomipramine"
"Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"41628"	"0403010F0"	"clomipramine"
"Clomipramine 10mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"43561"	"0403010F0"	"clomipramine"
"Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"45318"	"0403010F0"	"clomipramine"
"Clomipramine 25mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"45350"	"0403010F0"	"clomipramine"
"Clomipramine 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Clomipramine hydrochloride"	"10mg/1ml"	"53161"	"0403010F0"	"clomipramine"
"Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"53187"	"0403010F0"	"clomipramine"
"Clomipramine 10mg capsules (Mylan)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"62620"	"0403010F0"	"clomipramine"
"Clomipramine 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clomipramine hydrochloride"	"5mg/1ml"	"64458"	"0403010F0"	"clomipramine"
"Clomipramine 25mg capsules (Waymade Healthcare Plc)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"25mg"	"65762"	"0403010F0"	"clomipramine"
"Clomipramine 50mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"50mg"	"65804"	"0403010F0"	"clomipramine"
"Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Clomipramine hydrochloride"	"10mg"	"68665"	"0403010F0"	"clomipramine"
"Dosulepin 75mg tablets"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"74"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"84"	"0403010J0"	"dosulepin"
"Prothiaden 25mg capsules (Teofarma)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"1169"	"0403010J0"	"dosulepin"
"Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"1940"	"0403010J0"	"dosulepin"
"Prothiaden 75mg tablets (Teofarma)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"2320"	"0403010J0"	"dosulepin"
"Dosulepin 25mg/5ml oral solution sugar free"	"Oral Solution Sugar-free"	"Oral"	"Dosulepin Hydrochloride"	"25mg/5ml"	"6054"	"0403010J0"	"dosulepin"
"Dosulepin 75mg/5ml oral solution sugar free"	"Oral Solution Sugar-free"	"Oral"	"Dosulepin Hydrochloride"	"75mg/5ml"	"10948"	"0403010J0"	"dosulepin"
"Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"15632"	"0403010J0"	"dosulepin"
"Dosulepin 25mg/5ml mixture"	"Mixture"	"Oral"	"Dosulepin Hydrochloride"	"25mg/5ml"	"19168"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"19186"	"0403010J0"	"dosulepin"
"Thaden 75mg tablets (Opus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"21157"	"0403010J0"	"dosulepin"
"Prepadine 75mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"21819"	"0403010J0"	"dosulepin"
"Prepadine 25mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"21820"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"23426"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Mylan)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"29875"	"0403010J0"	"dosulepin"
"Thaden 25mg capsules (Opus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"30376"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"31824"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"31826"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"32121"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Sandoz Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"33164"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"34058"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Teva UK Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"34223"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Mylan)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"34525"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Sovereign Medical Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"34641"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"34643"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Actavis UK Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"34745"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"42734"	"0403010J0"	"dosulepin"
"Dosulepin 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"20mg/1ml"	"43024"	"0403010J0"	"dosulepin"
"Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"44853"	"0403010J0"	"dosulepin"
"Dosulepin 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral Solution"	"Oral"	"Dosulepin Hydrochloride"	"25mg/5ml"	"45737"	"0403010J0"	"dosulepin"
"Dosulepin 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"5mg/1ml"	"50722"	"0403010J0"	"dosulepin"
"Prothiaden 25mg capsules (Stephar (U.K.) Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"51758"	"0403010J0"	"dosulepin"
"Dosulepin 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"15mg/1ml"	"57926"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Sandoz Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"62681"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"67728"	"0403010J0"	"dosulepin"
"Prothiaden 25mg capsules (Sigma Pharmaceuticals Plc)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"67990"	"0403010J0"	"dosulepin"
"Dosulepin 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dosulepin hydrochloride"	"5mg/1ml"	"70593"	"0403010J0"	"dosulepin"
"Dosulepin 25mg Capsule (Celltech Pharma Europe Ltd)"	"Capsule"	"Oral"	"Dosulepin hydrochloride"	"25mg"	"70838"	"0403010J0"	"dosulepin"
"Dosulepin 25mg/5ml oral solution sugar free (Special Order)"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"5mg/1ml"	"71023"	"0403010J0"	"dosulepin"
"Dosulepin 75mg tablets (Sovereign Medical Ltd)"	"Tablet"	"Oral"	"Dosulepin hydrochloride"	"75mg"	"71059"	"0403010J0"	"dosulepin"
"Doxepin 25mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"25mg"	"3554"	"0403010L0"	"doxepin"
"Doxepin 10mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"10mg"	"3842"	"0403010L0"	"doxepin"
"Doxepin 50mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"50mg"	"5073"	"0403010L0"	"doxepin"
"Doxepin 5% cream"	"Cream"	"Cutaneous"	"Doxepin hydrochloride"	"50mg/1gram"	"5190"	"0403010L0"	"doxepin"
"Doxepin 75mg capsules"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"75mg"	"7059"	"0403010L0"	"doxepin"
"Xepin 5% Cream (Bioglan Laboratories Ltd)"	"Cream"	"Cutaneous"	"Doxepin hydrochloride"	"50mg/1gram"	"9558"	"0403010L0"	"doxepin"
"Sinequan 10mg capsules (Pfizer Ltd)"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"10mg"	"10413"	"0403010L0"	"doxepin"
"Sinequan 50mg capsules (Pfizer Ltd)"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"50mg"	"12125"	"0403010L0"	"doxepin"
"Sinequan 25mg capsules (Pfizer Ltd)"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"25mg"	"12129"	"0403010L0"	"doxepin"
"Sinequan 75mg capsules (Pfizer Ltd)"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"75mg"	"14519"	"0403010L0"	"doxepin"
"Xepin 5% cream (Cambridge Healthcare Supplies Ltd)"	"Cream"	"Cutaneous"	"Doxepin hydrochloride"	"50mg/1gram"	"15975"	"0403010L0"	"doxepin"
"Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"25mg"	"35258"	"0403010L0"	"doxepin"
"Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Doxepin hydrochloride"	"50mg"	"35493"	"0403010L0"	"doxepin"
"Doxepin 25mg/5ml oral suspension"	"Oral Suspension"	"Oral"	"Doxepin Hydrochloride"	"25mg/5ml"	"40777"	"0403010L0"	"doxepin"
"Doxepin 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Doxepin hydrochloride"	"10mg/1ml"	"73363"	"0403010L0"	"doxepin"
"Duloxetine 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"6895"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"7122"	"0403030Y0"	"duloxetine"
"Duloxetine 40mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40mg"	"7147"	"0403030Y0"	"duloxetine"
"Duloxetine 20mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"7153"	"0403030Y0"	"duloxetine"
"Cymbalta 30mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"13151"	"0403030Y0"	"duloxetine"
"Yentreve 40mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"40mg"	"14803"	"0403030Y0"	"duloxetine"
"Cymbalta 60mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"14849"	"0403030Y0"	"duloxetine"
"Yentreve 20mg gastro-resistant capsules (Eli Lilly and Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"16969"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"51383"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"62688"	"0403030Y0"	"duloxetine"
"Cymbalta 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"63216"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"63370"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"63763"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Teva UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"64442"	"0403030Y0"	"duloxetine"
"Duloxetine 20mg gastro-resistant capsules (DE Pharmaceuticals)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"65165"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"65618"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (Actavis UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"65809"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Actavis UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"65888"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"65892"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (DE Pharmaceuticals)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"66405"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (DE Pharmaceuticals)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"66412"	"0403030Y0"	"duloxetine"
"Duloxetine 20mg gastro-resistant capsules (Actavis UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"67564"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Zentiva)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"68096"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"69428"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Creo Pharma Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"69752"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Consilient Health Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"69965"	"0403030Y0"	"duloxetine"
"Duloxetine 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"70063"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (Teva UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"70405"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"70728"	"0403030Y0"	"duloxetine"
"Duloxetine 20mg gastro-resistant capsules (Zentiva)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"20mg"	"71669"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"72211"	"0403030Y0"	"duloxetine"
"Depalta 30mg gastro-resistant capsules (Disposable Medical Equipment Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"73298"	"0403030Y0"	"duloxetine"
"Depalta 60mg gastro-resistant capsules (Disposable Medical Equipment Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"73540"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"73868"	"0403030Y0"	"duloxetine"
"Duciltia 60mg gastro-resistant capsules (Aristo Pharma Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"74190"	"0403030Y0"	"duloxetine"
"Duloxetine 60mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Duloxetine hydrochloride"	"12mg/1ml"	"74774"	"0403030Y0"	"duloxetine"
"Duloxetine 30mg gastro-resistant capsules (Creo Pharma Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"74907"	"0403030Y0"	"duloxetine"
"Escitalopram 10mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"603"	"0403030X0"	"escitalopram"
"Cipralex 10mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"648"	"0403030X0"	"escitalopram"
"Cipralex 5mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"5mg"	"785"	"0403030X0"	"escitalopram"
"Escitalopram 20mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20mg"	"6218"	"0403030X0"	"escitalopram"
"Cipralex 20mg tablets (Lundbeck Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20mg"	"6360"	"0403030X0"	"escitalopram"
"Escitalopram 5mg tablets"	"Tablet"	"Oral"	"Escitalopram oxalate"	"5mg"	"6405"	"0403030X0"	"escitalopram"
"Escitalopram 10mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"10mg/1ml"	"20152"	"0403030X0"	"escitalopram"
"Cipralex 10mg/ml oral drops (Lundbeck Ltd)"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"10mg/1ml"	"26056"	"0403030X0"	"escitalopram"
"Escitalopram 20mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"20mg/1ml"	"40726"	"0403030X0"	"escitalopram"
"Cipralex 20mg/ml oral drops (Lundbeck Ltd)"	"Oral drops"	"Oral"	"Escitalopram oxalate"	"20mg/1ml"	"41062"	"0403030X0"	"escitalopram"
"Escitalopram 10mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"63916"	"0403030X0"	"escitalopram"
"Escitalopram 20mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"20mg"	"72773"	"0403030X0"	"escitalopram"
"Cipralex 10mg tablets (DE Pharmaceuticals)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"74785"	"0403030X0"	"escitalopram"
"Cipralex 10mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"74858"	"0403030X0"	"escitalopram"
"Escitalopram 10mg tablets (Brown & Burk UK Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"10mg"	"74993"	"0403030X0"	"escitalopram"
"Fluoxetine 20mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"22"	"0403030E0"	"fluoxetine"
"Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd)"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"252"	"0403030E0"	"fluoxetine"
"Prozac 20mg capsules (Eli Lilly and Company Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"418"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine hydrochloride"	"4mg/1ml"	"2548"	"0403030E0"	"fluoxetine"
"Fluoxetine 60mg capsules"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60mg"	"4075"	"0403030E0"	"fluoxetine"
"Prozac 60mg capsules (Eli Lilly and Company Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"60mg"	"4907"	"0403030E0"	"fluoxetine"
"Oxactin 20mg capsules (Discovery Pharmaceuticals)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"14740"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"19183"	"0403030E0"	"fluoxetine"
"Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"19470"	"0403030E0"	"fluoxetine"
