"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Mood Stabiliser"
"1550"	118126	"Sodium valproate 200mg/5ml oral solution"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"55006"	114	"Sodium valproate 500mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"18763"	89	"Epimaz 400mg tablets (Teva UK Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"57726"	0	"Tegretol Prolonged Release 200mg tablets (Mawdsley-Brooks & Company Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"81880"	60	"Lamotrigine 50mg tablets (Milpharm Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"82531"	333	"Epilim 200mg/5ml liquid (Waymade Healthcare Plc)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"91207"	4	"Carbamazepine 100mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"12648"	789	"Lithium citrate 1.018g/5ml oral solution"	"Lithium"	"203.6mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"59887"	40	"Carbamazepine 200mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"34904"	552	"Carbamazepine 200mg tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"25344"	685	"Lithium carbonate 400mg Modified-release tablet (Approved Prescription Services Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"11696"	13917	"Carbamazepine 200mg chewable tablets sugar free"	"Carbamazepine"	"200mg"	"Chewable tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"68859"	10	"Lamotrigine 100mg dispersible tablets sugar free (Actavis UK Ltd)"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"59428"	70	"Carbamazepine 100mg tablets (Almus Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"60405"	1485	"Carbagen 400mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"85262"	0	"Carbamazepine 100mg tablets (Medihealth (Northern) Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"5848"	142657	"Valproic acid 250mg gastro-resistant tablets"	"Valproate/Valproic"	"250mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate/Valproic"
"61625"	10	"Lamotrigine 200mg tablets (Accord-UK Ltd)"	"Lamotrigine"	"200mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"59125"	9	"Lamotrigine 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"73827"	7	"Carbamazepine 200mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"76197"	14	"Carbamazepine 200mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"37058"	117	"Carbamazepine 500mg/5ml oral suspension"	"Carbamazepine"	"100mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"34958"	16	"Carbamazepine 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"89178"	51	"Lamotrigine 25mg tablets (Tillomed Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"55904"	27	"Carbamazepine 100mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"19296"	565	"Lamictal 2mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"2mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"89366"	1	"Tegretol 100mg/5ml liquid (Waymade Healthcare Plc)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"53211"	17	"Valproic acid 500mg/5ml oral solution"	"Valproate/Valproic"	"100mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Valproate/Valproic"
"72233"	3	"Epilim 200mg/5ml syrup (DE Pharmaceuticals)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"30763"	221	"Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"3352"	21255	"Liskonum 450mg modified-release tablets (Teofarma S.r.l.)"	"Lithium"	"450mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"34178"	647	"Sodium valproate 500mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"53492"	1211	"Tegretol Prolonged Release 200mg tablets (Sigma Pharmaceuticals Plc)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"3845"	248320	"Sodium valproate 200mg/5ml oral solution sugar free"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"74026"	436	"Epilim Chrono 200 tablets (Waymade Healthcare Plc)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"40400"	17	"Sodium valproate 500mg Gastro-resistant tablet (C P Pharmaceuticals Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"49532"	41	"Lamotrigine 25mg tablets (Accord-UK Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"87770"	3	"Lamotrigine 100mg tablets (Milpharm Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"87301"	11	"Curatil Prolonged Release 200mg tablets (Tillomed Laboratories Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"34626"	445	"Sodium valproate 200mg gastro-resistant tablets (Viatris UK Healthcare Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"83697"	1	"Epilim Chronosphere MR 100mg granules sachets (Waymade Healthcare Plc)"	"Valproate"	"100mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"90227"	1	"Lamotrigine 5mg/5ml oral suspension"	"Lamotrigine"	"1mg/1ml"	"Oral suspension"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"21441"	350	"Tegretol 125mg suppositories (Essential Pharma Ltd)"	"Carbamazepine"	"125mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Carbamazepine"
"2082"	275713	"Epilim 200mg/5ml liquid (Sanofi)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"3733"	698828	"Epilim Chrono 300 tablets (Sanofi)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"34707"	566	"Sodium valproate 200mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"79154"	0	"Epilim Chrono 200 tablets (Sigma Pharmaceuticals Plc)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"5577"	435	"Efalith 8%+0.05% Cream (Scotia Pharmaceuticals Ltd)"	"Lithium"	"8%+0.05%"	"Cream"	"Topical"	"Preparations For Eczema"	"Lithium"
"50235"	49	"Lamotrigine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"70773"	3	"Carbamazepine 200mg modified-release tablets (DE Pharmaceuticals)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"25345"	590	"Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Lithium"	"203.6mg/1ml"	"Oral solution"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"43451"	8	"Carbamazepine 400mg Modified-release tablet (Generics (UK) Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"37611"	383	"Epival CR 300mg tablets (G.L. Pharma UK Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"2081"	49963	"Lamotrigine 5mg dispersible tablets sugar free"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"80329"	1672	"Belvo 500mg gastro-resistant tablets (Consilient Health Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate"
"2823"	682182	"Tegretol retard 200mg Modified-release tablet (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"82590"	46	"Lamictal 25mg dispersible tablets (Waymade Healthcare Plc)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"68151"	1	"Sodium valproate 60mg/5ml oral solution"	"Valproate"	"12mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"15388"	406	"Phasal 300mg Tablet (Lagap)"	"Lithium"	"300mg"	"Tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"59120"	13	"Lamotrigine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"100mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"48164"	49	"Lamotrigine 25mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"72408"	1	"Valproic acid 500mg/5ml oral suspension"	"Valproate/Valproic"	"100mg/1ml"	"Oral suspension"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Valproate/Valproic"
"7064"	251495	"Depakote 250mg gastro-resistant tablets (Sanofi)"	"Valproate"	"250mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate"
"34632"	324	"Sodium valproate 200mg gastro-resistant tablets (Teva UK Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"82262"	0	"Lamotrigine 5mg dispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"89124"	0	"Carbamazepine 125mg suppositories (A A H Pharmaceuticals Ltd)"	"Carbamazepine"	"125mg"	"Suppository"	"Rectal"	"Control Of Epilepsy"	"Carbamazepine"
"77513"	88	"Sodium valproate 200mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"76160"	0	"Lamotrigine 25mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"26012"	4331	"Carbagen SR 400mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"400mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"72875"	1	"Tegretol 400mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"56435"	14	"Lithium carbonate 200mg/5ml oral suspension"	"Lithium"	"40mg/1ml"	"Oral suspension"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"5907"	105528	"Lamotrigine 100mg dispersible tablets sugar free"	"Lamotrigine"	"100mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"3359"	777284	"Priadel 200mg modified-release tablets (Essential Pharma Ltd)"	"Lithium"	"200mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"85371"	0	"Lamotrigine 25mg tablets (Kent Pharma (UK) Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"65301"	899	"Lithium carbonate 250mg tablets (Essential Pharma Ltd)"	"Lithium"	"250mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"44903"	8	"Sodium valproate 500mg gastro-resistant tablets (Zentiva Pharma UK Ltd)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"87681"	0	"Carbamazepine 200mg tablets (Medreich Plc)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"2822"	381549	"Epilim ec 500mg Gastro-resistant tablet (Sanofi)"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"32931"	1	"Carbamazepine 400mg tablets (Teva UK Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"59273"	280	"Lamotrigine 50mg tablets (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"80450"	0	"Lamotrigine 25mg dispersible tablets sugar free (Viatris UK Healthcare Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"12880"	16498	"Tegretol 200mg Chewtabs (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Chewable tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"16021"	17290	"Valproic acid 500mg gastro-resistant capsules"	"Valproic"	"500mg"	"Gastro-resistant capsule"	"Oral"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"
"82293"	5	"Sodium valproate 300mg modified-release tablets (Colorama Pharmaceuticals Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"2085"	996738	"Tegretol 200mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"39550"	4000	"Epilim Chronosphere MR 750mg granules sachets (Sanofi)"	"Valproate"	"750mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"41726"	48	"Carbamazepine 100mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"51309"	2	"Lamictal 25mg tablets (DE Pharmaceuticals)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"59429"	24	"Carbamazepine 200mg tablets (Almus Pharmaceuticals Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"69807"	4	"Lamotrigine 5mg dispersible tablets sugar free (A A H Pharmaceuticals Ltd)"	"Lamotrigine"	"5mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"56504"	62	"Lamotrigine 25mg dispersible tablets sugar free (Tillomed Laboratories Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"51760"	1	"Tegretol 400mg tablets (Lexon (UK) Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"88170"	6	"Carbamazepine 100mg tablets (Crescent Pharma Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"53524"	2	"Epilim Chrono 300 tablets (DE Pharmaceuticals)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"62538"	130	"Carbamazepine 200mg tablets (Actavis UK Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"28345"	67	"Carbamazepine 100mg tablets (Teva UK Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"69555"	1	"Valproic acid 125mg gastro-resistant capsules"	"Valproate/Valproic"	"125mg"	"Gastro-resistant capsule"	"Oral"	"Control Of Epilepsy"	"Valproate/Valproic"
"3350"	515619	"Sodium valproate 500mg gastro-resistant tablets"	"Valproate"	"500mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"91242"	0	"Carbamazepine 100mg/5ml oral suspension sugar free (Sun Pharma UK Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"35747"	14408	"Episenta 300mg modified-release capsules (Desitin Pharma Ltd)"	"Valproate"	"300mg"	"Modified-release capsule"	"Oral"	"Control Of Epilepsy"	"Valproate"
"43742"	2	"Sodium valproate 1g/10ml solution for injection ampoules"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"79486"	1	"Tegretol 400mg tablets (Mawdsley-Brooks & Company Ltd)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"5617"	861	"Convulex 300mg gastro-resistant capsules (G.L. Pharma UK Ltd)"	"Valproic"	"300mg"	"Gastro-resistant capsule"	"Oral"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"
"16250"	109	"Lithonate 400mg modified-release tablets (Teva UK Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"90376"	15	"Carbamazepine 100mg/5ml oral solution"	"Carbamazepine"	"20mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"24153"	3117	"Orlept SF 200mg/5ml liquid (Wockhardt UK Ltd)"	"Valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"Control Of Epilepsy"	"Valproate"
"90142"	1	"Dyzantil 300mg modified-release tablets (Aspire Pharma Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"18762"	351	"Epimaz 200mg tablets (Teva UK Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"75188"	26	"Sodium valproate CR 300mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Valproate"	"300mg"	"Tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"59242"	45	"Lamotrigine 25mg dispersible tablets sugar free (Teva UK Ltd)"	"Lamotrigine"	"25mg"	"Dispersible tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"44718"	419	"Sodium valproate 750mg modified-release granules sachets sugar free"	"Valproate"	"750mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"53188"	1	"Carbamazepine 500mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)"	"Carbamazepine"	"100mg/1ml"	"Oral suspension"	"Oral"	"Products Used For Mania And Hypomania/Control Of Epilepsy"	"Carbamazepine"
"4913"	130110	"Tegretol 100mg/5ml liquid (Novartis Pharmaceuticals UK Ltd)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"88169"	6	"Carbamazepine 200mg tablets (Crescent Pharma Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"9761"	232	"Lithium succinate 8% / Zinc sulfate 0.05% ointment"	"Lithium"	"500microgram/1gram + 80mg/1gram"	"Cutaneous ointment"	"Cutaneous"	"Unknown"	"Lithium"
"49923"	3	"Epilim Chrono 200 tablets (Lexon (UK) Ltd)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"66073"	0	"Carbamazepine 400mg tablets (DE Pharmaceuticals)"	"Carbamazepine"	"400mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"85126"	1	"Priadel 400mg modified-release tablets (Mawdsley-Brooks & Company Ltd)"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"63213"	0	"Tegretol 200mg tablets (Necessity Supplies Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"13112"	8114	"Carbagen SR 200mg tablets (Viatris UK Healthcare Ltd)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"73990"	247	"Epilim Chrono 500 tablets (Waymade Healthcare Plc)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"59697"	1	"Carbamazepine 10mg/5ml oral suspension"	"Carbamazepine"	"2mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"67798"	26	"Sodium valproate 400mg/4ml solution for injection ampoules"	"Valproate"	"100mg/1ml"	"Solution for injection"	"Intravenous"	"Control Of Epilepsy"	"Valproate"
"48182"	0	"Lamotrigine 25mg tablets (Arrow Generics Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"80341"	1212	"Belvo 250mg gastro-resistant tablets (Consilient Health Ltd)"	"Valproate"	"250mg"	"Gastro-resistant tablet"	"Oral"	"Products Used For Mania And Hypomania/Prophylaxis Of Migraine"	"Valproate"
"59318"	5	"Lamotrigine 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lamotrigine"	"25mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"85887"	13	"Dyzantil 200mg modified-release tablets (Aspire Pharma Ltd)"	"Valproate"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"35755"	3100	"Sodium valproate 500mg modified-release granules sachets sugar free"	"Valproate"	"500mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"1447"	430028	"Lithium carbonate 400mg modified-release tablets"	"Lithium"	"400mg"	"Modified-release tablet"	"Oral"	"Products Used For Mania And Hypomania"	"Lithium"
"56136"	184	"Epilim Chrono 300 tablets (Waymade Healthcare Plc)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"63685"	1	"Epilim Chrono 500 tablets (DE Pharmaceuticals)"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
