"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Statin"
"51134"	20491711000001104	"41338020"	"Atorvastatin 10mg tablets (A A H Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"51166"	19733611000001100	"38511020"	"Simvastatin 40mg tablets (Medreich Plc)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"51200"	20570211000001108	"41905020"	"Atorvastatin 40mg tablets (Arrow Generics Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"51233"	4574411000001101	"02479020"	"Simvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"51359"	20569511000001104	"41913020"	"Atorvastatin 20mg tablets (Arrow Generics Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"51483"	19197611000001108	"02511020"	"Simvastatin 20mg tablets (Milpharm Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"51622"	20529611000001100	"41349020"	"Atorvastatin 20mg tablets (Consilient Health Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"51676"	19732111000001104	"38515020"	"Pravastatin 40mg tablets (Medreich Plc)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"51715"	15188311000001108	"02489020"	"Simvastatin 10mg tablets (Sigma Pharmaceuticals Plc)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"51876"	20529811000001104	"41331020"	"Atorvastatin 40mg tablets (Consilient Health Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"51890"	19731911000001104	"38514020"	"Pravastatin 20mg tablets (Medreich Plc)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"52097"	20573211000001104	"41906020"	"Atorvastatin 40mg tablets (Wockhardt UK Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52098"	4465611000001100	"69807020"	"Simvastatin 40mg tablets (Ranbaxy (UK) Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"52168"	20496611000001108	"41347020"	"Atorvastatin 20mg tablets (Aspire Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52211"	20482911000001104	"41344020"	"Atorvastatin 20mg tablets (Actavis UK Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52257"	18468011000001104	"02510020"	"Simvastatin 20mg tablets (Accord Healthcare Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"52397"	20982611000001104	"43826020"	"Atorvastatin 40mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52398"	20492311000001104	"41327020"	"Atorvastatin 40mg tablets (A A H Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52459"	20483311000001108	"41288020"	"Atorvastatin 80mg tablets (Actavis UK Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52460"	20496911000001104	"41329020"	"Atorvastatin 40mg tablets (Aspire Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52625"	4480311000001101	"65902020"	"Simvastatin 10mg tablets (Wockhardt UK Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"52676"	8722011000001100	"20743020"	"Simvastatin 10mg/5ml oral suspension"	"Simvastatin"	"2mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"52755"	8027311000001103	"02548020"	"Pravastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"52812"	15171911000001108	"02505020"	"Simvastatin 20mg tablets (Sigma Pharmaceuticals Plc)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"52821"	20982911000001100	"43806020"	"Atorvastatin 80mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"52953"	16066911000001102	"02506020"	"Simvastatin 20mg tablets (Bristol Laboratories Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"52962"	19733811000001104	"38512020"	"Simvastatin 80mg tablets (Medreich Plc)"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53087"	10618711000001102	"02502020"	"Simvastatin 20mg tablets (Somex Pharma)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53340"	16451611000001102	"02519020"	"Zocor 40mg tablets (Lexon (UK) Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53415"	19197411000001104	"02495020"	"Simvastatin 10mg tablets (Milpharm Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53460"	13857911000001102	"10669020"	"Crestor 10mg tablets (DE Pharmaceuticals)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"53594"	16507511000001108	"00042020"	"Lipitor 80mg tablets (Mawdsley-Brooks & Company Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"53676"	13763111000001104	"66326020"	"Simvastatin 20mg tablets (Tillomed Laboratories Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53770"	14584511000001106	"75882020"	"Fluvastatin 40mg capsules (A A H Pharmaceuticals Ltd)"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"53772"	20508511000001100	"41292020"	"Atorvastatin 80mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"53813"	4535911000001106	"02294020"	"Lipobay 100microgram tablets (Bayer Plc)"	"Cerivastatin sodium"	"100microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"53822"	16066711000001104	"02490020"	"Simvastatin 10mg tablets (Bristol Laboratories Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53887"	20483111000001104	"41326020"	"Atorvastatin 40mg tablets (Actavis UK Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"53890"	20979511000001104	"42148020"	"Atorvastatin 80mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"53908"	11551311000001100	"66652020"	"Simvastatin 10mg tablets (Dexcel-Pharma Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"53966"	17793911000001108	"02521020"	"Simvastatin 40mg tablets (Phoenix Healthcare Distribution Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54240"	15172411000001108	"02517020"	"Simvastatin 40mg tablets (Sigma Pharmaceuticals Plc)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54266"	8722111000001104	"20745020"	"Simvastatin 20mg/5ml oral suspension"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54435"	9807511000001104	"70097020"	"Pravastatin 40mg tablets (Almus Pharmaceuticals Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"54493"	10296911000001102	"02485020"	"Simvastatin 10mg tablets (Relonchem Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54535"	20977811000001100	"42166020"	"Atorvastatin 10mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"54606"	18757511000001104	"78017020"	"Simvastatin 20mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54607"	9806911000001108	"70094020"	"Pravastatin 20mg tablets (Almus Pharmaceuticals Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"54655"	18467811000001104	"02494020"	"Simvastatin 10mg tablets (Accord Healthcare Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54819"	17305711000001106	"77492020"	"Simvastatin 40mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Simvastatin"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54947"	9804811000001108	"71626020"	"Simvastatin 20mg tablets (Almus Pharmaceuticals Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54976"	10618511000001108	"02486020"	"Simvastatin 10mg tablets (Somex Pharma)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54985"	13894411000001106	"35160020"	"Simvastatin 40mg/5ml oral suspension"	"Simvastatin"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"54992"	14158711000001108	"35413020"	"Atorvastatin 10mg/5ml oral suspension"	"Atorvastatin calcium trihydrate"	"2mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"55032"	20448211000001100	"41336020"	"Atorvastatin 10mg tablets (Dexcel-Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"55034"	14158911000001106	"35417020"	"Atorvastatin 40mg/5ml oral suspension"	"Atorvastatin calcium trihydrate"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"55207"	4537511000001108	"02387020"	"Lipobay 200microgram tablets (Bayer Plc)"	"Cerivastatin sodium"	"200microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"55444"	20577411000001108	"41907020"	"Atorvastatin 40mg tablets (Zentiva)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"55452"	17785511000001104	"02508020"	"Simvastatin 20mg tablets (Phoenix Healthcare Distribution Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"55727"	20482711000001104	"41337020"	"Atorvastatin 10mg tablets (Actavis UK Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"55912"	8027611000001108	"02557020"	"Pravastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"56016"	19719611000001108	"38787020"	"Lipitor 20mg chewable tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Chewable tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56065"	21898011000001104	"47853020"	"Simvastatin 20mg/5ml oral suspension sugar free (Waymade Healthcare Plc)"	"Simvastatin"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"56097"	19722411000001104	"38784020"	"Atorvastatin 10mg chewable tablets sugar free"	"Atorvastatin calcium trihydrate"	"10mg"	"Chewable tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56146"	21850611000001104	"47203020"	"Pravastatin 10mg tablets (Waymade Healthcare Plc)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"56165"	19722511000001104	"38786020"	"Atorvastatin 20mg chewable tablets sugar free"	"Atorvastatin calcium trihydrate"	"20mg"	"Chewable tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56182"	20577611000001104	"41891020"	"Atorvastatin 80mg tablets (Zentiva)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56248"	14198211000001106	"02618020"	"Atorvastatin 20mg tablets (Sigma Pharmaceuticals Plc)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56481"	14732411000001108	"02488020"	"Zocor 10mg tablets (Sigma Pharmaceuticals Plc)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"56494"	14732811000001106	"02504020"	"Zocor 20mg tablets (Sigma Pharmaceuticals Plc)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"56564"	22047511000001104	"47180020"	"Atorvastatin 20mg tablets (Almus Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56607"	21850811000001100	"47204020"	"Pravastatin 20mg tablets (Waymade Healthcare Plc)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"56735"	8113111000001105	"68731020"	"Pravastatin 20mg tablets (Mylan)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"56841"	20448611000001104	"41325020"	"Atorvastatin 40mg tablets (Dexcel-Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"56893"	18465611000001100	"02564020"	"Pravastatin 40mg tablets (Accord Healthcare Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"56916"	11410811000001100	"68450020"	"Pravastatin 40mg tablets (PLIVA Pharma Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"57108"	21851011000001104	"47205020"	"Pravastatin 40mg tablets (Waymade Healthcare Plc)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"57117"	21779811000001108	"47030020"	"Atorvastatin 80mg tablets (Waymade Healthcare Plc)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"57137"	9806311000001106	"70090020"	"Pravastatin 10mg tablets (Almus Pharmaceuticals Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"57296"	17915711000001104	"02553020"	"Pravastatin 20mg tablets (Phoenix Healthcare Distribution Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"57329"	16091011000001104	"36882020"	"Simvastatin 25mg/5ml oral suspension"	"Simvastatin"	"5mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"57348"	20529411000001104	"41342020"	"Atorvastatin 10mg tablets (Consilient Health Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"57397"	18465211000001104	"02544020"	"Pravastatin 10mg tablets (Accord Healthcare Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"57568"	16451411000001100	"02491020"	"Zocor 10mg tablets (Lexon (UK) Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"57763"	10769311000001104	"10666020"	"Rosuvastatin 10mg tablets (Waymade Healthcare Plc)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"57834"	22613211000001108	"16680021"	"Atorvastatin 40mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"57836"	20495411000001100	"41290020"	"Atorvastatin 80mg tablets (Teva UK Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"57999"	16155011000001104	"10641020"	"Crestor 40mg tablets (Lexon (UK) Ltd)"	"Rosuvastatin calcium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"58041"	20494411000001104	"41346020"	"Atorvastatin 20mg tablets (Teva UK Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"58110"	20577211000001108	"41915020"	"Atorvastatin 20mg tablets (Zentiva)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"58315"	21899311000001104	"47200020"	"Simvastatin 20mg tablets (Waymade Healthcare Plc)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"58394"	20508111000001108	"41348020"	"Atorvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"58418"	20492611000001108	"41289020"	"Atorvastatin 80mg tablets (A A H Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"58480"	4566311000001105	"02622020"	"Lipobay 300microgram tablets (Bayer Plc)"	"Cerivastatin sodium"	"300microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"58617"	16075311000001100	"36834020"	"Rosuvastatin 20mg/5ml oral suspension"	"Rosuvastatin calcium"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"58742"	20570911000001100	"41889020"	"Atorvastatin 80mg tablets (Arrow Generics Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"58755"	17928611000001108	"02492020"	"Simvastatin 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"58834"	13831111000001108	"02603020"	"Atorvastatin 10mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"58868"	14197911000001104	"02605020"	"Atorvastatin 10mg tablets (Sigma Pharmaceuticals Plc)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"59272"	21779411000001104	"47179020"	"Atorvastatin 20mg tablets (Waymade Healthcare Plc)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"59278"	14036511000001108	"75832020"	"Fluvastatin 20mg capsules (Zentiva)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"59331"	13922611000001102	"02604020"	"Lipitor 10mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"59357"	22940511000001104	"17406021"	"Atorvastatin 10mg tablets (Ranbaxy (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"59446"	22047711000001108	"47193020"	"Atorvastatin 40mg tablets (Almus Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"59447"	10513311000001102	"10674020"	"Crestor 20mg tablets (Waymade Healthcare Plc)"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"59452"	12561111000001104	"10781020"	"Rosuvastatin 5mg tablets (Waymade Healthcare Plc)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"59508"	18465411000001104	"02554020"	"Pravastatin 20mg tablets (Accord Healthcare Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"59776"	20497611000001104	"41291020"	"Atorvastatin 80mg tablets (Aspire Pharma Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"59859"	20492811000001104	"41339020"	"Atorvastatin 10mg tablets (Teva UK Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"60160"	18202311000001104	"10787020"	"Rosuvastatin 5mg tablets (Mawdsley-Brooks & Company Ltd)"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"60251"	7997711000001109	"68335020"	"Pravastatin 10mg tablets (Sandoz Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"60464"	14018311000001108	"35365020"	"Atorvastatin 20mg/5ml oral suspension"	"Atorvastatin calcium trihydrate"	"4mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"60511"	22941211000001100	"17409021"	"Atorvastatin 40mg tablets (Ranbaxy (UK) Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"60607"	22613511000001108	"16641021"	"Atorvastatin 80mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"60989"	22202511000001100	"14765021"	"Atorvastatin 80mg tablets (Phoenix Healthcare Distribution Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"61134"	15175111000001106	"02552020"	"Pravastatin 20mg tablets (Sigma Pharmaceuticals Plc)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"61149"	21779211000001108	"47177020"	"Atorvastatin 10mg tablets (Waymade Healthcare Plc)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"61155"	18758211000001108	"78014020"	"Simvastatin 40mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd)"	"Simvastatin"	"8mg/1ml"	"Oral suspension"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"61321"	4579911000001105	"66197020"	"Simvastatin 10mg tablets (Sandoz Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"61360"	9805011000001104	"71623020"	"Simvastatin 10mg tablets (Almus Pharmaceuticals Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"61665"	21899011000001108	"47199020"	"Simvastatin 10mg tablets (Waymade Healthcare Plc)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"62132"	4538111000001103	"02623020"	"Lipobay 400microgram tablets (Bayer Plc)"	"Cerivastatin sodium"	"400microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"62137"	21899611000001100	"47201020"	"Simvastatin 40mg tablets (Waymade Healthcare Plc)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"62148"	16237911000001102	"77027020"	"Fluvastatin 20mg capsules (Actavis UK Ltd)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"62219"	22613011000001104	"16676021"	"Atorvastatin 20mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"62429"	13831511000001104	"02616020"	"Atorvastatin 20mg tablets (DE Pharmaceuticals)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"62476"	22047911000001108	"47031020"	"Atorvastatin 80mg tablets (Almus Pharmaceuticals Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"62979"	8099711000001100	"02558020"	"Pravastatin 40mg tablets (Kent Pharmaceuticals Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"63074"	11410611000001104	"68446020"	"Pravastatin 20mg tablets (PLIVA Pharma Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"63140"	20507911000001104	"41341020"	"Atorvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"63249"	20513411000001108	"41293020"	"Atorvastatin 80mg tablets (Consilient Health Ltd)"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"63469"	20512911000001108	"41847020"	"Atorvastatin 30mg tablets (Consilient Health Ltd)"	"Atorvastatin calcium trihydrate"	"30mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"63787"	13761111000001104	"02539020"	"Pravastatin 10mg tablets (Tillomed Laboratories Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"64067"	14018211000001100	"35363020"	"Atorvastatin 20mg/5ml oral solution"	"Atorvastatin calcium trihydrate"	"4mg/1ml"	"Oral solution"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
