"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antipsychotic"
"7479"	85	"Stelazine 1mg/ml Injection (Goldshield Pharmaceuticals Ltd)"	"Trifluoperazine"	"1mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Products/-"	"Trifluoperazine"
"18175"	17058	"Flupentixol 100mg/1ml solution for injection ampoules"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"46705"	0	"Abilify 9.75mg/1.3ml solution for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"7.5mg/1ml"	"Solution for injection"	"Intramuscular"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"47365"	26	"Anquil 250microgram tablets (Neon Healthcare Ltd)"	"Benperidol"	"250microgram"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Benperidol"
"61083"	6	"Levomepromazine 25mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Levomepromazine"	"25mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous/Intramuscular"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"
"87786"	0	"Aripiprazole 30mg tablets (Milpharm Ltd)"	"Aripiprazole"	"30mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"89620"	21	"Quetiapine 100mg tablets (Accord-UK Ltd)"	"Quetiapine"	"100mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"55622"	21132	"Olanzapine 10mg orodispersible tablets"	"Olanzapine"	"10mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"41732"	2	"Promazine 50mg tablets (Teva UK Ltd)"	"Promazine"	"50mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Promazine"
"7918"	905	"Moditen 2.5mg tablets (Sanofi)"	"Fluphenazine"	"2.5mg"	"Oral tablet"	"Oral"	"Unknown"	"Fluphenazine"
"12356"	438	"LARGACTIL 50 MG INJ"	"Chlorpromazine"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Chlorpromazine"
"18024"	8075	"Zyprexa 5mg tablets (Neon Healthcare Ltd)"	"Olanzapine"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"51178"	251	"Quetiapine 50mg/5ml oral suspension"	"Quetiapine"	"10mg/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"14576"	300	"Zuclopenthixol acetate 50mg/ml oily injection"	"Zuclopenthixol"	"50mg/ml"	"Oily Injection"	"Intramuscular"	"Antipsychotic Products"	"Zuclopenthixol"
"76775"	59	"Olanzapine 2.5mg orodispersible tablets sugar free"	"Olanzapine"	"2.5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"77098"	392	"Risperidone 2mg tablets (Dexcel-Pharma Ltd)"	"Risperidone"	"2mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"73439"	1	"Quetiapine 150mg/5ml oral suspension"	"Quetiapine"	"30mg/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"12340"	7621	"Piportil 50mg/ml Depot injection (JHC Healthcare Ltd)"	"Pipotiazine"	"50mg/ml"	"Depot Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Antipsychotic Depot Injections"	"Pipotiazine"
"5039"	875923	"Quetiapine 100mg tablets"	"Quetiapine"	"100mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"7833"	6484	"Neulactil 2.5mg Tablet (JHC Healthcare Ltd)"	"Pericyazine"	"2.5mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Pericyazine"
"12387"	7009	"Haloperidol 20mg tablets"	"Haloperidol"	"20mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"3605"	45767	"Thioridazine 25mg/5ml oral solution"	"Thioridazine"	"5mg/1ml"	"Oral solution"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"74864"	32	"Olanzapine 15mg orodispersible tablets (Teva UK Ltd)"	"Olanzapine"	"15mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"1159"	81404	"Trifluoperazine 2mg modified-release capsules"	"Trifluoperazine"	"2mg"	"Modified-release capsule"	"Oral"	"Unknown"	"Trifluoperazine"
"47361"	5	"Thioridazine 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Thioridazine"	"10mg/5ml"	"Oral Solution"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"84475"	0	"Chlorpromazine 25mg tablets (DE Pharmaceuticals)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"74855"	47	"Olanzapine 20mg orodispersible tablets (Teva UK Ltd)"	"Olanzapine"	"20mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"4234"	14743	"Haloperidol 5mg/ml Injection"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"Antipsychotic Products/-"	"Haloperidol"
"89680"	4	"Risperdal 1mg/ml oral solution (DE Pharmaceuticals)"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"14578"	1189	"Nortriptyline 30mg / Fluphenazine 1.5mg tablets"	"Fluphenazine"	"30mg + 1.5mg"	"Oral tablet"	"Oral"	"Unknown"	"Fluphenazine"
"77988"	6	"Haloperidol 1.5mg tablets (Crescent Pharma Ltd)"	"Haloperidol"	"1.5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"500"	274956	"Buccastem 3mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Prochlorperazine"	"3mg"	"Buccal tablet"	"Buccal"	"Antipsychotic Products/-"	"Prochlorperazine"
"43431"	192	"Haloperidol 500microgram tablets (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"500microgram"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"40001"	2773	"Stemetil 5mg/5ml syrup (Sanofi)"	"Prochlorperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"79911"	3	"Zalasta 2.5mg tablets (Krka UK Ltd)"	"Olanzapine"	"2.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"81316"	0	"Prochlorperazine 5mg tablets (Phoenix Healthcare Distribution Ltd)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"35488"	1095	"Piportil Depot 100mg/2ml solution for injection ampoules (Sanofi)"	"Pipotiazine"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Pipotiazine"
"10434"	8701	"Largactil 25mg/5ml Oral solution (Hawgreen Ltd)"	"Chlorpromazine"	"5mg/1ml"	"Oral solution"	"Oral"	"Antipsychotic Products/-"	"Chlorpromazine"
"41428"	83	"Denzapine 200mg tablets (Britannia Pharmaceuticals Ltd)"	"Clozapine"	"200mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"21744"	1441	"Anquil 250microgram Tablet (Concord Pharmaceuticals Ltd)"	"Benperidol"	"250microgram"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Benperidol"
"82933"	971	"Quetiapine 600mg modified-release tablets"	"Quetiapine"	"600mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"88117"	25	"Chlorpromazine 50mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Chlorpromazine"	"50mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"5707"	42508	"Flupentixol 3mg tablets"	"Flupentixol"	"3mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Flupentixol"
"77076"	3	"Abilify 5mg tablets (Dowelhurst Ltd)"	"Aripiprazole"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"71415"	51	"Haloperidol 5mg/5ml oral suspension"	"Haloperidol"	"1mg/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"7834"	185929	"Pericyazine 2.5mg tablets"	"Pericyazine"	"2.5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Pericyazine"
"90144"	0	"Olanzapine 5mg tablets (A A H Pharmaceuticals Ltd)"	"Olanzapine"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"85272"	0	"Risperidone 250microgram tablets (Alliance Healthcare (Distribution) Ltd)"	"Risperidone"	"250microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"47103"	2879	"Olanzapine 15mg orodispersible tablets sugar free"	"Olanzapine"	"15mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"17877"	35	"TRIFLUPERIDOL 2 MG TAB"	"Trifluperidol"	NA	"Tablet"	"Oral"	"Unknown"	"Trifluperidol"
"31175"	29	"Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"90197"	4	"Halkid 200micrograms/ml oral solution (Thame Laboratories Ltd)"	"Haloperidol"	"200microgram/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"73469"	15	"Thioridazine 25mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)"	"Thioridazine"	"25mg/5ml"	"Oral Solution"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"17399"	258	"Thioridazine 50mg/5ml Oral solution"	"Thioridazine"	"50mg/5ml"	"Oral Solution"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"51444"	0	"Risperdal Consta 50mg powder and solvent for prolonged-release suspension for injection vials (Waymade Healthcare Plc)"	"Risperidone"	"50mg"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"10514"	7170	"Fluphenazine decanoate 100mg/ml Injection"	"Fluphenazine"	"100mg/ml"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Antipsychotic Depot Injections"	"Fluphenazine"
"33780"	9936	"Modecate 25mg/1ml solution for injection ampoules (Sanofi)"	"Fluphenazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Fluphenazine"
"17190"	9	"Fluphenazine enanthate 25mg/ml Injection"	"Fluphenazine"	"25mg/ml"	"Injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Fluphenazine"
"73833"	1	"Haloperidol 500micrograms/5ml oral suspension"	"Haloperidol"	"100microgram/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"34272"	22	"Haloperidol 5mg/ml Injection (Antigen Pharmaceuticals)"	"Haloperidol"	"5mg/ml"	"Injection"	"Subcutaneous Infusion"	"Antipsychotic Products/-"	"Haloperidol"
"51579"	3	"Stemetil 5mg tablets (Sigma Pharmaceuticals Plc)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"64210"	94	"Latuda 74mg tablets (CNX Therapeutics Ltd)"	"Lurasidone"	"74mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Lurasidone"
"15395"	1312	"Promazine 12.5mg/5ml oral solution"	"Promazine"	"12.5mg/5ml"	"Syrup"	"Oral"	"Antipsychotic Products"	"Promazine"
"57571"	22	"Droperidol 5mg/5ml oral solution"	"Droperidol"	"1mg/1ml"	"Oral solution"	"Oral"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Droperidol"
"14987"	46	"Perphenazine 2mg/5ml oral solution sugar free"	"Perphenazine"	"2mg/5ml"	"Syrup Sugar-Free"	"Oral"	"Antipsychotic Products/-"	"Perphenazine"
"81233"	8	"Clozapine 12.5mg orodispersible tablets sugar free"	"Clozapine"	"12.5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"75650"	499	"Brancico XL 200mg tablets (Zentiva Pharma UK Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"78807"	7	"Olanzapine 5mg orodispersible tablets (A A H Pharmaceuticals Ltd)"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"10446"	38	"CHLORPROMAZINE HCl 50 MG TAB"	"Chlorpromazine"	NA	"Tablet"	"Oral"	"Unknown"	"Chlorpromazine"
"79313"	29	"Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes"	"Paliperidone"	"200mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"38885"	218151	"Quetiapine 50mg modified-release tablets"	"Quetiapine"	"50mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"58703"	746	"Largactil 50mg tablets (Sanofi)"	"Chlorpromazine"	"50mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"50214"	19930	"Olanzapine 5mg orodispersible tablets"	"Olanzapine"	"5mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"89063"	2	"Levomepromazine 50mg/5ml oral suspension"	"Levomepromazine"	"10mg/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Levomepromazine"
"28147"	0	"Taractan 15mg Tablet (Roche Products Ltd)"	"Chlorprothixene"	"15mg"	"Tablet"	"Oral"	"Antipsychotic Products"	"Chlorprothixene"
"26800"	51	"Loxapac 50mg capsules (Wyeth Pharmaceuticals)"	"Loxapine"	"50mg"	"Oral capsule"	"Oral"	"Unknown"	"Loxapine"
"84320"	6	"Risperidone 250micrograms/5ml oral suspension"	"Risperidone"	"50microgram/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"28355"	22178	"Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules"	"Zuclopenthixol"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"
"63364"	20997	"Zaluron XL 200mg tablets (Fontus Health Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"47808"	67	"Haloperidol 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Haloperidol"	"2mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"77484"	43	"Quetiapine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Quetiapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"66255"	14	"Atrolak XL 200mg tablets (Accord-UK Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"55625"	10	"Amisulpride 50mg/5ml oral suspension"	"Amisulpride"	"10mg/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"51558"	3	"Amisulpride 12.5mg/5ml oral suspension"	"Amisulpride"	"2.5mg/1ml"	"Oral suspension"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"81234"	27	"Quetiapine 200mg tablets (Milpharm Ltd)"	"Quetiapine"	"200mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"47256"	981	"Olanzapine 5mg oral lyophilisates sugar free"	"Olanzapine"	NA	NA	NA	"Unknown"	"Olanzapine"
"12386"	11190	"Haldol Decanoate 100mg/1ml solution for injection ampoules (Essential Pharma Ltd)"	"Haloperidol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"First-Generation Antipsychotic Drugs/Antipsychotic Depot Injections"	"Haloperidol"
"61103"	562	"Olanzapine 15mg oral lyophilisates sugar free"	"Olanzapine"	"15mg"	"Oral lyophilisate"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"53556"	2442	"Olanzapine 10mg oral lyophilisates sugar free"	"Olanzapine"	"10mg"	"Oral lyophilisate"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"38914"	6925	"Seroquel XL 200mg tablets (Luye Pharma Ltd)"	"Quetiapine"	"200mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"77571"	14	"Prochlorperazine 5mg tablets (Waymade Healthcare Plc)"	"Prochlorperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Prochlorperazine"
"52143"	3	"THIORIDAZINE CONCENTRATE 750MG/5ML 750 MG ELI"	"Thioridazine"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Thioridazine"
"88460"	0	"Aripiprazole 1mg/ml oral solution (Alliance Healthcare (Distribution) Ltd)"	"Aripiprazole"	"1mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"70313"	1	"Quetiapine 100mg tablets (DE Pharmaceuticals)"	"Quetiapine"	"100mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"23517"	23	"THIOPROPAZATE HCl 10 MG TAB"	"Thiopropazate"	NA	"Tablet"	"Oral"	"Unknown"	"Thiopropazate"
"8903"	12383	"Sulpiride 200mg/5ml oral solution sugar free"	"Sulpiride"	"40mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"56215"	173	"Quetiapine 50mg/5ml oral solution"	"Quetiapine"	"10mg/1ml"	"Oral solution"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"56862"	495	"Chlorpromazine 25mg/5ml syrup (Rosemont Pharmaceuticals Ltd)"	"Chlorpromazine"	"5mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"22606"	52	"Chlorpromazine 25mg/1ml solution for injection ampoules"	"Chlorpromazine"	"25mg/1ml"	"Solution for injection"	"Intramuscular/Intravenous"	"Unknown"	"Chlorpromazine"
"81221"	40	"Cariprazine 6mg capsules"	"Cariprazine"	"6mg"	"Oral capsule"	"Oral"	"Antipsychotic Products"	"Cariprazine"
"9965"	6177	"Chlorpromazine 100mg/5ml oral suspension sugar free"	"Chlorpromazine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Unknown"	"Chlorpromazine"
"13888"	3928	"Zyprexa 10mg Velotabs (Neon Healthcare Ltd)"	"Olanzapine"	"10mg"	"Oral lyophilisate"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"3579"	34208	"Melleril 25mg/5ml oral suspension (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine"	"5mg/1ml"	"Oral suspension"	"Oral"	"Unknown"	"Thioridazine"
"5497"	2093	"Stemetil 25mg tablets (Sanofi)"	"Prochlorperazine"	"25mg"	"Oral tablet"	"Oral"	"Unknown"	"Prochlorperazine"
"329"	283261	"Haloperidol 1.5mg tablets"	"Haloperidol"	"1.5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Haloperidol"
"18197"	3579	"Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"60782"	15	"Psytixol 20mg/1ml solution for injection ampoules (Viatris UK Healthcare Ltd)"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"1314"	154921	"Thioridazine 50mg tablets"	"Thioridazine"	"50mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"8921"	738	"Integrin 10mg Capsule (Sanofi-Synthelabo Ltd)"	"Oxypertine"	"10mg"	"Oral capsule"	"Oral"	"Antipsychotic Products"	"Oxypertine"
"14344"	338742	"Aripiprazole 5mg tablets"	"Aripiprazole"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"12707"	60238	"Zuclopenthixol 2mg tablets"	"Zuclopenthixol"	"2mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"
"43424"	697	"Thioridazine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Thioridazine"	"25mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"86929"	1	"Aripiprazole 5mg tablets (Aspire Pharma Ltd)"	"Aripiprazole"	"5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"
"10405"	1777	"Thioridazine 25mg/5ml sugar free Oral solution"	"Thioridazine"	"25mg/5ml"	"Oral Solution"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"64778"	2727	"Sondate XL 150mg tablets (Teva UK Ltd)"	"Quetiapine"	"150mg"	"Modified-release tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"
"3024"	6474	"PROCHLORPERAZINE MALEATE 3 MG TAB"	"Prochlorperazine"	NA	"Tablet"	"Oral"	"Unknown"	"Prochlorperazine"
"10689"	62	"LARGACTIL FORTE SYR"	"Chlorpromazine"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Chlorpromazine"
"20174"	295	"Loxapac 10mg capsules (Wyeth Pharmaceuticals)"	"Loxapine"	"10mg"	"Oral capsule"	"Oral"	"Unknown"	"Loxapine"
"2787"	256817	"Risperidone 4mg tablets"	"Risperidone"	"4mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"78430"	114	"Thioridazine 25mg Tablet (Actavis UK Ltd)"	"Thioridazine"	"25mg"	"Oral tablet"	"Oral"	"Antipsychotic Products"	"Thioridazine"
"85613"	1	"Risperdal 500microgram tablets (Lexon (UK) Ltd)"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"47233"	244	"Zaponex 25mg tablets (Leyden Delta B.V.)"	"Clozapine"	"25mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Clozapine"
"14966"	8477	"Flupentixol 20mg/1ml solution for injection ampoules"	"Flupentixol"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Flupentixol"
"90785"	1	"Benperidol 250micrograms/5ml oral suspension"	"Benperidol"	"50microgram/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Benperidol"
"9247"	82278	"Sulpiride 400mg tablets"	"Sulpiride"	"400mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"43522"	341	"Sulpiride 200mg tablets (Teva UK Ltd)"	"Sulpiride"	"200mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Sulpiride"
"90261"	24	"Chlorpromazine 100mg Tablet (C P Pharmaceuticals Ltd)"	"Chlorpromazine"	"100mg"	"Oral tablet"	"Oral"	"Antipsychotic Products/-"	"Chlorpromazine"
"67747"	0	"Chlorpromazine 25mg tablets (Almus Pharmaceuticals Ltd)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"7593"	12018	"Stemetil 5mg/5ml Oral solution (Castlemead Healthcare Ltd)"	"Prochlorperazine"	"1mg/1ml"	"Oral solution"	"Oral"	"Antipsychotic Products/-"	"Prochlorperazine"
"79560"	106	"Cariprazine 4.5mg capsules"	"Cariprazine"	"4.5mg"	"Oral capsule"	"Oral"	"Antipsychotic Products"	"Cariprazine"
"17849"	1690	"Vertigon spansule 15 15mg Spansule (GlaxoSmithKline Consumer Healthcare)"	"Prochlorperazine"	"15mg"	"Spansule"	"Oral"	"Antipsychotic Products/-"	"Prochlorperazine"
"47832"	65	"Risperidone 500microgram tablets (A A H Pharmaceuticals Ltd)"	"Risperidone"	"500microgram"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"39830"	659	"Neulactil 2.5mg tablets (Sanofi)"	"Pericyazine"	"2.5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Pericyazine"
"71382"	20	"Promazine 50mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Promazine"	"10mg/1ml"	"Oral solution"	"Oral"	"First-Generation Antipsychotic Drugs"	"Promazine"
"46556"	4010	"Paliperidone 75mg/0.75ml prolonged-release suspension for injection pre-filled syringes"	"Paliperidone"	"100mg/1ml"	"Prolonged-release suspension for injection"	"Intramuscular"	"Antipsychotic Depot Injections"	"Paliperidone"
"76933"	488	"Risperdal Consta 25mg powder and solvent for prolonged-release suspension for injection vials (Waymade Healthcare Plc)"	"Risperidone"	"25mg"	"Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"8045"	2655	"CHLORPROMAZINE 200 MG TAB"	"Chlorpromazine"	NA	"Tablet"	"Oral"	"Unknown"	"Chlorpromazine"
"13105"	1505	"Haloperidol 2mg/ml Oral solution"	"Haloperidol"	"2mg/ml"	"Oral Solution"	"Oral"	"Antipsychotic Products/-"	"Haloperidol"
"2786"	55759	"Risperidone 6mg tablets"	"Risperidone"	"6mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
"87485"	0	"Amisulpride 100mg tablets (A A H Pharmaceuticals Ltd)"	"Amisulpride"	"100mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"
"90886"	6	"Risperidone 1mg orodispersible tablets sugar free (Krka UK Ltd)"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"Second-Generation Antipsychotic Drugs"	"Risperidone"
