"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Metformin"
"17580"	5284	"Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd)"	"Metformin"	"1mg + 500mg"	"Oral tablet"	"Oral"	"Unknown"	"Metformin"
"47939"	159	"Glucient SR 500mg tablets (Consilient Health Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"86710"	0	"Metformin 750mg modified-release tablets (DE Pharmaceuticals)"	"Metformin"	"750mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"45581"	2800	"Metabet SR 500mg tablets (Morningside Healthcare Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"7375"	60522	"Rosiglitazone 4mg / Metformin 1g tablets"	"Metformin"	"1gram + 4mg"	"Oral tablet"	"Oral"	"Glitazones Plus Metformin"	"Metformin"
"82085"	8	"Metformin 500mg tablets (RX Farma)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"71198"	0	"Metformin 500mg tablets (Zanza Specials International Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"49502"	0	"Glucophage SR 500mg tablets (Mawdsley-Brooks & Company Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"65694"	1	"Metformin 500mg modified-release tablets (Waymade Healthcare Plc)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"50821"	0	"Metformin 850mg tablets (Pfizer Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"33087"	7749	"Metformin 500mg tablets (Accord-UK Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"53867"	23	"Metformin 500mg tablets (Zentiva Pharma UK Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"2928"	942	"METFORMIN HCl 850 MG TAB"	"Metformin"	NA	"Tablet"	"Oral"	"Unknown"	"Metformin"
"39203"	4255	"Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Metformin"	"850mg + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"72046"	0	"Metformin 500mg tablets (DE Pharmaceuticals)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"83841"	0	"Metformin 500mg tablets (Sigma Pharmaceuticals Plc)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"73511"	2189	"Yaltormin SR 750mg tablets (Wockhardt UK Ltd)"	"Metformin"	"750mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"68589"	4553	"Metformin 1g/5ml oral solution sugar free"	"Metformin"	"200mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"87808"	0	"Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"65923"	0	"Metformin 1g modified-release tablets (Mawdsley-Brooks & Company Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"55711"	43	"Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"51527"	0	"Metformin 500mg tablets (Boston Healthcare Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"61043"	171113	"Sukkarto SR 1000mg tablets (Morningside Healthcare Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"82372"	0	"Competact 15mg/850mg tablets (DE Pharmaceuticals)"	"Metformin"	"850mg + 15mg"	"Oral tablet"	"Oral"	"Glitazones Plus Metformin"	"Metformin"
"62144"	0	"Metformin 500mg modified-release tablets (DE Pharmaceuticals)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"54150"	136	"Jentadueto 2.5mg/850mg tablets (Boehringer Ingelheim Ltd)"	"Metformin"	"850mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"83988"	0	"Metformin 1g modified-release tablets (Morningside Healthcare Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"58051"	93	"Metformin 500mg/5ml oral solution"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"90226"	1	"Jesacrin 1000mg modified-release tablets (Key Pharmaceuticals Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"39729"	306983	"Glucophage SR 1000mg tablets (Merck Serono Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"59620"	1	"Glucophage SR 500mg tablets (Waymade Healthcare Plc)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"82349"	0	"Metformin 850mg tablets (Phoenix Healthcare Distribution Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"68636"	758	"Metformin 850mg/5ml oral solution sugar free"	"Metformin"	"170mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"26258"	832	"Glucamet 850mg Tablet (Opus Pharmaceuticals Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"7048"	3567816	"Metformin 500mg modified-release tablets"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"50682"	1035	"Jentadueto 2.5mg/1000mg tablets (Boehringer Ingelheim Ltd)"	"Metformin"	"1000mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"73673"	0	"Metformin 500mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"63929"	1697	"Canagliflozin 50mg / Metformin 1g tablets"	"Metformin"	"1gram + 50mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Metformin"	"Metformin"
"72052"	80	"Metformin 500mg Tablet (Lagap)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"51080"	49	"Metabet SR 1000mg tablets (Actavis UK Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
