"medcode"	"readcode"	"desc"	"cat"
"47377"	"C105y00"	"other specified diabetes mellitus with ophthalmic complicatn"	"Other"
"47409"	"C109B11"	"type ii diabetes mellitus with polyneuropathy"	"Type 2"
"47582"	"C10E000"	"type 1 diabetes mellitus with renal complications"	"Type 1"
"47584"	"F420500"	"advanced diabetic retinal disease"	"Unknown"
"47649"	"C10E100"	"type 1 diabetes mellitus with ophthalmic complications"	"Type 1"
"47650"	"C10E300"	"type 1 diabetes mellitus with multiple complications"	"Type 1"
"47816"	"C109H11"	"type ii diabetes mellitus with neuropathic arthropathy"	"Type 2"
"47954"	"C10F900"	"type 2 diabetes mellitus without complication"	"Type 2"
"48078"	"F372000"	"acute painful diabetic neuropathy"	"Unknown"
"48192"	"C109E11"	"type ii diabetes mellitus with diabetic cataract"	"Type 2"
"49074"	"C10F400"	"type 2 diabetes mellitus with ulcer"	"Type 2"
"49146"	"C108211"	"type i diabetes mellitus with neurological complications"	"Type 1"
"49276"	"C108100"	"insulin-dependent diabetes mellitus with ophthalmic comps"	"Type 1"
"49554"	"C10EF00"	"type 1 diabetes mellitus with diabetic cataract"	"Type 1"
"49640"	"2G5W.00"	"o/e - left chronic diabetic foot ulcer"	"Unknown"
"49655"	"C10F611"	"type ii diabetes mellitus with retinopathy"	"Type 2"
"49869"	"C109G12"	"type 2 diabetes mellitus with arthropathy"	"Type 2"
"49884"	"6761.00"	"diabetic pre-pregnancy counselling"	"Unknown"
"49949"	"C10E411"	"unstable type i diabetes mellitus"	"Type 1"
"5002"	"F372.11"	"diabetic polyneuropathy"	"Unknown"
"50175"	"66AW.00"	"diabetic foot risk assessment"	"Unknown"
"50225"	"C109011"	"type ii diabetes mellitus with renal complications"	"Type 2"
"50429"	"C109100"	"non-insulin-dependent diabetes mellitus with ophthalm comps"	"Type 2"
"50527"	"C10FB11"	"type ii diabetes mellitus with polyneuropathy"	"Type 2"
"506"	"C100112"	"non-insulin dependent diabetes mellitus"	"Type 2"
"50609"	"L180600"	"pre-existing diabetes mellitus, non-insulin-dependent"	"Type 2"
"50813"	"C109A11"	"type ii diabetes mellitus with mononeuropathy"	"Type 2"
"50937"	"8HTe.00"	"referral to diabetes preconception counselling clinic"	"Unknown"
"50960"	"L180500"	"pre-existing diabetes mellitus, insulin-dependent"	"Type 1"
"50972"	"C100z00"	"diabetes mellitus nos with no mention of complication"	"Unknown"
"51261"	"C10E.12"	"insulin dependent diabetes mellitus"	"Type 1"
"51697"	"C10G.00"	"secondary pancreatic diabetes mellitus"	"Other"
"51756"	"C10FP00"	"type 2 diabetes mellitus with ketoacidotic coma"	"Type 2"
"51957"	"C108511"	"type i diabetes mellitus with ulcer"	"Type 1"
"52041"	"2BBl.00"	"o/e - left eye stable treated prolif diabetic retinopathy"	"Unknown"
"52104"	"C108300"	"insulin dependent diabetes mellitus with multiple complicatn"	"Type 1"
"52212"	"Cyu2.00"	"[x]diabetes mellitus"	"Unknown"
"52236"	"C10A.00"	"malnutrition-related diabetes mellitus"	"Other"
"52237"	"9360.00"	"patient held diabetic record issued"	"Unknown"
"52283"	"C108200"	"insulin-dependent diabetes mellitus with neurological comps"	"Type 1"
"52303"	"C109000"	"non-insulin-dependent diabetes mellitus with renal comps"	"Type 2"
"52630"	"2BBo.00"	"o/e - sight threatening diabetic retinopathy"	"Unknown"
"53200"	"C101000"	"diabetes mellitus, juvenile type, with ketoacidosis"	"Type 1"
"53238"	"66AG.00"	"diabetic drug side effects"	"Unknown"
"53392"	"C10F911"	"type ii diabetes mellitus without complication"	"Type 2"
"53634"	"R054200"	"[d]gangrene of toe in diabetic"	"Unknown"
"54008"	"C10EJ00"	"type 1 diabetes mellitus with neuropathic arthropathy"	"Type 1"
"54212"	"C109F00"	"non-insulin-dependent d m with peripheral angiopath"	"Type 2"
"54419"	"918T.00"	"diabetes key contact"	"Unknown"
"54600"	"C10E412"	"unstable insulin dependent diabetes mellitus"	"Type 1"
"54601"	"9NN8.00"	"under care of diabetologist"	"Unknown"
"54856"	"C101100"	"diabetes mellitus, adult onset, with ketoacidosis"	"Type 2"
"54899"	"C109F11"	"type ii diabetes mellitus with peripheral angiopathy"	"Type 2"
"55075"	"C109411"	"type ii diabetes mellitus with ulcer"	"Type 2"
"55123"	"66AO.00"	"date diabetic treatment stopp."	"Unknown"
"55239"	"C10EQ00"	"type 1 diabetes mellitus with gastroparesis"	"Type 1"
"55431"	"L180X00"	"pre-existing diabetes mellitus, unspecified"	"Unknown"
"55842"	"C109200"	"non-insulin-dependent diabetes mellitus with neuro comps"	"Type 2"
"56268"	"C109D11"	"type ii diabetes mellitus with hypoglycaemic coma"	"Type 2"
"56448"	"C108A00"	"insulin-dependent diabetes without complication"	"Type 1"
"56803"	"C107400"	"niddm with peripheral circulatory disorder"	"Type 2"
"57278"	"C10F011"	"type ii diabetes mellitus with renal complications"	"Type 2"
"57333"	"N030011"	"diabetic cheiropathy"	"Unknown"
"57389"	"93C4.00"	"patient consent given for addition to diabetic register"	"Unknown"
"57621"	"C108D00"	"insulin dependent diabetes mellitus with nephropathy"	"Type 1"
"57723"	"8HHy.00"	"referral to diabetic register"	"Unknown"
"58133"	"ZLD7500"	"discharge by diabetic liaison nurse"	"Unknown"
"58604"	"C109611"	"type ii diabetes mellitus with retinopathy"	"Type 2"
"58639"	"8I57.00"	"patient held diabetic record declined"	"Unknown"
"5884"	"C109.11"	"niddm - non-insulin dependent diabetes mellitus"	"Type 2"
"59253"	"C10FG00"	"type 2 diabetes mellitus with arthropathy"	"Type 2"
"59288"	"C103y00"	"other specified diabetes mellitus with coma"	"Other"
"59365"	"C109C00"	"non-insulin dependent diabetes mellitus with nephropathy"	"Type 2"
"59725"	"C109111"	"type ii diabetes mellitus with ophthalmic complications"	"Type 2"
"59903"	"C106.11"	"diabetic amyotrophy"	"Unknown"
"59991"	"C10D.11"	"maturity onset diabetes in youth type 2"	"Other"
"60107"	"C108411"	"unstable type i diabetes mellitus"	"Type 1"
"60208"	"C108J11"	"type i diabetes mellitus with neuropathic arthropathy"	"Type 1"
"60499"	"C108600"	"insulin dependent diabetes mellitus with gangrene"	"Type 1"
"60699"	"C109F12"	"type 2 diabetes mellitus with peripheral angiopathy"	"Type 2"
"60796"	"C10FL11"	"type ii diabetes mellitus with persistent proteinuria"	"Type 2"
"608"	"66A2.00"	"follow-up diabetic assessment"	"Unknown"
"61021"	"68AB.00"	"diabetic digital retinopathy screening offered"	"Unknown"
"61071"	"C109D12"	"type 2 diabetes mellitus with hypoglycaemic coma"	"Type 2"
"61122"	"C10H.00"	"diabetes mellitus induced by non-steroid drugs"	"Other"
"61210"	"TJ23z00"	"adverse reaction to insulins and antidiabetic agents nos"	"Unknown"
"6125"	"66AS.00"	"diabetic annual review"	"Unknown"
"61344"	"C108011"	"type i diabetes mellitus with renal complications"	"Type 1"
"61461"	"9M00.00"	"informed consent for diabetes national audit"	"Unknown"
"61470"	"66Al.00"	"diabetic monitoring - higher risk albumin excretion"	"Unknown"
"61523"	"C106y00"	"other specified diabetes mellitus with neurological comps"	"Other"
"61557"	"8HKE.00"	"diabetology d.v. requested"	"Unknown"
"61829"	"C108212"	"type 1 diabetes mellitus with neurological complications"	"Type 1"
"62107"	"C109511"	"type ii diabetes mellitus with gangrene"	"Type 2"
"62146"	"C109300"	"non-insulin-dependent diabetes mellitus with multiple comps"	"Type 2"
"62209"	"C10EM11"	"type i diabetes mellitus with ketoacidosis"	"Type 1"
"62352"	"C108H11"	"type i diabetes mellitus with arthropathy"	"Type 1"
"62384"	"2G5V.00"	"o/e - right chronic diabetic foot ulcer"	"Unknown"
"62613"	"C10EA11"	"type i diabetes mellitus without complication"	"Type 1"
"62674"	"C10FA00"	"type 2 diabetes mellitus with mononeuropathy"	"Type 2"
"63017"	"C108911"	"type i diabetes mellitus maturity onset"	"Other"
"63357"	"C107100"	"diabetes mellitus, adult, + peripheral circulatory disorder"	"Type 2"
"63371"	"C10y100"	"diabetes mellitus, adult, + other specified manifestation"	"Type 2"
"63412"	"8CR2.00"	"diabetes clinical management plan"	"Unknown"
"63555"	"F374z00"	"polyneuropathy in disease nos"	"Unknown"
"63690"	"C10FR00"	"type 2 diabetes mellitus with gastroparesis"	"Type 2"
"63762"	"C10z100"	"diabetes mellitus, adult onset, + unspecified complication"	"Type 2"
"64142"	"8Hl1.00"	"referral for diabetic retinopathy screening"	"Unknown"
"64283"	"C10zy00"	"other specified diabetes mellitus with unspecified comps"	"Other"
"6430"	"9NM0.00"	"attending diabetes clinic"	"Unknown"
"64357"	"C10zz00"	"diabetes mellitus nos with unspecified complication"	"Unknown"
"64446"	"C108G00"	"insulin dependent diab mell with peripheral angiopathy"	"Type 1"
"64449"	"C108z00"	"unspecified diabetes mellitus with multiple complications"	"Unknown"
"64571"	"C109C11"	"type ii diabetes mellitus with nephropathy"	"Type 2"
"64668"	"C10FJ11"	"insulin treated type ii diabetes mellitus"	"Type 2"
"65025"	"C107z00"	"diabetes mellitus nos with peripheral circulatory disorder"	"Unknown"
"65062"	"C103z00"	"diabetes mellitus nos with ketoacidotic coma"	"Unknown"
"6509"	"C108700"	"insulin dependent diabetes mellitus with retinopathy"	"Type 1"
"65267"	"C10F300"	"type 2 diabetes mellitus with multiple complications"	"Type 2"
"65463"	"F420800"	"high risk non proliferative diabetic retinopathy"	"Unknown"
"65616"	"C108H00"	"insulin dependent diabetes mellitus with arthropathy"	"Type 1"
"65684"	"U602311"	"[x] adverse reaction to insulins and antidiabetic agents"	"Unknown"
"65704"	"C109412"	"type 2 diabetes mellitus with ulcer"	"Type 2"
"66145"	"C10EN11"	"type i diabetes mellitus with ketoacidotic coma"	"Type 1"
"66475"	"66Ak.00"	"diabetic monitoring - lower risk albumin excretion"	"Unknown"
"66675"	"C10A000"	"malnutrition-related diabetes mellitus with coma"	"Other"
"66872"	"C108D11"	"type i diabetes mellitus with nephropathy"	"Type 1"
"66965"	"C109H12"	"type 2 diabetes mellitus with neuropathic arthropathy"	"Type 2"
"67212"	"C10H000"	"dm induced by non-steroid drugs without complication"	"Other"
"67635"	"L180000"	"diabetes mellitus - unspec whether in pregnancy/puerperium"	"Poss gestational"
"67853"	"C106000"	"diabetes mellitus, juvenile, + neurological manifestation"	"Type 1"
"67905"	"C109211"	"type ii diabetes mellitus with neurological complications"	"Type 2"
"6791"	"C108800"	"insulin dependent diabetes mellitus - poor control"	"Type 1"
"68105"	"C10EB00"	"type 1 diabetes mellitus with mononeuropathy"	"Type 1"
"6813"	"1434.00"	"h/o: diabetes mellitus"	"Unknown"
"68390"	"C108512"	"type 1 diabetes mellitus with ulcer"	"Type 1"
"68546"	"ZRB4.00"	"diabetes clinic satisfaction questionnaire"	"Unknown"
"68792"	"C10z000"	"diabetes mellitus, juvenile type, + unspecified complication"	"Type 1"
"68818"	"ZRB5.11"	"dtsq - diabetes treatment satisfaction questionnaire"	"Unknown"
"68843"	"C103100"	"diabetes mellitus, adult onset, with ketoacidotic coma"	"Type 2"
"68928"	"TJ23.00"	"adverse reaction to insulins and antidiabetic agents"	"Unknown"
"69043"	"ZC2C900"	"dietary advice for type i diabetes"	"Type 1"
"69124"	"C107300"	"iddm with peripheral circulatory disorder"	"Type 1"
"69163"	"8HTi.00"	"referral to multidisciplinary diabetic clinic"	"Unknown"
"69278"	"C109E00"	"non-insulin depend diabetes mellitus with diabetic cataract"	"Type 2"
"69676"	"C10EA00"	"type 1 diabetes mellitus without complication"	"Type 1"
"69748"	"C105000"	"diabetes mellitus, juvenile type, + ophthalmic manifestation"	"Type 1"
"69993"	"C10E600"	"type 1 diabetes mellitus with gangrene"	"Type 1"
"70316"	"C109112"	"type 2 diabetes mellitus with ophthalmic complications"	"Type 2"
"70448"	"C107000"	"diabetes mellitus, juvenile +peripheral circulatory disorder"	"Type 1"
"7045"	"14F4.00"	"h/o: admission in last year for diabetes foot problem"	"Unknown"
"7059"	"8H2J.00"	"admit diabetic emergency"	"Unknown"
"7069"	"F420000"	"background diabetic retinopathy"	"Unknown"
"70766"	"C108E12"	"type 1 diabetes mellitus with hypoglycaemic coma"	"Type 1"
"70821"	"C10yz00"	"diabetes mellitus nos with other specified manifestation"	"Unknown"
"711"	"C10..00"	"diabetes mellitus"	"Unknown"
"72320"	"C109A00"	"non-insulin dependent diabetes mellitus with mononeuropathy"	"Type 2"
"72333"	"8HME.00"	"listed for diabetology admissn"	"Unknown"
"72345"	"C102z00"	"diabetes mellitus nos with hyperosmolar coma"	"Unknown"
"72702"	"C10E812"	"insulin dependent diabetes mellitus - poor control"	"Type 1"
"7328"	"M037200"	"cellulitis in diabetic foot"	"Unknown"
"7563"	"66A3.00"	"diabetic on diet only"	"Type 2"
"758"	"C10F.00"	"type 2 diabetes mellitus"	"Type 2"
"7795"	"C106.12"	"diabetes mellitus with neuropathy"	"Unknown"
"82474"	"8Hl4.00"	"referral to community diabetes specialist nurse"	"Unknown"
"8306"	"8H7f.00"	"referral to diabetes nurse"	"Unknown"
"83532"	"66Ao.00"	"diabetes type 2 review"	"Type 2"
"8403"	"C109700"	"non-insulin dependent diabetes mellitus - poor control"	"Type 2"
"8414"	"8CA4100"	"pt advised re diabetic diet"	"Unknown"
"85660"	"66An.00"	"diabetes type 1 review"	"Type 1"
"85991"	"C10FM11"	"type ii diabetes mellitus with persistent microalbuminuria"	"Type 2"
"8618"	"ZLA2500"	"seen by diabetic liaison nurse"	"Unknown"
"8836"	"66AR.00"	"diabetes management plan given"	"Unknown"
"8842"	"66A5.00"	"diabetic on insulin"	"Unknown"
"9013"	"66AJ.11"	"unstable diabetes"	"Unknown"
"91164"	"ZRB4.11"	"csq - diabetes clinic satisfaction questionnaire"	"Unknown"
"9145"	"9N4I.00"	"dna - did not attend diabetic clinic"	"Unknown"
"91646"	"C10F411"	"type ii diabetes mellitus with ulcer"	"Type 2"
"91942"	"C10E311"	"type i diabetes mellitus with multiple complications"	"Type 1"
"91943"	"C10EC11"	"type i diabetes mellitus with polyneuropathy"	"Type 1"
"93390"	"9OLH.00"	"attended dafne diabetes structured education programme"	"Type 1"
"93468"	"C10EG00"	"type 1 diabetes mellitus with peripheral angiopathy"	"Type 1"
"93491"	"9OLJ.00"	"dafne diabetes structured education programme completed"	"Type 1"
"93529"	"9OLK.00"	"desmond diabetes structured education programme completed"	"Type 2"
"93631"	"9OLL.00"	"xpert diabetes structured education programme completed"	"Type 2"
"93657"	"8Hj4.00"	"referral to desmond diabetes structured education programme"	"Type 2"
"93704"	"8Hj3.00"	"referral to dafne diabetes structured education programme"	"Type 1"
"93727"	"C10FE11"	"type ii diabetes mellitus with diabetic cataract"	"Type 2"
"93854"	"9OLM.00"	"diabetes structured education programme declined"	"Unknown"
"93870"	"8Hj5.00"	"referral to xpert diabetes structured education programme"	"Type 2"
"93875"	"C10E712"	"insulin dependent diabetes mellitus with retinopathy"	"Type 1"
"93878"	"C10E511"	"type i diabetes mellitus with ulcer"	"Type 1"
"93922"	"C104000"	"diabetes mellitus, juvenile type, with renal manifestation"	"Type 1"
"94011"	"9OLG.00"	"attended xpert diabetes structured education programme"	"Type 2"
"94186"	"9OLF.00"	"diabetes structured education programme completed"	"Unknown"
"94330"	"8H4e.00"	"referral to diabetes special interest general practitioner"	"Unknown"
"94383"	"C10N000"	"secondary diabetes mellitus without complication"	"Other"
"94699"	"ZRB5.00"	"diabetes treatment satisfaction questionnaire"	"Unknown"
"94955"	"9NiE.00"	"did not attend xpert diabetes structured education programme"	"Type 2"
"94956"	"8I84.00"	"did not complete xpert diabetes structured education program"	"Type 2"
"95093"	"8I83.00"	"did not complete desmond diabetes structured educat program"	"Type 2"
"95094"	"8I81.00"	"did not complete diabetes structured education programme"	"Unknown"
"95159"	"9NiD.00"	"did not attend desmond diabetes structured education program"	"Type 2"
"95343"	"C10E711"	"type i diabetes mellitus with retinopathy"	"Type 1"
"95351"	"C10FA11"	"type ii diabetes mellitus with mononeuropathy"	"Type 2"
"95539"	"C10FS00"	"maternally inherited diabetes mellitus"	"Other"
"95553"	"9NiA.00"	"did not attend diabetes structured education programme"	"Unknown"
"95636"	"C10ER00"	"latent autoimmune diabetes mellitus in adult"	"Type 2"
"95813"	"9N1o.00"	"seen in multidisciplinary diabetic clinic"	"Unknown"
"95992"	"C108A11"	"type i diabetes mellitus without complication"	"Type 1"
"95994"	"66Aq.00"	"diabetic foot screen"	"Unknown"
"96235"	"C10E911"	"type i diabetes mellitus maturity onset"	"Other"
"96506"	"C10G000"	"secondary pancreatic diabetes mellitus without complication"	"Other"
"97446"	"C108912"	"type 1 diabetes mellitus maturity onset"	"Other"
"97474"	"C108412"	"unstable type 1 diabetes mellitus"	"Type 1"
"97809"	"8I82.00"	"did not complete dafne diabetes structured education program"	"Type 1"
"97824"	"ZRB6.11"	"dwbq - diabetes wellbeing questionnaire"	"Unknown"
"97849"	"C10E912"	"insulin dependent diabetes maturity onset"	"Other"
"97894"	"C10EP11"	"type i diabetes mellitus with exudative maculopathy"	"Type 1"
"98071"	"C10E112"	"insulin-dependent diabetes mellitus with ophthalmic comps"	"Type 1"
"9835"	"2BBL.00"	"o/e - diabetic maculopathy present both eyes"	"Unknown"
"98392"	"C10C.12"	"maturity onset diabetes in youth type 1"	"Other"
"98616"	"C10F211"	"type ii diabetes mellitus with neurological complications"	"Type 2"
"98704"	"C10E512"	"insulin dependent diabetes mellitus with ulcer"	"Type 1"
"98723"	"C10FD11"	"type ii diabetes mellitus with hypoglycaemic coma"	"Type 2"
"9881"	"M271200"	"mixed diabetic ulcer - foot"	"Unknown"
"98954"	"3883.00"	"diabetes treatment satisfaction questionnaire"	"Unknown"
"9897"	"9OL..00"	"diabetes monitoring admin."	"Unknown"
"99231"	"C108B11"	"type i diabetes mellitus with mononeuropathy"	"Type 1"
"99277"	"9NiC.00"	"did not attend dafne diabetes structured education programme"	"Type 1"
"99311"	"C10E111"	"type i diabetes mellitus with ophthalmic complications"	"Type 1"
"9958"	"42W..00"	"hb. a1c - diabetic control"	"Unknown"
"99628"	"Kyu0300"	"[x]glomerular disorders in diabetes mellitus"	"Unknown"
"99716"	"C10EE12"	"insulin dependent diabetes mellitus with hypoglycaemic coma"	"Type 1"
"99719"	"C10EA12"	"insulin-dependent diabetes without complication"	"Type 1"
"9974"	"9N1v.00"	"seen in diabetic eye clinic"	"Unknown"
"2340"	"250 AT"	"diabetic amyotrophy"	"Unknown"
"59903"	"250 AT"	"diabetic amyotrophy"	"Unknown"
"10659"	"250 CT"	"diabetic cataract"	"Unknown"
"2475"	"250 N"	"diabetic nephropathy"	"Unknown"
"6813"	"1434"	"h/o: diabetes mellitus"	"Unknown"
"91943"	"C108C11"	"type i diabetes mellitus with polyneuropathy"	"Type 1"
"100292"	"Cyu2300"	"[x]unspecified diabetes mellitus with renal complications"	"Unknown"
"43857"	"C10M.00"	"lipoatrophic diabetes mellitus"	"Other"
"45499"	"K01x111"	"kimmelstiel - wilson disease"	"Unknown"
"70821"	"C10yz00"	"diabetes mellitus nos with other specified manifestation"	"Unknown"
"93380"	"C10N100"	"cystic fibrosis related diabetes mellitus"	"Other"
"2664"	"L180900"	"gestational diabetes mellitus"	"Def gestational"
"7777"	"8H4F.00"	"referral to diabetologist"	"Unknown"
"8446"	"L180811"	"gestational diabetes mellitus"	"Def gestational"
"10278"	"L180800"	"diabetes mellitus arising in pregnancy"	"Def gestational"
"11047"	"66AH000"	"conversion to insulin"	"Unknown"
"11359"	"L180.00"	"diabetes mellitus during pregnancy/childbirth/puerperium"	"Poss gestational"
"11663"	"M271100"	"neuropathic diabetic ulcer - foot"	"Unknown"
"17236"	"14P3.00"	"h/o: insulin therapy"	"Unknown"
"17817"	"7L19800"	"subcutaneous injection of insulin"	"Unknown"
"27921"	"2G51000"	"foot abnormality - diabetes related"	"Unknown"
"34639"	"L180100"	"diabetes mellitus during pregnancy - baby delivered"	"Poss gestational"
"36669"	"66b1.00"	"diabetic monitoring not required"	"Unknown"
"36798"	"7L10000"	"continuous subcutaneous infusion of insulin"	"Unknown"
"38076"	"M21yC00"	"insulin lipohypertrophy"	"Unknown"
"43493"	"M21yC11"	"insulin site lipohypertrophy"	"Unknown"
"48310"	"ZV6DA00"	"[v]admitted for commencement of insulin"	"Unknown"
"49559"	"L180300"	"diabetes mellitus during pregnancy - baby not yet delivered"	"Poss gestational"
"51066"	"9OLC.00"	"family/carer attended diabetes structured education prog"	"Unknown"
"51939"	"ZV6DB00"	"[v]admitted for conversion to insulin"	"Unknown"
"53303"	"449E.00"	"plasma insulin c-peptide level"	"Unknown"
"53630"	"C110.11"	"insulin coma"	"Unknown"
"54846"	"9OL9.00"	"diabetes monitoring deleted"	"Unknown"
"58159"	"8I3k.00"	"insulin therapy declined"	"Type 2"
"61670"	"889A.00"	"diab mellit insulin-glucose infus acute myocardial infarct"	"Unknown"
"64384"	"L180z00"	"diabetes mellitus in pregnancy/childbirth/puerperium nos"	"Poss gestational"
"66274"	"66Ah.00"	"insulin needles changed for each injection"	"Unknown"
"67664"	"ZRBa.00"	"education score - diabetes"	"Unknown"
"69152"	"66Aj.00"	"insulin needles changed less than once a day"	"Unknown"
"83485"	"66Am.00"	"insulin dose changed"	"Unknown"
"90301"	"66Ag.00"	"insulin needles changed daily"	"Unknown"
"94777"	"ZV13F00"	"[v]personal history of gestational diabetes mellitus"	"Def gestational"
"95641"	"8Hj1.00"	"family/carer referral to diabetes structured education prog"	"Unknown"
"96010"	"66Ap.00"	"insulin treatment initiated"	"Unknown"
"96143"	"9kL..00"	"insulin initiation - enhanced services administration"	"Unknown"
"96823"	"L180400"	"diabetes mellitus in pueperium - baby previously delivered"	"Unknown"
"97281"	"9Nl4.00"	"seen by general practitioner special interest in diabetes"	"Unknown"
"100791"	"66Ar.00"	"insulin treatment stopped"	"Type 2"
"102435"	"8CE0000"	"gestational diabetes information leaflet given"	"Def gestational"
"102549"	"66Aw.00"	"insulin dose"	"Unknown"
"103761"	"671F000"	"insulin alert pat information booklet information discussed"	"Unknown"
"103762"	"8BAi.00"	"insulin passport completed"	"Unknown"
"103772"	"8CE0200"	"insulin passport given"	"Unknown"
"103816"	"8CE0100"	"insulin alert patient information booklet given"	"Unknown"
"103817"	"8BAj.00"	"informed dissent not to carry insulin passport"	"Unknown"
"104254"	"7L10011"	"subcutaneous infusion with insulin pump"	"Unknown"
"104588"	"66Ay.00"	"gestational diabetes mellitus annual review"	"Def gestational"
"104669"	"8IF..00"	"prof judgemnt not to engage pt wt insulin alert requirements"	"Unknown"
"104858"	"8BAm.00"	"insulin passport checked"	"Unknown"
"105446"	"679c.00"	"insulin administration education"	"Unknown"
"106218"	"9m0A.00"	"declined diabetic retinopathy screening"	"Unknown"
"106351"	"9m09.00"	"excluded from diabetic retinop screen as no longer diabetic"	"Type 2"
"106441"	"9m01.00"	"ineligible for diabetic retinopathy screening"	"Unknown"
"107331"	"66AH100"	"conversion to insulin in secondary care"	"Unknown"
"108013"	"ZC2CB00"	"dietary advice for gestational diabetes"	"Def gestational"
"108655"	"8BAp.00"	"insulin passport not checked"	"Unknown"
"108890"	"679L300"	"diabetic foot care education"	"Unknown"
"109222"	"67HA.00"	"lifestyle education for diabetes"	"Unknown"
"109643"	"66o1.00"	"enquiry about diabetic erectile dysfunction declined"	"Unknown"
"109700"	"66AH300"	"conversion to non-insulin injectable medication"	"Unknown"
"109744"	"8OAK.00"	"provsn written information about diabetes & high cholesterol"	"Unknown"
"109760"	"1M8..00"	"diabetic peripheral neuropathic pain"	"Unknown"
"109806"	"8Hgd.00"	"discharge from secondary care diabetes service"	"Unknown"
"109837"	"C10E011"	"type i diabetes mellitus with renal complications"	"Type 1"
"109865"	"C109B12"	"type 2 diabetes mellitus with polyneuropathy"	"Type 2"
"109878"	"ZC2C911"	"diet advice for insulin-dependent diabetes"	"Type 1"
"110056"	"9m0B.00"	"excluded frm diab retinop screen as no currnt contct details"	"Unknown"
"110087"	"8OAH.00"	"provision of written information about diabetes and high bp"	"Unknown"
"110344"	"66o2.00"	"diabetic on non-insulin injectable medication"	"Unknown"
"110379"	"66o5.00"	"diabetic on oral treatment and glucagon-like peptide 1"	"Type 2"
"110393"	"13B1000"	"diabetic carbohydrate counting diet"	"Unknown"
"110400"	"C108F12"	"type 1 diabetes mellitus with diabetic cataract"	"Type 1"
"110409"	"679l.00"	"diabetic injection administration education"	"Unknown"
"110511"	"67W1.00"	"recommendation self-refer for diabetes structured education"	"Unknown"
"110611"	"C10P111"	"type 2 diabetes mellitus in remission"	"Type 2"
"110997"	"C10y000"	"diabetes mellitus, juvenile, + other specified manifestation"	"Type 1"
"111106"	"C108A12"	"type 1 diabetes mellitus without complication"	"Type 1"
"111347"	"9Na5100"	"joint consultn pracse nurse & comm diabetes specialist nurse"	"Unknown"
"111483"	"66o6.00"	"diabetic on insulin and glucagon-like peptide 1"	"Unknown"
"111798"	"C10FQ11"	"type ii diabetes mellitus with exudative maculopathy"	"Type 2"
"112237"	"8OAJ.00"	"provision written information abt diabetes & high hba1c levl"	"Unknown"
"112365"	"Lyu2900"	"[x]pre-existing diabetes mellitus, unspecified"	"Unknown"
"112402"	"C107y00"	"other specified diabetes mellitus with periph circ comps"	"Other"
"113115"	"C10Q.00"	"maturity onset diabetes of the young type 5"	"Other"
"113197"	"C108D12"	"type 1 diabetes mellitus with nephropathy"	"Type 1"
"113495"	"C109311"	"type ii diabetes mellitus with multiple complications"	"Type 2"
"113525"	"8CdD.00"	"advised to maintain back up supply insulin subcut injection"	"Unknown"
"113594"	"38QW.00"	"diabetes distress scale 2 item"	"Unknown"
"113609"	"C10FR11"	"type ii diabetes mellitus with gastroparesis"	"Type 2"
"113661"	"66o3.00"	"has diabetes identity card"	"Unknown"
"113762"	"8OAH.11"	"provision of written information about diabetes & hypertensn"	"Unknown"
"113796"	"9Na5200"	"joint consultation gp & community diabetes specialist nurse"	"Unknown"
"113863"	"C10ED11"	"type i diabetes mellitus with nephropathy"	"Type 1"
"113975"	"C108C11"	"type i diabetes mellitus with polyneuropathy"	"Type 1"
"114401"	"C108612"	"type 1 diabetes mellitus with gangrene"	"Type 1"
"114439"	"C10A200"	"malnutrition-related diabetes mellitus with renal complicatn"	"Other"
"115319"	"8Hj6.00"	"referral to online diabetes structured education programme"	"Unknown"
"115410"	"C108611"	"type i diabetes mellitus with gangrene"	"Type 1"
"115541"	"C10A400"	"malnutrition-related diabetes mellitus wth neuro complicatns"	"Other"
"115855"	"C10A700"	"malnutrition-related diabetes mellitus without complications"	"Other"
