"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"Term"	"AD"
"HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets"	"Modified-release tablet"	""	"Oxitriptan"	"50.000mg"	"4655141000033113"	"0403040R0"	NA	"oxitriptan"
"Paroxetine 20mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20.000mg"	"1042141000033117"	"0403030P0"	NA	"paroxetine"
"Seroxat 20mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20.000mg"	"1278341000033111"	"0403030P0"	NA	"paroxetine"
"Seroxat 30mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30.000mg"	"1278441000033117"	"0403030P0"	NA	"paroxetine"
"Paroxetine 30mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"30.000mg"	"1042241000033112"	"0403030P0"	NA	"paroxetine"
"Paroxetine 10mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10.000mg"	"4079041000033115"	"0403030P0"	NA	"paroxetine"
"Seroxat 10mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"10.000mg"	"4079141000033116"	"0403030P0"	NA	"paroxetine"
"Paroxetine 40mg tablets"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"40.000mg"	"11755441000033119"	"0403030P0"	NA	"paroxetine"
"Paroxetine 10mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Paroxetine hydrochloride"	"2.000mg/1.000ml"	"1662441000033114"	"0403030P0"	NA	"paroxetine"
"Seroxat 20mg/10ml liquid"	"Oral suspension"	"Oral"	"Paroxetine hydrochloride"	"2.000mg/1.000ml"	"1686141000033119"	"0403030P0"	NA	"paroxetine"
"Phenelzine 15mg tablets"	"Tablet"	"Oral"	"Phenelzine sulfate"	"15.000mg"	"1079341000033111"	"0403020M0"	NA	"phenelzine"
"Nardil 15mg tablets"	"Tablet"	"Oral"	"Phenelzine sulfate"	"15.000mg"	"955241000033110"	"0403020M0"	NA	"phenelzine"
"Edronax 4mg tablets"	"Tablet"	"Oral"	"Reboxetine mesilate"	"4.000mg"	"496741000033118"	"0403040U0"	NA	"reboxetinemesilate"
"Reboxetine 4mg tablets"	"Tablet"	"Oral"	"Reboxetine mesilate"	"4.000mg"	"1165641000033115"	"0403040U0"	NA	"reboxetinemesilate"
"Sertraline 50mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50.000mg"	"1278841000033119"	"0403030Q0"	NA	"sertraline"
"Lustral 50mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50.000mg"	"854241000033118"	"0403030Q0"	NA	"sertraline"
"Lustral 100mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100.000mg"	"854141000033113"	"0403030Q0"	NA	"sertraline"
"Sertraline 100mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100.000mg"	"1278741000033112"	"0403030Q0"	NA	"sertraline"
"Sertraline 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"20.000mg/1.000ml"	"5975341000033119"	"0403030Q0"	NA	"sertraline"
"Sertraline 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"10.000mg/1.000ml"	"4148341000033116"	"0403030Q0"	NA	"sertraline"
"Tranylcypromine 10mg tablets"	"Tablet"	"Oral"	"Tranylcypromine sulfate"	"10.000mg"	"1469441000033116"	"0403020Q0"	NA	"tranylcypromine"
"Trazodone 150mg tablets"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150.000mg"	"1473641000033113"	"0403010X0"	NA	"trazodone"
"Molipaxin 150mg tablets"	"Tablet"	"Oral"	"Trazodone hydrochloride"	"150.000mg"	"938741000033111"	"0403010X0"	NA	"trazodone"
"Molipaxin 100mg capsules"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100.000mg"	"923241000033113"	"0403010X0"	NA	"trazodone"
"Trazodone 100mg capsules"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"100.000mg"	"1455241000033113"	"0403010X0"	NA	"trazodone"
"Trazodone 50mg capsules"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50.000mg"	"1454641000033112"	"0403010X0"	NA	"trazodone"
"Molipaxin 50mg capsules"	"Capsule"	"Oral"	"Trazodone hydrochloride"	"50.000mg"	"923041000033117"	"0403010X0"	NA	"trazodone"
"Molipaxin 50mg/5ml oral liquid"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10.000mg/1.000ml"	"929541000033113"	"0403010X0"	NA	"trazodone"
"Trazodone 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"10.000mg/1.000ml"	"1461941000033113"	"0403010X0"	NA	"trazodone"
"Trazodone 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Trazodone hydrochloride"	"150.000mg"	"1462241000033110"	"0403010X0"	NA	"trazodone"
"Molipaxin CR 150mg tablets"	"Modified-release tablet"	"Oral"	"Trazodone hydrochloride"	"150.000mg"	"929841000033110"	"0403010X0"	NA	"trazodone"
"Trazodone 100mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trazodone hydrochloride"	"20.000mg/1.000ml"	"12476541000033119"	"0403010X0"	NA	"trazodone"
"Surmontil 50mg capsules"	"Capsule"	"Oral"	"Trimipramine maleate"	"50.000mg"	"1389441000033112"	"0403010Y0"	NA	"trimipramine"
"Trimipramine 50mg capsules"	"Capsule"	"Oral"	"Trimipramine maleate"	"50.000mg"	"1454741000033115"	"0403010Y0"	NA	"trimipramine"
"Trimipramine 10mg tablets"	"Tablet"	"Oral"	"Trimipramine maleate"	"10.000mg"	"1471341000033116"	"0403010Y0"	NA	"trimipramine"
"Surmontil 10mg tablets"	"Tablet"	"Oral"	"Trimipramine maleate"	"10.000mg"	"1396741000033112"	"0403010Y0"	NA	"trimipramine"
"Surmontil 25mg tablets"	"Tablet"	"Oral"	"Trimipramine maleate"	"25.000mg"	"1396841000033119"	"0403010Y0"	NA	"trimipramine"
"Trimipramine 25mg tablets"	"Tablet"	"Oral"	"Trimipramine maleate"	"25.000mg"	"1471441000033110"	"0403010Y0"	NA	"trimipramine"
"Tryptophan 500mg tablets"	"Tablet"	"Oral"	"Tryptophan"	"500.000mg"	"1474141000033117"	"0403040S0"	NA	"tryptophan"
"Optimax 500mg tablets"	"Tablet"	"Oral"	"Tryptophan"	"500.000mg"	"1008941000033114"	"0403040S0"	NA	"tryptophan"
"Tryptophan 500mg capsules"	"Capsule"	"Oral"	"Tryptophan"	"500.000mg"	"8247941000033115"	"0403040S0"	NA	"tryptophan"
"Optimax 500mg capsules"	"Capsule"	""	"Tryptophan"	"500.000mg"	"8248041000033117"	"0403040S0"	NA	"tryptophan"
"Venlafaxine 37.5mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"1512241000033119"	"0403040W0"	NA	"venlafaxine"
"Efexor 37.5mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"499041000033111"	"0403040W0"	NA	"venlafaxine"
"ViePax 37.5mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"4897041000033116"	"0403040W0"	NA	"venlafaxine"
"ViePax 75mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4896941000033117"	"0403040W0"	NA	"venlafaxine"
"Efexor 75mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"499141000033110"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 75mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"1512341000033112"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 50mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"50.000mg"	"1512441000033118"	"0403040W0"	NA	"venlafaxine"
"Efexor 50mg tablets"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"50.000mg"	"499241000033115"	"0403040W0"	NA	"venlafaxine"
"Bonilux XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"8265541000033112"	"0403040W0"	NA	"venlafaxine"
"Amphero XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"9300741000033116"	"0403040W0"	NA	"venlafaxine"
"Vencarm XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"12194841000033116"	"0403040W0"	NA	"venlafaxine"
"Venlasov XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"12389941000033119"	"0403040W0"	NA	"venlafaxine"
"Venzip XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"12641641000033114"	"0403040W0"	NA	"venlafaxine"
"Efexor XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"498441000033112"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 75mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"1509341000033117"	"0403040W0"	NA	"venlafaxine"
"Vexarin XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4896841000033113"	"0403040W0"	NA	"venlafaxine"
"Vensir XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4899541000033115"	"0403040W0"	NA	"venlafaxine"
"Tifaxin XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4817741000033119"	"0403040W0"	NA	"venlafaxine"
"Winfex XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4824641000033113"	"0403040W0"	NA	"venlafaxine"
"Trixat XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4818641000033112"	"0403040W0"	NA	"venlafaxine"
"Tardcaps XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4897141000033117"	"0403040W0"	NA	"venlafaxine"
"Vaxalin XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4937041000033115"	"0403040W0"	NA	"venlafaxine"
"Venaxx XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4936641000033111"	"0403040W0"	NA	"venlafaxine"
"Politid XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4957841000033111"	"0403040W0"	NA	"venlafaxine"
"Rodomel XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4817441000033114"	"0403040W0"	NA	"venlafaxine"
"Foraven XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5234041000033119"	"0403040W0"	NA	"venlafaxine"
"Venlaneo XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"6029741000033113"	"0403040W0"	NA	"venlafaxine"
"Ranfaxine XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5328941000033119"	"0403040W0"	NA	"venlafaxine"
"Alventa XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5813341000033119"	"0403040W0"	NA	"venlafaxine"
"Venlablue XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5812541000033115"	"0403040W0"	NA	"venlafaxine"
"Tonpular XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5574641000033117"	"0403040W0"	NA	"venlafaxine"
"Depefex XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5896341000033112"	"0403040W0"	NA	"venlafaxine"
"Mentaven XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5889541000033114"	"0403040W0"	NA	"venlafaxine"
"Amphero XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"9300841000033114"	"0403040W0"	NA	"venlafaxine"
"Bonilux XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"8265641000033113"	"0403040W0"	NA	"venlafaxine"
"Venzip XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"12641541000033113"	"0403040W0"	NA	"venlafaxine"
"Venlasov XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"12390341000033114"	"0403040W0"	NA	"venlafaxine"
"Vencarm XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"12194541000033118"	"0403040W0"	NA	"venlafaxine"
"Mentaven XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5889641000033110"	"0403040W0"	NA	"venlafaxine"
"Tonpular XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5574741000033114"	"0403040W0"	NA	"venlafaxine"
"Venlablue XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5812641000033119"	"0403040W0"	NA	"venlafaxine"
"Alventa XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5813141000033117"	"0403040W0"	NA	"venlafaxine"
"Ranfaxine XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5329041000033111"	"0403040W0"	NA	"venlafaxine"
"Venlaneo XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"6029641000033116"	"0403040W0"	NA	"venlafaxine"
"Depefex XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5896441000033118"	"0403040W0"	NA	"venlafaxine"
"Foraven XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5234141000033115"	"0403040W0"	NA	"venlafaxine"
"Rodomel XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4817341000033115"	"0403040W0"	NA	"venlafaxine"
"Venaxx XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4936741000033119"	"0403040W0"	NA	"venlafaxine"
"Politid XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4957941000033115"	"0403040W0"	NA	"venlafaxine"
"Vaxalin XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4937141000033116"	"0403040W0"	NA	"venlafaxine"
"Tardcaps XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4897241000033112"	"0403040W0"	NA	"venlafaxine"
"Trixat XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4818541000033111"	"0403040W0"	NA	"venlafaxine"
"Winfex XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4824541000033112"	"0403040W0"	NA	"venlafaxine"
"Tifaxin XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4817641000033111"	"0403040W0"	NA	"venlafaxine"
"Vensir XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4899641000033119"	"0403040W0"	NA	"venlafaxine"
"Vexarin XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4896741000033115"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 150mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"1509241000033110"	"0403040W0"	NA	"venlafaxine"
"Efexor XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"498541000033113"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 37.5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine hydrochloride"	"7.500mg/1.000ml"	"4498541000033116"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 37.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"7.500mg/1.000ml"	"6000441000033115"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"15.000mg/1.000ml"	"5008041000033112"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine hydrochloride"	"15.000mg/1.000ml"	"8867941000033118"	"0403040W0"	NA	"venlafaxine"
"Sunveniz XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"8298641000033115"	"0403040W0"	NA	"venlafaxine"
"Venladex XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"12605441000033117"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4823641000033111"	"0403040W0"	NA	"venlafaxine"
"ViePax XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"4823841000033112"	"0403040W0"	NA	"venlafaxine"
"Venlalic XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"150.000mg"	"5052941000033116"	"0403040W0"	NA	"venlafaxine"
"Venladex XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"12605341000033111"	"0403040W0"	NA	"venlafaxine"
"Sunveniz XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"8298741000033112"	"0403040W0"	NA	"venlafaxine"
"Venlalic XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"5053041000033114"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 75mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4823541000033110"	"0403040W0"	NA	"venlafaxine"
"ViePax XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"75.000mg"	"4823741000033119"	"0403040W0"	NA	"venlafaxine"
"Venladex XL 225mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"12605541000033116"	"0403040W0"	NA	"venlafaxine"
"Venlalic XL 225mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"5052841000033112"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 225mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"5052741000033119"	"0403040W0"	NA	"venlafaxine"
"Venlalic XL 37.5mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"6161841000033118"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 37.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"6161741000033111"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 37.5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"8885441000033118"	"0403040W0"	NA	"venlafaxine"
"Venlablue XL 37.5mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"8885541000033117"	"0403040W0"	NA	"venlafaxine"
"Vencarm XL 37.5mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"37.500mg"	"12194741000033114"	"0403040W0"	NA	"venlafaxine"
"Venlafaxine 225mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"10730041000033110"	"0403040W0"	NA	"venlafaxine"
"Efexor XL 225mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"10730141000033114"	"0403040W0"	NA	"venlafaxine"
"Vensir XL 225mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"11693641000033117"	"0403040W0"	NA	"venlafaxine"
"Vencarm XL 225mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"225.000mg"	"12194641000033117"	"0403040W0"	NA	"venlafaxine"
"Vortioxetine 10mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"10.000mg"	"10617041000033113"	"0403040AB"	NA	"vortioxetine"
"Brintellix 10mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"10.000mg"	"10617341000033110"	"0403040AB"	NA	"vortioxetine"
"Brintellix 20mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"20.000mg"	"10617441000033116"	"0403040AB"	NA	"vortioxetine"
"Vortioxetine 20mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"20.000mg"	"10617141000033112"	"0403040AB"	NA	"vortioxetine"
"Vortioxetine 5mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"5.000mg"	"10616941000033112"	"0403040AB"	NA	"vortioxetine"
"Brintellix 5mg tablets"	"Tablet"	"Oral"	"Vortioxetine hydrobromide"	"5.000mg"	"10617241000033117"	"0403040AB"	NA	"vortioxetine"
""	""	""	""	""	"43441000033118"	""	"Amitriptyline Sr Capsules 75 mg"	"amitriptyline"
""	""	""	""	""	"43541000033117"	""	"Amitriptyline Hydrochloride Capsules 25 mg"	"amitriptyline"
""	""	""	""	""	"43641000033116"	""	"Amitriptyline Hydrochloride Capsules 50 mg"	"amitriptyline"
""	""	""	""	""	"43741000033113"	""	"Amitriptyline Hydrochloride Capsules 75 mg"	"amitriptyline"
""	""	""	""	""	"50041000033116"	""	"Amitriptyline Hydrochloride Injection 10mg/ml"	"amitriptyline"
""	""	""	""	""	"51941000033114"	""	"Amitriptyline Hydrochloride Mixture Sugar Free 10 mg/5 ml"	"amitriptyline"
""	""	""	""	""	"60841000033118"	""	"Amoxapine Tablets 25 mg"	"amoxapine"
""	""	""	""	""	"61141000033117"	""	"Amoxapine Tablets 150 mg"	"amoxapine"
""	""	""	""	""	"64241000033110"	""	"Anafranil Injection 12.5mg/ml"	"clomipramine"
""	""	""	""	""	"87741000033113"	""	"Asendis Tablets 150 mg"	"amoxapine"
""	""	""	""	""	"87841000033115"	""	"Asendis Tablets 25 mg"	"amoxapine"
""	""	""	""	""	"95641000033114"	""	"Aventyl Capsules 10 mg"	"nortriptyline"
""	""	""	""	""	"95741000033117"	""	"Aventyl Capsules 25 mg"	"nortriptyline"
""	""	""	""	""	"96041000033112"	""	"Aventyl Liquid 10mg/5 ml"	"nortriptyline"
""	""	""	""	""	"155541000033114"	""	"Bolvidon Tablets 10 mg"	"bolvidon"
""	""	""	""	""	"155641000033110"	""	"Bolvidon Tablets 20 mg"	"bolvidon"
""	""	""	""	""	"155741000033118"	""	"Bolvidon Tablets 30 mg"	"bolvidon"
"Citalopram 20mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20.000mg"	"259241000033111"	"4030300"	"Citalopram 20mg tablets"	"citalopram"
""	""	""	""	""	"275441000033113"	""	"Clomipramine Hydrochloride Injection 12.5mg/ml"	"clomipramine"
""	""	""	""	""	"480241000033113"	""	"Domical Tablets 10 mg"	"clomipramine"
""	""	""	""	""	"480341000033115"	""	"Domical Tablets 25 mg"	"clomipramine"
""	""	""	""	""	"480441000033114"	""	"Domical Tablets 50 mg"	"clomipramine"
"Dutonin tablets treatment initiation pack"	"Not applicable"	"Route of administration not applicable"	""	""	"490041000033118"	""	"Dutonin tablets treatment initiation pack (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"nefazodone"
""	""	""	""	""	"508541000033117"	""	"Elavil Tablets 10 mg"	"amitriptyline"
""	""	""	""	""	"508641000033116"	""	"Elavil Tablets 25 mg"	"amitriptyline"
""	""	""	""	""	"592541000033118"	""	"Fluoxetine Hydrochloride Liquid 20 mg/5 ml"	"fluoxetine"
""	""	""	""	""	"827241000033113"	""	"Limbitrol 10 Capsules"	"amitriptyline_chlordiazepoxide"
""	""	""	""	""	"827741000033119"	""	"Limbitrol 5 Capsules"	"amitriptyline_chlordiazepoxide"
""	""	""	""	""	"870041000033117"	""	"Marplan Tablets 10 mg"	"isocarboxazid"
""	""	""	""	""	"966341000033118"	""	"Nefazodone Hydrochloride Tablets (starter pack) 14 x 50 mg, 14 x 100 mg, 28 x 200 mg"	"nefazodone"
"Nortriptyline 10mg capsules"	"Capsule"	"Oral"	"Nortriptyline hydrochloride"	"10.000mg"	"979241000033110"	""	"Nortriptyline 10mg capsules"	"nortriptyline"
"Nortriptyline 25mg capsules"	"Capsule"	"Oral"	"Nortriptyline hydrochloride"	"25.000mg"	"979341000033117"	""	"Nortriptyline 25mg capsules"	"nortriptyline"
""	""	""	""	""	"983141000033114"	""	"Nortriptyline Liquid 10mg/5 ml"	"nortriptyline"
""	""	""	""	""	"1008341000033110"	""	"Optimax Powder"	"tryptophan"
""	""	""	""	""	"1009441000033114"	""	"Optimax Tablets"	"tryptophan"
""	""	""	""	""	"1009541000033110"	""	"Optimax Wv Tablets 500 mg"	"tryptophan"
""	""	""	""	""	"1040141000033118"	""	"Pacitron Tablets 500 mg"	"tryptophan"
""	""	""	""	""	"1040841000033112"	""	"Parnate Tablets 10 mg"	"tranylcypromine"
""	""	""	""	""	"1041541000033116"	""	"Parstelin Tablets"	"trifluoperazine_tranylcypromine"
""	""	""	""	""	"1136841000033119"	""	"Praminil Tablets 10 mg"	"imipramine"
""	""	""	""	""	"1136941000033110"	""	"Praminil Tablets 25 mg"	"imipramine"
""	""	""	""	""	"1450741000033110"	""	"Tofranil Tablets 10 mg"	"imipramine"
""	""	""	""	""	"1454841000033113"	""	"Tryptizol Capsules 75 mg"	"amitriptyline"
""	""	""	""	""	"1460841000033110"	""	"Tryptizol Injection 10mg/ml"	"amitriptyline"
""	""	""	""	""	"1463041000033111"	""	"Tryptizol Mixture 10 mg/5 ml"	"amitriptyline"
""	""	""	""	""	"1471841000033113"	""	"Tryptizol Tablets 10 mg"	"amitriptyline"
""	""	""	""	""	"1471941000033117"	""	"Tryptizol Tablets 25 mg"	"amitriptyline"
""	""	""	""	""	"1472041000033111"	""	"Tryptizol Tablets 50 mg"	"amitriptyline"
""	""	""	""	""	"3199841000033111"	""	"Paxoran Tablets 10 mg"	"citalopram"
"Sertraline 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline hydrochloride"	"5.000mg/1.000ml"	"12900941000033117"	""	"Sertraline 25mg/5ml oral suspension"	"sertraline"
