"medcode"	"readcode"	"desc"	"SH"	"Group"
"96746"	"U402z00"	"[x]pois/expos ?intent to sedative hypnotic unspecif place"	1	"unknown intent"
"96753"	"U208y00"	"[x]int self poison oth/unsp drug/medic other spec place"	1	"self harm"
"97085"	"U209y00"	"[x]int self poison alcohol other spec place"	1	"self harm"
"97334"	"U2z2.00"	"[x]intent self harm by unspec mean occ sch/ins/pub adm area"	1	"self harm"
"97430"	"TN80000"	"injury ?accidental, by jumping before moving object"	1	"unknown intent"
"97788"	"U404.00"	"[x]poisoning/exposure, ? intent, to psychotropic drug"	1	"unknown intent"
"97794"	"U22z.00"	"[x]intent self harm by drown/submersn occ unspecified place"	1	"self harm"
"97891"	"TN52.00"	"injury ?accidental, by hunting rifle"	1	"unknown intent"
"97943"	"U20Az00"	"[x]int self pois org solv,halogen hydrocarb, unspec place"	1	"self harm"
"98594"	"TKx3.00"	"suicide and selfinflicted injury by extremes of cold"	1	"self harm"
"98865"	"U40yz00"	"[x]pois/expos ?intent to unspecif chemical unspecif place"	1	"unknown intent"
"99011"	"U204100"	"[x]intent self poison psychotropic drug at res institut"	1	"self harm"
"99427"	"ZX1Q.00"	"throwing self in front of train"	1	"self harm"
"99566"	"TK01100"	"suicide and self inflicted injury by barbitone"	1	"self harm"
"99775"	"14K1.00"	"intentional overdose of prescription only medication"	1	"self harm"
"99792"	"U212.00"	"[x]inten slf harm hang strang/suffc sch oth ins/pub adm area"	1	"self harm"
"100341"	"U4zy.00"	"[x]unspecif event undeterm intent occurrn oth specif place"	1	"unknown intent"
"100372"	"U4Bz.00"	"[x]fall jump/push frm high plce undt intnt occ unspecif plce"	1	"self harm"
"100635"	"U2By.00"	"[x]int self harm by jump from high place occ oth specif plce"	1	"self harm"
"101056"	"TK5z.00"	"suicide and selfinflicted injury by firearms/explosives nos"	1	"self harm"
"101481"	"U200400"	"[x]intent self pois nonopioid analgesic in street/highway"	1	"self harm"
"101906"	"TKx6.00"	"suicide and selfinflicted injury by crashing of aircraft"	1	"self harm"
"101971"	"U2D6.00"	"[x]intent self harm crash motor vehic occ indust/constr area"	1	"self harm"
"102025"	"U4Az.00"	"[x]contact with blunt obj undeterm intent occ unspecif place"	1	"unknown intent"
"102063"	"U40C000"	"[x]poison/exposure ?intent, to pesticide at home"	1	"unknown intent"
"102454"	"U4B6.00"	"[x]fall jump/push frm high plce undt intn indust/constr area"	1	"self harm"
"102479"	"U206000"	"[x]int self poison/exposure to hallucinogen at home"	1	"self harm"
"102731"	"U40y000"	"[x]poison/exposure ?intent, to unspecif chemical at home"	1	"unknown intent"
"102790"	"U220.00"	"[x]intent self harm by drowning/submersion occurrn at home"	1	"self harm"
"102975"	"U40yy00"	"[x]pois/exp ?intent to unspecif chemical other spec place"	1	"unknown intent"
"103565"	"U4z6.00"	"[x]unspecif event undeterm intent occurrn indust/constr area"	1	"unknown intent"
"103643"	"1JP..00"	"suspected drug overdose"	1	"unknown intent"
"104233"	"U216.00"	"[x]intent self harm by hang strangl/suffc indust/constr area"	1	"self harm"
"104754"	"TN02.00"	"injury ?accidental, poisoning by other sedative/hypnotic"	1	"unknown intent"
"104834"	"TK2y.00"	"suicide + selfinflicted poisoning by other gases and vapours"	1	"self harm"
"105003"	"U4z..00"	"[x]unspecified event, undetermined intent"	1	"unknown intent"
"105468"	"U4A6.00"	"[x]contct wth blunt obj undet intent occ industr/constr area"	1	"unknown intent"
"105584"	"U2y6.00"	"[x]intent self harm oth specif means occ indust/constr area"	1	"self harm"
"106028"	"U200600"	"[x]int self pois nonopioid analgesic indust/construct area"	1	"self harm"
"106139"	"TN01300"	"injury ?accidental poisoning by pentobarbitone"	1	"unknown intent"
"106178"	"TK01z00"	"suicide and self inflicted injury by barbiturates"	1	"self harm"
"106180"	"TKx0z00"	"suicide + selfinflicted inj-jump/lie before moving obj nos"	1	"self harm"
"106714"	"U2Dz.00"	"[x]intent self harm by crash motor vehic occ unspecif place"	1	"self harm"
"106964"	"U40By00"	"[x]pois/exp ?intent to other gas/vapour other spec place"	1	"unknown intent"
"107121"	"U2yy.00"	"[x]intent self harm oth specif means occ oth specif place"	1	"self harm"
"108187"	"TK53.00"	"suicide and selfinflicted injury by military firearms"	1	"self harm"
"108499"	"U2Az.00"	"[x]intentional self harm by blunt object occ unspecif place"	1	"self harm"
"108654"	"TN3y.00"	"injury ?accidental, other means of hang/strangle/suffocate"	1	"unknown intent"
"109625"	"U296.00"	"[x]intent self harm by sharp object occ indust/constr area"	1	"self harm"
"110088"	"U408400"	"[x]pois/expos ?intent oth/unsp drug/medic in street/highway"	1	"unknown intent"
"110204"	"TN3z.00"	"injury ?accidental, hanging/strangulation/suffocation nos"	1	"unknown intent"
"110578"	"U27y.00"	"[x]intent self harm by smoke fire/flame occ oth specif plce"	1	"self harm"
"110865"	"U206z00"	"[x]intent self poison hallucinogen unspecif place"	1	"self harm"
"110872"	"U4D1.00"	"[x]crashng of motor vehicle undeterm intent resident instit"	1	"unknown intent"
"110884"	"U295.00"	"[x]intent self harm by sharp object occ trade/service area"	1	"self harm"
"110900"	"U292.00"	"[x]intent self harm sharp obj occ sch oth ins/pub adm area"	1	"self harm"
"110923"	"TN10.00"	"injury ?accidental, poisoning by gas distributed by pipeline"	1	"unknown intent"
"111004"	"U213.00"	"[x]intent self harm by hang strangl/suffc sport/athlet area"	1	"self harm"
"111044"	"U46..00"	"[x]contact with explosive material, undetermined intent"	1	"unknown intent"
"111117"	"U2z1.00"	"[x]intent self harm by unspecif means occurrn resid instit'n"	1	"self harm"
"111291"	"U2B1.00"	"[x]intent self harm by jump from high place occ resid instit"	1	"self harm"
"111381"	"U282.00"	"[x]int self harm by steam hot vapor/obj sch/ins/pub adm area"	1	"self harm"
"111417"	"U466.00"	"[x]contct wth explosiv materl undet intnt indust/constr area"	1	"unknown intent"
"111420"	"U202.14"	"[x]overdose - flurazepam"	1	"unknown intent"
"111639"	"U4Ay.00"	"[x]contact with blunt obj undeter intent occ oth specif plce"	1	"unknown intent"
"111721"	"U2A2.00"	"[x]intent self harm blunt obj occ sch oth ins/pub adm area"	1	"self harm"
"111829"	"U40Bz00"	"[x]pois/expos ?intent to other gas/vapour unspecif place"	1	"unknown intent"
"112448"	"U409100"	"[x]pois/expos ?intent to alcohol at res institut"	1	"unknown intent"
"112603"	"U4B0.00"	"[x]fallng jumpng/push frm high place undet intent occ home"	1	"unknown intent"
"112645"	"U209400"	"[x]intent self pois alcohol in street/highway"	1	"self harm"
"112646"	"U20Ay00"	"[x]int self pois org solv,halogen hydrocarb,oth spec place"	1	"self harm"
"112771"	"U406.00"	"[x]poisoning/exposure, ? intent, to hallucinogen"	1	"unknown intent"
"112802"	"U41z.00"	"[x]hangng strangult+suffoct undet intent occ unspecif place"	1	"unknown intent"
"112846"	"TN1y.00"	"injury ?accidental, poisoning by other utility gas"	1	"unknown intent"
"112901"	"U43..00"	"[x]handgun discharge, undetermined intent"	1	"unknown intent"
"112963"	"U4z0.00"	"[x]unspecified event undetermined intent occurrence at home"	1	"unknown intent"
"113082"	"U437.00"	"[x]handgun discharge undetermined intent occurrence on farm"	1	"unknown intent"
"113252"	"TN53.00"	"injury ?accidental, by military firearms"	1	"unknown intent"
"113271"	"U222.00"	"[x]intent self harm drown/submers occ sch/ins/pub adm area"	1	"self harm"
"113355"	"TN03.00"	"injury ?accidental, poisoning by tranquilliser/psychotropic"	1	"unknown intent"
"113361"	"U215.00"	"[x]intent self harm by hang strangl/suffc trade/service area"	1	"self harm"
"113514"	"U209300"	"[x]int self poison alcohol in sport/athletic area"	1	"self harm"
"113518"	"U209200"	"[x]int self poison alcohol school/pub admin area"	1	"self harm"
"113598"	"U45y.00"	"[x]oth+unsp firarm disch undeterm intent occ oth specif plce"	1	"unknown intent"
"113643"	"U2D2.00"	"[x]int self harm crash motor vehicl occ sch/ins/pub adm area"	1	"self harm"
"113648"	"U217.00"	"[x]intent self harm by hanging strangulat/suffocat occ farm"	1	"self harm"
"114001"	"U4D4.00"	"[x]crashng of motor vehicle undeterm intent street/highway"	1	"unknown intent"
"114045"	"U2B2.00"	"[x]int self harm jump fr high place sch oth ins/pub adm area"	1	"self harm"
"114245"	"U484.00"	"[x]contact with steam hot vap+obj undet intent street/h'way"	1	"unknown intent"
"114254"	"U206y00"	"[x]int self poison hallucinogen other spec place"	1	"self harm"
"114310"	"U209600"	"[x]int self pois alcohol indust/construct area"	1	"self harm"
"114320"	"TK50.00"	"suicide and selfinflicted injury by handgun"	1	"self harm"
"114479"	"U4D5.00"	"[x]crash of motor vehicle undeterm intent trade/servce area"	1	"unknown intent"
"114500"	"U23..00"	"[x]intentional self harm by handgun discharge"	1	"self harm"
"114628"	"TK01300"	"suicide and self inflicted injury by pentabarbitone"	1	"self harm"
"114712"	"U4By.00"	"[x]fall jump/push frm high plce undt intnt occ oth spec plce"	1	"self harm"
"114743"	"U200200"	"[x]int self poison nonopioid analges school/pub admin area"	1	"self harm"
"114799"	"TN01.00"	"injury ?accidental, poisoning by barbiturate"	1	"unknown intent"
"115102"	"U401000"	"[x]poison/exposure ?intent, to antiepileptic at home"	1	"unknown intent"
"115671"	"U20C200"	"[x]int self poison pesticide school/pub admin area"	1	"self harm"
"115682"	"U41y.00"	"[x]hangng strangult+suffoct undet intent occ oth specif plce"	1	"unknown intent"
"115827"	"U2Dy.00"	"[x]intent self harm by crash motor vehic occ oth specif plce"	1	"self harm"
"115952"	"U206300"	"[x]int self poison hallucinogenin sport/athletic area"	1	"self harm"
"116003"	"U2Ay.00"	"[x]intention self harm by blunt object occ oth specif place"	1	"self harm"
"116127"	"U273.00"	"[x]intent self harm by smok fire/flam occ sport/athlet area"	1	"self harm"
"116142"	"U2y4.00"	"[x]intent self harm by oth specif means occ street/highway"	1	"self harm"
