"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Insulin"
"6061"	209775	"Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"30/70 100units/ml"	"Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"49307"	702	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge (Ypsomed Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"53118"	5	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"14301"	18831	"Insulin detemir 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"58801"	1160	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"6091"	4065	"NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units Red (Novo Nordisk Ltd)"	"Insulin"	"3ml/2-70 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"28666"	114	"Omnican 50 hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	"0.5ml/U100"	"Insulin Syringe With 8Mm Needle(30G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"7861"	12740	"INSULIN HUMULIN S (NEUTRAL) CARTRIDGE 100 I/U"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"35057"	1635	"OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi)"	"Insulin"	"3ml/1-80 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"5059"	49970	"NovoPen 3 Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units (Novo Nordisk Ltd)"	"Insulin"	"3ml/2-70 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"27280"	803	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 10ml vials"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous/Intramuscular"	"Biphasic Insulins"	"Insulin"
"8322"	711	"Insulin zinc suspension mixed human pyr 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"86879"	42	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"51881"	23022	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"77805"	3	"Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"26403"	182	"Pur-in mix 25/75 Injection (C P Pharmaceuticals Ltd)"	"Insulin"	NA	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"10484"	3745	"Penmix 20/80 Penfill (Novo Nordisk Ltd)"	"Insulin"	NA	"Penfill"	NA	"Intermediate- And Long-Acting Insulins"	"Insulin"
"10258"	10768	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge"	"Insulin"	"8mm/31gauge"	"Hypodermic Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"71247"	8	"PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Prosum Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"6470"	21592	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units (Owen Mumford Ltd)"	"Insulin"	"3ml/2-42 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"14505"	884	"Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"13474"	361	"U100 Insulin syringe Sp.36 [2A] 1ml"	"Insulin"	"1ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"69852"	250	"Microdot Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"63679"	47	"Hypurin soluble 100iu/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"3550"	22995	"Mixtard 40 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Penfill"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"14646"	1524	"Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge"	"Insulin"	"0.3ml"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"74824"	80	"Actrapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"26098"	9915	"Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"83875"	1	"Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"33microgram/1ml + 100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Insulin"
"5022"	81322	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/28gauge (Novo Nordisk Ltd)"	"Insulin"	"12mm/28gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"15484"	1602	"Insulin isophane bovine 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Unknown"	"Insulin"
"64258"	489	"JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Blue (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"57387"	133	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"65587"	53	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"18590"	100	"Insulin isophane bovine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"12818"	2789	"Human Mixtard 50 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"58817"	1982	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"1588"	172069	"Actrapid 100iu/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"35701"	112	"Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"10001"	29901	"Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"49451"	2529	"Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge (Ypsomed Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"21422"	43	"Insulin isophane biphasic human 40/60 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"40unit/1ml + 60unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"35253"	5252	"Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"7350"	219	"Insulin isophane porcine 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"57451"	278	"Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"79955"	9	"IME-FINE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Arctic Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"38422"	38	"Isophane 100iu/ml Injection (Celltech Pharma Europe Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"31465"	103	"Exubera 1mg inhalation powder blisters (Pfizer Ltd)"	"Insulin"	"1mg"	"Inhalation powder"	"Inhalation"	"Unknown"	"Insulin"
"73068"	412	"GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"73676"	3241	"GreenFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"7062"	141	"Myjector hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.4mm/27gauge (Terumo UK Ltd)"	"Insulin"	"1ml/U100"	"Insulin Syringe With 12Mm Needle(27G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"5850"	149118	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 6mm/31gauge (Ypsomed Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector-Snap On"	"Insulin"
"55521"	9401	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"16209"	76	"INSULIN HYPURIN SOLUBLE 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"26498"	36	"Insulin zinc suspension mixed bovine and porcine 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"25479"	91	"Insulin soluble porcine 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intramuscular/Subcutaneous/Intravenous"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"59533"	238	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"67267"	1520	"Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Biphasic Insulins"	"Insulin"
"68896"	6	"Nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge (Terumo UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"11245"	1149	"B-d u-100 0.3ml Insulin syringe (Becton, Dickinson UK Ltd)"	"Insulin"	"0.3ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"68031"	288	"Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"86727"	3	"Klinion Soft Fine Plus Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (H & R Healthcare Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"10259"	19999	"Insulin glargine 100units/ml solution for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"21110"	113	"Insulin biphasic isophane human prb 50:50; 100 units/ml Injection"	"Insulin"	"50:50; 100 units/ml"	"Injection"	"Intramuscular"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"39086"	102969	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"57243"	624	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"22161"	11	"INSULIN HUMULIN M1 VIAL"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"74479"	1	"Insulin lispro 100units/ml solution for injection 3ml pre-filled pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"86016"	1	"HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (HTL-STREFA S.A.)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"62899"	49190	"Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml + 3.6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin"	"Insulin"
"8376"	1391	"INSULIN ISOPHANE 100 I/U"	"Insulin"	NA	NA	NA	"Unknown"	"Insulin"
"69715"	18294	"Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"71487"	15869	"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"13819"	6728	"Hypurin Porcine Isophane 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Unknown"	"Insulin"
"18931"	119	"Insulin zinc crystalline human 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"17076"	285	"Omnican 100 hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	"1ml/U100"	"Insulin Syringe With 8Mm Needle(30G)"	NA	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"86083"	890	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"71430"	15	"Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"60750"	321	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"76533"	7	"Insulin lispro Sanofi 100units/ml solution for injection 10ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"35081"	280	"OptiClik hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Grey (Sanofi)"	"Insulin"	"3ml/1-80 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"22060"	6292	"Insulin 0.5 0.5ml Syringe"	"Insulin"	"0.5ml"	"Syringe"	NA	"-"	"Insulin"
"54885"	44	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"51107"	12	"Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"43953"	25	"Insulin lispro biphasic 25/75 100units/ml suspension for injection 10ml vials"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"18461"	37	"Insulin zinc mixed human 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"14362"	2319	"Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"1842"	19288	"Pork velosulin 100unit/ml Injection (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"5421"	681478	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Novo Nordisk Ltd)"	"Insulin"	"6mm/31gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"13277"	5447	"Mixtard 50 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"59133"	2183	"BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"7393"	92768	"Insulin glargine 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"5873"	797807	"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Becton, Dickinson UK Ltd)"	"Insulin"	"5mm/31gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"67428"	944	"Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (A. Menarini Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"51743"	1	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"14925"	405	"Insulin isophane human vial 100unit/ml Sterile suspension injection"	"Insulin"	"100unit/ml"	"Sterile Suspension Injection"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"23099"	2714	"Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"82201"	1259	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"5164"	8855	"NovoPen 3 Demi hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units (Novo Nordisk Ltd)"	"Insulin"	"3ml/1-35 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"7537"	12976	"Humulin Zn 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"74392"	63	"Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (Lexon (UK) Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"11408"	3710	"Autopen Classic hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin"	"3ml/1-21 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"58798"	38011	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"14270"	50024	"Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"25735"	15	"Insulin isophane biphasic human 20/80 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"26784"	2	"INSULIN ZINC SEMILENTE SUSP BP 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"82172"	8016	"Lyumjev KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"12654"	1542	"Insulin soluble human prb 100unit/ml Injection"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"47856"	4	"Neuphane 100unit/ml Injection (Wellcome Medical Division)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"5557"	4841	"NovoPen 3 Fun hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 2-70 units Blue (Novo Nordisk Ltd)"	"Insulin"	"3ml/2-70 units"	"Insulin Pen"	NA	"Reusable Pens"	"Insulin"
"9503"	1622	"Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"30686"	84	"Insulin isophane porcine 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"30918"	21	"ABCare hypodermic U100 insulin syringe glass reusable 0.5ml (Rand Rocket Ltd)"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"Unknown"	"Insulin"
"35143"	54937	"NovoFine Autocover hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Novo Nordisk Ltd)"	"Insulin"	"8mm/30gauge"	"Pen Needle"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"24866"	64	"INSULIN INSULATARD (LEO RETARD) 40 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"21590"	1542	"Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"15624"	157	"INSULIN ISOPHANE (HIGHLY PURIFIED) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"10243"	227192	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"10175"	7019	"Insulin isophane human 100units/ml suspension for injection 1.5ml cartridges"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
