"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Gen"	"AP"
"16489"	4177011000001109	"65788020"	"Risperidone 50mg powder and solvent for suspension for injection vials"	"Risperidone"	"50mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"16561"	406790009	"87948020"	"Aripiprazole 30mg tablets"	"Aripiprazole"	"30mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"16575"	417374006	"91143020"	"Aripiprazole 1mg/ml oral solution"	"Aripiprazole"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"16768"	24311000001100	"85999020"	"Solian 50 tablets (Sanofi)"	"Amisulpride"	"50mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"16908"	4520711000001102	"78753020"	"Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)"	"Risperidone"	"25mg"	"Powder and solvent for suspension for injection"	"Intramuscular"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"16986"	4039211000001101	"81545020"	"Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd)"	"Risperidone"	"1mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"16998"	4748211000001109	"82828020"	"Sertindole 12mg tablets"	"Sertindole"	"12mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Sertindole"
"17050"	4748411000001108	"82831020"	"Sertindole 20mg tablets"	"Sertindole"	"20mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Sertindole"
"17087"	133365001000027104	"65587020"	"Perphenazine 5mg/ml injection"	"Perphenazine"	"5mg/ml"	"Injection"	""	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Perphenazine"
"17152"	504711000001108	"75353020"	"Orlept 200mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Sodium valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"17190"	107075001000027104	"62042020"	"Fluphenazine enanthate 25mg/ml Injection"	"Fluphenazine Enantate"	"25mg/ml"	"Injection"	""	"04020200"	"Antipsychotic Depot Injections"	1	"Fluphenazine"
"17221"	89475001000027104	"02870007"	"CHLORPROMAZINE HCl 10 MG INJ"	""	""	""	""	"00000000"	"Unknown"	1	"Chlorpromazine"
"17227"	101495001000027104	"61249020"	"Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Chlorpromazine"
"17379"	196625001000027104	"75300020"	"Haloperidol 1.5mg/5ml sugar free Oral solution"	"Haloperidol"	"1.5mg/5ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"17399"	196515001000027104	"75276020"	"Thioridazine 50mg/5ml Oral solution"	"Thioridazine Hydrochloride"	"50mg/5ml"	"Oral Solution"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Thioridazine"
"17504"	321642004	"50780020"	"Zotepine 25mg tablets"	"Zotepine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Zotepine"
"17634"	321502002	"66283020"	"Promazine 50mg/5ml oral solution"	"Promazine hydrochloride"	"10mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Promazine"
"17849"	34225001000027104	"52249020"	"Vertigon spansule 15 15mg Spansule (GlaxoSmithKline Consumer Healthcare)"	"Prochlorperazine Maleate"	"15mg"	"Spansule"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Prochlorperazine"
"17877"	57285001000027104	"01795007"	"TRIFLUPERIDOL 2 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Trifluperidol"
"17958"	3830311000001101	"72576020"	"Clozaril 25mg tablets (Mylan)"	"Clozapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Clozapine"
"18013"	340911000001108	"85213020"	"Seroquel 100mg tablets (AstraZeneca UK Ltd)"	"Quetiapine fumarate"	"100mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"18024"	467011000001109	"83397020"	"Zyprexa 5mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"18132"	9037911000001102	"88668020"	"Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"5mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"18155"	36058011000001104	"89970020"	"Flupentixol 50mg/0.5ml solution for injection ampoules"	"Flupentixol decanoate"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"18175"	36068611000001104	"89972020"	"Flupentixol 100mg/1ml solution for injection ampoules"	"Flupentixol decanoate"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"18181"	145511000001103	"82057020"	"Sulpor 200mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Sulpiride"	"40mg/1ml"	"Oral solution"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Sulpiride"
"18197"	3100711000001101	"89974020"	"Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol decanoate"	"100mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"18289"	29465001000027108	"51681020"	"Stelazine 10mg/ml Concentrate (Goldshield Pharmaceuticals Ltd)"	"Trifluoperazine Hydrochloride"	"10mg/ml"	"Concentrate"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Trifluoperazine"
"18352"	246411000001108	"59150020"	"Sulpitil 200mg tablets (Pfizer Ltd)"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Sulpiride"
"18453"	337311000001109	"81008020"	"Zyprexa 2.5mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"2.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"18658"	NA	"!8504040"	"OLANZAPINE"	""	""	""	""	"00000000"	"Unknown"	2	"Olanzapine"
"18668"	145365001000027104	"67234020"	"Trifluoperazine 10mg/ml concentrate"	"Trifluoperazine Hydrochloride"	"10mg/ml"	"Concentrate"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Trifluoperazine"
"18991"	321466003	"72212020"	"Oxypertine 40mg tablets"	"Oxypertine"	"40mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Oxypertine"
"19002"	67285001000027104	"56481020"	"Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)"	"Chlorpromazine Hydrochloride"	"100mg"	"Suppository"	"Rectal"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Chlorpromazine"
"19016"	187125001000027104	"73474020"	"Roxiam 150mg Capsule (AstraZeneca UK Ltd)"	"Remoxipride Hydrochloride Monohydrate"	"150mg"	"Capsule"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Remoxipride"
"19033"	118865001000027104	"03897007"	"CHLORPROMAZINE HCl 50 MG INJ"	""	""	""	""	"00000000"	"Unknown"	1	"Chlorpromazine"
"19283"	3102911000001100	"91584020"	"Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Flupentixol decanoate"	"20mg/1ml"	"Solution for injection"	"Intramuscular"	"04020200"	"Antipsychotic Depot Injections"	1	"Flupentixol"
"19296"	4021611000001103	"78981020"	"Lamictal 2mg dispersible tablets (GlaxoSmithKline UK Ltd)"	"Lamotrigine"	"2mg"	"Dispersible tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"19645"	NA	"!7266001"	"TRIFLUOPERAZINE 5.00mg/ml"	""	""	""	""	"00000000"	"Unknown"	1	"Trifluoperazine"
"19900"	4748311000001101	"82829020"	"Sertindole 16mg tablets"	"Sertindole"	"16mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Sertindole"
"19976"	511111000001106	"58203020"	"Zyprexa 15mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"15mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"20061"	67165001000027104	"02122007"	"PERPHENAZINE 8 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Perphenazine"
"20174"	3872811000001108	"71176020"	"Loxapac 10mg capsules (Wyeth Pharmaceuticals)"	"Loxapine succinate"	"10mg"	"Capsule"	"Oral"	"00000000"	"Unknown"	1	"Loxapine"
"20668"	NA	"!7128101"	"THIORIDAZINE 25mg/5ml"	""	""	""	""	"00000000"	"Unknown"	1	"Thioridazine"
"20703"	3826011000001104	"50461020"	"Moditen 5mg tablets (Sanofi-Synthelabo Ltd)"	"Fluphenazine hydrochloride"	"5mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Fluphenazine"
"21027"	145475001000027104	"67249020"	"Triperidol 1mg Tablet (Lagap)"	"Trifluperidol"	"1mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Trifluperidol"
"21047"	145465001000027104	"67248020"	"Triperidol 0.5mg Tablet (Lagap)"	"Trifluperidol"	"0.5mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Trifluperidol"
"21064"	21065001000027104	"50679020"	"Neulactil 25mg Tablet (JHC Healthcare Ltd)"	"Pericyazine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Pericyazine"
"21125"	82905001000027104	"58514020"	"Droleptan 5mg/ml Injection (Janssen-Cilag Ltd)"	"Droperidol"	"5mg/ml"	"Injection"	"Intravenous Injection"	"04020100/15010401"	"Antipsychotic Drugs/Benzodiazepines (peri-operative)"	1	"Droperidol"
"21199"	7974011000001109	"88169020"	"Denzapine 100mg tablets (Britannia Pharmaceuticals Ltd)"	"Clozapine"	"100mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Clozapine"
"21339"	123295001000027104	"64330020"	"Veractil 25mg Tablet (Rhone-Poulenc Rorer Ltd)"	"Levomepromazine maleate"	"25mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Levomepromazine"
"21675"	58165001000027104	"01826007"	"THIOPROPERAZINE MESYLATE 25 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Thioproperazine"
"21709"	4989111000001106	"87047020"	"Seroquel 300mg tablets (AstraZeneca UK Ltd)"	"Quetiapine fumarate"	"300mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Quetiapine"
"21744"	121925001000027104	"64108020"	"Anquil 250microgram Tablet (Concord Pharmaceuticals Ltd)"	"Benperidol"	"250microgram"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Benperidol"
"21964"	776911000001109	"83398020"	"Zyprexa 7.5mg tablets (Eli Lilly and Company Ltd)"	"Olanzapine"	"7.5mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"22018"	8788711000001105	"57186020"	"Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Lithium citrate"	"101.8mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"22049"	178611000001106	"91596020"	"Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Zuclopenthixol decanoate"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Zuclopenthixol"
"22245"	NA	"!7263106"	"TRIFLUOPERAZINE 10mg/ml"	""	""	""	""	"00000000"	"Unknown"	1	"Trifluoperazine"
"22606"	36138211000001104	"91404020"	"Chlorpromazine 25mg/1ml solution for injection ampoules"	"Chlorpromazine hydrochloride"	"25mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"22609"	180005001000027104	"72297020"	"Droperidol 5mg/ml injection"	"Droperidol"	"5mg/ml"	"Injection"	""	"04020100/15010401"	"Antipsychotic Drugs/Benzodiazepines (peri-operative)"	1	"Droperidol"
"22655"	67125001000027104	"02121007"	"PERICYAZINE 2.5 MG ELI"	""	""	""	""	"00000000"	"Unknown"	1	"Pericyazine"
"22660"	152111000001103	"58500020"	"Haldol 5mg tablets (Janssen-Cilag Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"22814"	145435001000027104	"67245020"	"Trifluperidol 1mg Tablet"	"Trifluperidol"	"1mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Trifluperidol"
"22861"	NA	"!8504117"	"LITHIUM 8% + ZINC SULPHATE 0.05%"	""	""	""	""	"00000000"	"Unknown"	3	"Lithium"
"23034"	186955001000027104	"73441020"	"Remoxipride 75mg capsule"	"Remoxipride Hydrochloride Monohydrate"	"75mg"	"Capsules"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Remoxipride"
"23162"	4732011000001101	"82837020"	"Serdolect 16mg tablets (Lundbeck Ltd)"	"Sertindole"	"16mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Sertindole"
"23431"	5818311000001104	"87556020"	"Olanzapine 10mg powder for solution for injection vials"	"Olanzapine"	"10mg"	"Powder for solution for injection"	"Intramuscular"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"23517"	58145001000027112	"01825007"	"THIOPROPAZATE HCl 10 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Thiopropazate"
"23659"	145425001000027104	"67244020"	"Trifluperidol 0.5mg Tablet"	"Trifluperidol"	"0.5mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Trifluperidol"
"23678"	271211000001102	"58501020"	"Haldol 10mg tablets (Janssen-Cilag Ltd)"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"24053"	214325001000027104	"80696020"	"Sulparex 200mg Tablet (E R Squibb and Sons Ltd)"	"Sulpiride"	"200mg"	"Tablet"	"Oral"	"04020100/04090300"	"Antipsychotic Drugs/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders"	1	"Sulpiride"
"24069"	416411000001101	"52922020"	"Dolmatil 400mg tablets (Sanofi)"	"Sulpiride"	"400mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Sulpiride"
"24107"	79025001000027104	"02533007"	"FLUPHENAZINE HCl ELI"	""	""	""	""	"00000000"	"Unknown"	1	"Fluphenazine"
"24153"	872211000001104	"75355020"	"Orlept SF 200mg/5ml liquid (Wockhardt UK Ltd)"	"Sodium valproate"	"40mg/1ml"	"Oral solution"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"24270"	36152011000001104	"90145020"	"Zuclopenthixol acetate 50mg/1ml solution for injection ampoules"	"Zuclopenthixol acetate"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Zuclopenthixol"
"24358"	7637111000001104	"87950020"	"Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"10mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"24494"	82845001000027104	"58505020"	"Haldol 10mg/ml Liquid (Janssen-Cilag Ltd)"	"Haloperidol"	"10mg/ml"	"Liquid"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"25063"	NA	"!3814301"	"HALOPERIDOL 100mg/ml"	""	""	""	""	"00000000"	"Unknown"	1	"Haloperidol"
"25336"	321643009	"50781020"	"Zotepine 50mg tablets"	"Zotepine"	"50mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Zotepine"
"25344"	64045001000027104	"56048020"	"Lithium carbonate 400mg Modified-release tablet (Approved Prescription Services Ltd)"	"Lithium carbonate"	"400mg"	"Modified-release tablet"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"25345"	4888611000001102	"57187020"	"Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Lithium citrate"	"203.6mg/1ml"	"Oral solution"	"Oral"	"04020300"	"Drugs Used For Mania And Hypomania"	3	"Lithium"
"25396"	72835001000027104	"02326007"	"LITHIUM CHLORIDE 400 MG SOL"	""	""	""	""	"00000000"	"Unknown"	3	"Lithium"
"25635"	NA	"!1377104"	"ZUCLOPENTHIXOL DIHYDROCHLORIDE"	""	""	""	""	"00000000"	"Unknown"	1	"Zuclopenthixol"
"25653"	101505001000027104	"61250020"	"Chloractil 50mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Chlorpromazine"
"25759"	NA	"!2022101"	"DROPERIDOL"	""	""	""	""	"00000000"	"Unknown"	1	"Droperidol"
"25835"	19445001000027104	"50472020"	"Moditen enanthate 25mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Fluphenazine Enantate"	"25mg/ml"	"Injection"	""	"04020200"	"Antipsychotic Depot Injections"	1	"Fluphenazine"
"25909"	69765001000027104	"56833020"	"Perphenazine 4mg/5ml Oral solution sugar free"	"Perphenazine"	"4mg/5ml"	"Syrup Sugar-free"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Perphenazine"
"25966"	4729611000001104	"82835020"	"Serdolect 4mg tablets (Lundbeck Ltd)"	"Sertindole"	"4mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Sertindole"
"26082"	NA	"!7128103"	"THIORIDAZINE 25mg/5ml"	""	""	""	""	"00000000"	"Unknown"	1	"Thioridazine"
"26526"	NA	"!2659101"	"FLUSPIRILENE 2.00mg/ml"	""	""	""	""	"00000000"	"Unknown"	1	"Fluspirilene"
"26544"	2841911000001104	"80154020"	"Solian 100 tablets (Sanofi)"	"Amisulpride"	"100mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"26660"	NA	"!5885103"	"PROMAZINE HYDROCHLORIDE"	""	""	""	""	"00000000"	"Unknown"	1	"Promazine"
"26800"	3873611000001104	"71178020"	"Loxapac 50mg capsules (Wyeth Pharmaceuticals)"	"Loxapine succinate"	"50mg"	"Capsule"	"Oral"	"00000000"	"Unknown"	1	"Loxapine"
"27148"	82935001000027104	"58519020"	"Orap 10mg Tablet (Janssen-Cilag Ltd)"	"Pimozide"	"10mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Pimozide"
"27211"	131315001000027104	"65318020"	"Integrin 40mg Tablet (Sanofi-Synthelabo Ltd)"	"Oxypertine"	"40mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Oxypertine"
"27221"	184305001000027104	"06539007"	"LAMICTAL NON-VALPROATE ADD-ON START PACK TAB 25 mg"	""	""	""	""	"00000000"	"Unknown"	3	"Lamotrigine"
"28147"	30745001000027104	"51832020"	"Taractan 15mg Tablet (Roche Products Ltd)"	"Chlorprothixene"	"15mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Chlorprothixene"
"28231"	237945001000027104	"87842020"	"Levinan 6mg Tablet (Link Pharmaceuticals Ltd)"	"Levomepromazine maleate"	"6mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Levomepromazine"
"28355"	36152111000001104	"91592020"	"Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules"	"Zuclopenthixol decanoate"	"200mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Zuclopenthixol"
"28679"	115245001000027104	"63137020"	"Dozic 2mg/ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Haloperidol"	"2mg/ml"	"Oral Solution"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
"28759"	321644003	"50782020"	"Zotepine 100mg tablets"	"Zotepine"	"100mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Zotepine"
"28862"	101515001000027104	"61251020"	"Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpromazine hydrochloride"	"100mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Chlorpromazine"
"28965"	57265001000027104	"01794007"	"TRIFLUOPERAZINE HCL/ISOPROP.IODIDE FORTE TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Trifluoperazine"
"28968"	3927511000001104	"56188020"	"Serenace 20mg/2ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd)"	"Haloperidol"	"10mg/1ml"	"Solution for injection"	"Intravenous/Intramuscular"	"00000000"	"Unknown"	1	"Haloperidol"
"28979"	NA	"!7128104"	"THIORIDAZINE  100mg/5ml"	""	""	""	""	"00000000"	"Unknown"	1	"Thioridazine"
"29445"	107275001000027104	"03507007"	"THIOPROPERAZINE MESYLATE 10 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Thioproperazine"
"29540"	374054003	"92053020"	"Olanzapine 20mg tablets"	"Olanzapine"	"20mg"	"Tablet"	"Oral"	"04020102/04020300"	"Second-generation Antipsychotic Drugs/Drugs Used For Mania And Hypomania"	2	"Olanzapine"
"29619"	9327411000001108	"70804020"	"Lamotrigine 25mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"25mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"29620"	9327811000001106	"70810020"	"Lamotrigine 100mg tablets (Actavis UK Ltd)"	"Lamotrigine"	"100mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Lamotrigine"
"29879"	7637811000001106	"87954020"	"Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)"	"Aripiprazole"	"30mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"29948"	7740511000001103	"87980020"	"Stelazine Forte 1mg/ml oral solution (Mercury Pharma Group Ltd)"	"Trifluoperazine hydrochloride"	"1mg/1ml"	"Oral solution"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Trifluoperazine"
"29972"	NA	"!5515103"	"PERICYAZINE"	""	""	""	""	"00000000"	"Unknown"	1	"Pericyazine"
"30081"	142645001000027104	"66876020"	"Sodium valproate CR 500mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Sodium Valproate"	"500mg"	"Tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"30088"	3904811000001101	"55209020"	"Zoleptil 25 tablets (Movianto UK Ltd)"	"Zotepine"	"25mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Zotepine"
"30111"	101615001000027104	"61264020"	"Chlorprothixene 50mg tablets"	"Chlorprothixene"	"50mg"	"Tablets"	"Oral"	"04020100"	"Antipsychotic Drugs"	1	"Chlorprothixene"
"30346"	170405001000027104	"05888007"	"CHLORPROMAZINE HCl 100 MG TAB"	""	""	""	""	"00000000"	"Unknown"	1	"Chlorpromazine"
"30487"	7972911000001104	"88167020"	"Denzapine 25mg tablets (Britannia Pharmaceuticals Ltd)"	"Clozapine"	"25mg"	"Tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Clozapine"
"31063"	4731711000001106	"82836020"	"Serdolect 12mg tablets (Lundbeck Ltd)"	"Sertindole"	"12mg"	"Tablet"	"Oral"	"04020100"	"Antipsychotic Drugs"	2	"Sertindole"
"31098"	10675411000001108	"91141020"	"Aripiprazole 15mg orodispersible tablets sugar free"	"Aripiprazole"	"15mg"	"Orodispersible tablet"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Aripiprazole"
"31159"	152085001000027104	"05108007"	"DARTALAN 5 MG TAB"	"Thiopropazate"	""	""	""	"00000000"	"Unknown"	1	"Thiopropazate"
"31171"	430911000001101	"60250020"	"Chlorpromazine 50mg tablets (A A H Pharmaceuticals Ltd)"	"Chlorpromazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"31172"	206411000001104	"55202020"	"Chlorpromazine 50mg tablets (Teva UK Ltd)"	"Chlorpromazine hydrochloride"	"50mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"31175"	290211000001102	"55217020"	"Chlorpromazine 25mg tablets (A A H Pharmaceuticals Ltd)"	"Chlorpromazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"31184"	249311000001108	"58894020"	"Chlorpromazine 25mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Chlorpromazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"31537"	36151811000001104	"90147020"	"Zuclopenthixol acetate 100mg/2ml solution for injection ampoules"	"Zuclopenthixol acetate"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Zuclopenthixol"
"31538"	4130411000001101	"90151020"	"Clopixol Acuphase 100mg/2ml solution for injection ampoules (Lundbeck Ltd)"	"Zuclopenthixol acetate"	"50mg/1ml"	"Solution for injection"	"Intramuscular"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Zuclopenthixol"
"31576"	3933811000001105	"79348020"	"Solian 100mg/ml oral solution (Sanofi)"	"Amisulpride"	"100mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Amisulpride"
"31747"	NA	"!1281110"	"CHLORPROMAZINE HYDROCHLORIDE"	""	""	""	""	"00000000"	"Unknown"	1	"Chlorpromazine"
"31796"	3688311000001103	"84860020"	"Benquil 250microgram tablets (Concord Pharmaceuticals Ltd)"	"Benperidol"	"250microgram"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Benperidol"
"32051"	87095001000027104	"59028020"	"Haloperidol 5mg Tablet (Generics (UK) Ltd)"	"Haloperidol"	"5mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Haloperidol"
