"medcodeid"	"TermEMIS"	"EMIS"	"TermRead"	"READ"	"TermSNOMED"	"SNOMED"	"Group"
"3005611000006115"	"\\"Disorganized schizophrenia, in remission\\""	"^ESCTDI300561"	NA	NA	"\\"Disorganized schizophrenia, in remission\\""	"31373002"	"schizophrenia"
"3006671000006118"	"\\"Bipolar I disorder, most recent episode hypomanic\\""	"^ESCTBI300667"	NA	NA	"\\"Bipolar I disorder, most recent episode hypomanic\\""	"31446002"	"bipolar"
"3036131000006117"	NA	NA	NA	NA	"Somatic delusion disorder (disorder)"	"33323008"	"other psychosis"
"3036141000006110"	NA	NA	NA	NA	"Somatic delusion disorder (disorder)"	"33323008"	"other psychosis"
"3068121000006112"	"Disorganised schizophrenia"	"^ESCTDI306812"	NA	NA	"Disorganised schizophrenia"	"35252006"	"schizophrenia"
"3068131000006110"	"Disorganized schizophrenia"	"^ESCTDI306813"	NA	NA	"Disorganized schizophrenia"	"35252006"	"schizophrenia"
"3116711000006110"	"Involutional paraphrenia"	"^ESCTIN311671"	NA	NA	"Involutional paraphrenia"	"38295006"	"other psychosis"
"3118041000006112"	NA	NA	NA	NA	"\\"Schizoaffective disorder, bipolar type (disorder)\\""	"38368003"	"other psychosis"
"3137261000006111"	NA	NA	NA	NA	"Undifferentiated schizophrenia in remission (disorder)"	"39610001"	"schizophrenia"
"3174071000006116"	"\\"Bipolar disorder, full remission\\""	"^ESCTBI317407"	NA	NA	"\\"Bipolar disorder, full remission\\""	"41836007"	"bipolar"
"3175731000006118"	NA	NA	NA	NA	"Amok (disorder)"	"41932008"	"other psychosis"
"317648012"	NA	NA	"\\"[D]Lithium, blood level abnormal\\""	"R1053"	"Lithium in blood specimen outside therapeutic range (finding)"	"442174001"	"bipolar"
"3224371000006115"	NA	NA	NA	NA	"Capgras' syndrome"	"44906001"	"other psychosis"
"3224391000006119"	NA	NA	NA	NA	"Capgras syndrome"	"44906001"	"other psychosis"
"3318441000006110"	NA	NA	NA	NA	"Thought insertion (finding)"	"50543005"	"other psychosis"
"3468391000006115"	NA	NA	NA	NA	"Severe depressed bipolar I disorder with psychotic features (disorder)"	"59617007"	"bipolar"
"346895011"	NA	NA	"Psychotic episode NOS"	"E13z-1"	"Psychotic episode NOS"	"69322001"	"other psychosis"
"346896012"	NA	NA	"Reactive psychoses"	"E13-1"	"Reactive psychoses"	"231437006"	"other psychosis"
"3497641000006117"	"\\"Severe bipolar I disorder, most recent episode depressed without psychotic features\\""	"^ESCTSE349764"	NA	NA	"\\"Severe bipolar I disorder, most recent episode depressed without psychotic features\\""	"61403008"	"bipolar"
"3504721000006117"	"Induced psychotic disorder"	"^ESCTIN350472"	NA	NA	"Induced psychotic disorder"	"61831009"	"other psychosis"
"3504731000006119"	"Folie � deux"	"^ESCTFO350473"	NA	NA	"Folie � deux"	"61831009"	"other psychosis"
"3504741000006112"	"Shared psychotic disorder"	"^ESCTSH350474"	NA	NA	"Shared psychotic disorder"	"61831009"	"other psychosis"
"3504751000006114"	"Induced psychosis"	"^ESCTIN350475"	NA	NA	"Induced psychosis"	"61831009"	"other psychosis"
"3504781000006118"	"Folie E deux"	"^ESCTFO350478"	NA	NA	"Folie E deux"	"61831009"	"other psychosis"
"3504791000006115"	"Induced paranoid disorder"	"^ESCTIN350479"	NA	NA	"Induced paranoid disorder"	"61831009"	"other psychosis"
"3527411000006119"	"\\"Paranoid schizophrenia, in remission\\""	"^ESCTPA352741"	NA	NA	"\\"Paranoid schizophrenia, in remission\\""	"63181006"	"schizophrenia"
"3527771000006116"	"Bouff̩e d̩lirante"	"^ESCTBO352777"	NA	NA	"Bouffée délirante"	"63204009"	"other psychosis"
"3528681000006111"	"\\"Bipolar I disorder, most recent episode manic, in partial remission\\""	"^ESCTBI352868"	NA	NA	"\\"Bipolar I disorder, most recent episode manic, in partial remission\\""	"63249007"	"bipolar"
"3549101000006116"	NA	NA	NA	NA	"Delusional perception (finding)"	"64514005"	"other psychosis"
"3555731000006114"	"Paraphrenic schizophrenia"	"^ESCTPA355573"	NA	NA	"Paraphrenic schizophrenia"	"64905009"	"schizophrenia"
"362271000006110"	NA	NA	"[X]Acute and transient psychotic disorders"	"Eu23"	"[X]Acute and transient psychotic disorders"	"231489001"	"other psychosis"
"362381000006115"	NA	NA	"[X]Acute polymorphic psychot disord with symp of schizophren"	"Eu231"	"[X]Acute polymorphic psychot disord with symp of schizophren"	"712850003"	"other psychosis"
"362391000006117"	NA	NA	"[X]Acute polymorphic psychot disord without symp of schizoph"	"Eu230"	"[X]Acute polymorphic psychot disord without symp of schizoph"	"712824002"	"other psychosis"
"362421000006113"	NA	NA	"[X]Acute schizophrenia-like psychotic disorder"	"Eu232"	"[X]Acute schizophrenia-like psychotic disorder"	"278853003"	"other psychosis"
"3627341000006115"	"Psychosis"	"^ESCTPS362734"	NA	NA	"Psychosis"	"69322001"	"other psychosis"
"366571000006114"	NA	NA	"[X]Atypical schizophrenia"	"Eu203-1"	"[X]Atypical schizophrenia"	"111484002"	"schizophrenia"
"367051000006112"	NA	NA	"\\"[X]Bipol aff disord, curr epis sev depress, no psychot symp\\""	"Eu314"	"\\"[X]Bipol aff disord, curr epis sev depress, no psychot symp\\""	"61403008"	"bipolar"
"367061000006114"	NA	NA	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	"Eu315"	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	"765176007"	"bipolar"
"367071000006119"	NA	NA	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	"Eu312"	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	"191623007"	"bipolar"
"367081000006116"	NA	NA	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"Eu311"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"191618007"	"bipolar"
"367091000006118"	NA	NA	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"Eu313"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"191630001"	"bipolar"
"367101000006112"	NA	NA	"[X]Bipolar affective disorder"	"Eu31"	"[X]Bipolar affective disorder"	"13746004"	"bipolar"
"367111000006110"	NA	NA	"\\"[X]Bipolar affective disorder, current episode hypomanic\\""	"Eu310"	"\\"[X]Bipolar affective disorder, current episode hypomanic\\""	"31446002"	"bipolar"
"367121000006119"	NA	NA	"\\"[X]Bipolar affective disorder, current episode mixed\\""	"Eu316"	"\\"[X]Bipolar affective disorder, current episode mixed\\""	"192362008"	"bipolar"
"367151000006111"	NA	NA	"\\"[X]Bipolar disorder, single manic episode\\""	"Eu30-1"	"\\"[X]Bipolar disorder, single manic episode\\""	"268619003"	"bipolar"
"367161000006113"	NA	NA	"[X]Bipolar II disorder"	"Eu31y-1"	"[X]Bipolar II disorder"	"83225003"	"bipolar"
"367951000006113"	NA	NA	"[X]Borderline schizophrenia"	"Eu21-2"	"[X]Borderline schizophrenia"	"274952002"	"other psychosis"
"367961000006110"	NA	NA	"[X]Bouffee delirante"	"Eu230-1"	"[X]Bouffee delirante"	"63204009"	"other psychosis"
"367971000006115"	NA	NA	"[X]Bouffee delirante with symptoms of schizophrenia"	"Eu231-1"	"[X]Bouffee delirante with symptoms of schizophrenia"	"712850003"	"other psychosis"
"367991000006119"	NA	NA	"\\"[X]Acute and transient psychotic disorder, unspecified\\""	"Eu23z-1"	"[X]Brief reactive psychosis NOS"	"231489001"	"other psychosis"
"368001000006112"	NA	NA	"[X]Brief schizophreniform disorder"	"Eu232-1"	"[X]Brief schizophreniform disorder"	"278853003"	"other psychosis"
"368011000006110"	NA	NA	"[X]Brief schizophrenifrm psych"	"Eu232-2"	"[X]Brief schizophrenifrm psych"	"278853003"	"other psychosis"
"369805011"	NA	NA	"Grandiose delusions"	"1BH1"	"Grandiose delusions (finding)"	"247667002"	"other psychosis"
"370451000006110"	NA	NA	"[X]Catatonic schizophrenia"	"Eu202"	"[X]Catatonic schizophrenia"	"191542003"	"schizophrenia"
"370461000006112"	NA	NA	"[X]Catatonic stupor"	"Eu202-1"	"[X]Catatonic stupor"	"191542003"	"schizophrenia"
"370631000006117"	NA	NA	"[X]Cenesthopathic schizophrenia"	"Eu20y-1"	"[X]Cenesthopathic schizophrenia"	"58214004"	"schizophrenia"
"370981000006112"	NA	NA	"[X]Chronic hallucinatory psychosis"	"Eu2y-1"	"[X]Chronic hallucinatory psychosis"	"480111000000107"	"other psychosis"
"371031000006115"	NA	NA	"[X]Chronic undifferentiated schizophrenia"	"Eu205-1"	"[X]Chronic undifferentiated schizophrenia"	"111484002"	"schizophrenia"
"373672018"	NA	NA	"Lithium: blood level"	"44W8-1"	NA	NA	"bipolar"
"3760411000006111"	NA	NA	NA	NA	"Jealous delusion disorder (disorder)"	"77475008"	"other psychosis"
"376251000006112"	NA	NA	"[X]Cyclic schizophrenia"	"Eu252-1"	"[X]Cyclic schizophrenia"	"270901009"	"other psychosis"
"376271000006119"	NA	NA	"[X]Cycloid psychosis"	"Eu230-2"	"[X]Cycloid psychosis"	"307417003"	"other psychosis"
"376281000006116"	NA	NA	"[X]Cycloid psychosis with symptoms of schizophrenia"	"Eu231-2"	"[X]Cycloid psychosis with symptoms of schizophrenia"	"307417003"	"other psychosis"
"376501000006110"	NA	NA	"[X]Delusional dysmorphophobia"	"Eu22y-1"	"[X]Delusional dysmorphophobia"	"231487004"	"other psychosis"
"378051000006119"	NA	NA	"[X]Disorganised schizophrenia"	"Eu201-1"	"[X]Disorganised schizophrenia"	"35252006"	"schizophrenia"
"3788101000006118"	NA	NA	NA	NA	"Chronic undifferentiated schizophrenia with acute exacerbations (disorder)"	"79204003"	"schizophrenia"
"3854401000006113"	"Bipolar 2 disorder"	"^ESCTBI385440"	NA	NA	"Bipolar 2 disorder"	"83225003"	"bipolar"
"3862661000006112"	"Chronic schizophrenia"	"^ESCTCH386266"	NA	NA	"Chronic schizophrenia"	"83746006"	"schizophrenia"
"387071000006117"	NA	NA	"[X]Folie a deux"	"Eu24-1"	"[X]Folie a deux"	"191670008"	"other psychosis"
"3878611000006116"	"\\"Schizophreniform psychosis, depressive type\\""	"^ESCTSC387861"	NA	NA	"\\"Schizophreniform psychosis, depressive type\\""	"84760002"	"other psychosis"
"3886291000006119"	"\\"Bipolar disorder, in remission\\""	"^ESCTBI388629"	NA	NA	"\\"Bipolar disorder, in remission\\""	"85248005"	"bipolar"
"388741000006110"	NA	NA	"[X]Hebephrenic schizophrenia"	"Eu201"	"[X]Hebephrenic schizophrenia"	"35252006"	"schizophrenia"
"389401000006111"	NA	NA	"[X]Hypomania"	"Eu300"	"[X]Hypomania"	"231496004"	"bipolar"
"389641000006110"	NA	NA	"[X]Induced delusional disorder"	"Eu24"	"[X]Induced delusional disorder"	"61831009"	"other psychosis"
"389651000006112"	NA	NA	"[X]Induced paranoid disorder"	"Eu24-2"	"[X]Induced paranoid disorder"	"61831009"	"other psychosis"
"389661000006114"	NA	NA	"[X]Induced psychotic disorder"	"Eu24-3"	"[X]Induced psychotic disorder"	"61831009"	"other psychosis"
"394461000006110"	NA	NA	"[X]Involutional paranoid state"	"Eu22y-2"	"[X]Involutional paranoid state"	"231487004"	"other psychosis"
"3946141000006118"	NA	NA	NA	NA	"Schizophreniform disorder (disorder)"	"88975006"	"other psychosis"
"395021000006111"	NA	NA	"[X]Latent schizophrenia"	"Eu21-3"	"[X]Latent schizophrenia"	"191559008"	"other psychosis"
"395031000006114"	NA	NA	"[X]Latent schizophrenic reaction"	"Eu21-1"	"[X]Latent schizophrenic reaction"	"191559008"	"other psychosis"
"3959871000006110"	NA	NA	NA	NA	"Delusion of parasitosis (finding)"	"89809008"	"other psychosis"
"396071000006119"	NA	NA	"[X]Manic-depressive reaction"	"Eu31-3"	"[X]Manic-depressive reaction"	"13746004"	"bipolar"
"396691000006111"	NA	NA	"[X]Mania NOS"	"Eu30z-1"	"[X]Mania NOS"	"268619003"	"bipolar"
"396701000006111"	NA	NA	"[X]Mania with mood-congruent psychotic symptoms"	"Eu302-1"	"[X]Mania with mood-congruent psychotic symptoms"	"231494001"	"bipolar"
"396711000006114"	NA	NA	"[X]Mania with mood-incongruent psychotic symptoms"	"Eu302-2"	"[X]Mania with mood-incongruent psychotic symptoms"	"231494001"	"bipolar"
"396741000006113"	NA	NA	"[X]Manic episode"	"Eu30"	"[X]Manic episode"	"268619003"	"bipolar"
"396761000006112"	NA	NA	"[X]Manic stupor"	"Eu302-3"	"[X]Manic stupor"	"231494001"	"bipolar"
"396771000006117"	NA	NA	"\\"[X]Manic-depress psychosis,depressd,no psychotic symptoms\\""	"Eu332-3"	NA	NA	"bipolar"
"396781000006119"	NA	NA	"\\"[X]Manic-depress psychosis,depressed type+psychotic symptoms\\""	"Eu333-2"	"\\"[X]Manic-depress psychosis,depressed type+psychotic symptoms\\""	"765176007"	"bipolar"
"396791000006116"	NA	NA	"[X]Manic-depressive illness"	"Eu31-1"	"[X]Manic-depressive illness"	"13746004"	"bipolar"
"396801000006115"	NA	NA	"[X]Manic-depressive psychosis"	"Eu31-2"	"[X]Manic-depressive psychosis"	"13746004"	"bipolar"
"398541000006116"	NA	NA	"[X]Mixed affective episode"	"Eu3y0-1"	"[X]Mixed affective episode"	"192362008"	"bipolar"
"398631000006113"	NA	NA	"[X]Mixed schizophrenic and affective psychosis"	"Eu252-2"	"[X]Mixed schizophrenic and affective psychosis"	"270901009"	"other psychosis"
"401522012"	NA	NA	"On lithium"	"6657"	"On lithium (finding)"	"268514004"	"bipolar"
"401523019"	NA	NA	"Started lithium"	"6657-2"	"On lithium (finding)"	"268514004"	"bipolar"
"401763015"	NA	NA	"Acute schizophrenic episode"	"E104"	"Acute schizophrenic episode"	"268617001"	"schizophrenia"
"401764014"	NA	NA	"Other schizophrenia"	"E10y"	"Other schizophrenia"	"58214004"	"schizophrenia"
"401765010"	NA	NA	"\\"Manic disorder, single episode\\""	"E110"	"\\"Manic disorder, single episode\\""	"268619003"	"bipolar"
"401768012"	NA	NA	"Chronic paranoid psychosis"	"E121"	"Chronic paranoid psychosis"	"268622001"	"other psychosis"
"401770015"	NA	NA	"Acute paranoid reaction"	"E133"	"Acute paranoid reaction"	"268624000"	"other psychosis"
"401771016"	NA	NA	"Non-organic psychosis NOS"	"E1z"	"Non-organic psychosis NOS"	"191525009"	"other psychosis"
"401855010"	NA	NA	"[X]Other schizophrenia"	"Eu20y"	"[X]Other schizophrenia"	"58214004"	"schizophrenia"
"401856011"	NA	NA	"[X]Schizotypal disorder"	"Eu21"	"[X]Schizotypal disorder"	"31027006"	"other psychosis"
"401857019"	NA	NA	"[X]Other persistent delusional disorders"	"Eu22y"	"[X]Other persistent delusional disorders"	"231487004"	"other psychosis"
"401859016"	NA	NA	"[X]Other acute predominantly delusional psychotic disorders"	"Eu233"	"[X]Other acute predominantly delusional psychotic disorders"	"231489001"	"other psychosis"
"401860014"	NA	NA	"\\"[X]Acute and transient psychotic disorder, unspecified\\""	"Eu23z"	"\\"[X]Acute and transient psychotic disorder, unspecified\\""	"231489001"	"other psychosis"
"401862018"	NA	NA	"[X]Unspecified nonorganic psychosis"	"Eu2z"	"[X]Unspecified nonorganic psychosis"	"191525009"	"other psychosis"
"401863011"	NA	NA	"[X]Mania with psychotic symptoms"	"Eu302"	"[X]Mania with psychotic symptoms"	"231494001"	"bipolar"
"401864017"	NA	NA	"\\"[X]Manic episode, unspecified\\""	"Eu30z"	"\\"[X]Manic episode, unspecified\\""	"268619003"	"bipolar"
"401865016"	NA	NA	"SMI"	"Eu31y"	"[X]Other bipolar affective disorders"	"13746004"	"bipolar"
"402504012"	NA	NA	"\\"Psychotic condition, insight present\\""	"285-1"	NA	NA	"other psychosis"
"403611000006116"	NA	NA	"[X]Oneirophrenia"	"Eu232-3"	"[X]Oneirophrenia"	"278853003"	"other psychosis"
"404498017"	NA	NA	"Serum lithium level"	"44W8"	NA	NA	"bipolar"
"411890010"	NA	NA	"Lithium monitoring"	"6657-1"	NA	NA	"bipolar"
"412201000006113"	NA	NA	"[X]Other nonorganic psychotic disorders"	"Eu2y"	"[X]Other nonorganic psychotic disorders"	"191525009"	"other psychosis"
"418181000006110"	NA	NA	"[X]Paranoia querulans"	"Eu22y-3"	"[X]Paranoia querulans"	"231487004"	"other psychosis"
"418221000006118"	NA	NA	"[X]Paranoid schizophrenia"	"Eu200"	"[X]Paranoid schizophrenia"	"64905009"	"schizophrenia"
"418231000006115"	NA	NA	"[X]Paranoid state"	"Eu220-2"	"[X]Paranoid state"	"191667009"	"other psychosis"
"418251000006110"	NA	NA	"[X]Paraphrenia - late"	"Eu220-3"	"[X]Paraphrenia - late"	"38295006"	"other psychosis"
"418261000006112"	NA	NA	"[X]Paraphrenic schizophrenia"	"Eu200-1"	"[X]Paraphrenic schizophrenia"	"64905009"	"schizophrenia"
"4196151000006111"	"Subchronic schizophrenia with acute exacerbations"	"^ESCTSU419615"	NA	NA	"Subchronic schizophrenia with acute exacerbations"	"111482003"	"schizophrenia"
"4196171000006118"	"\\"Schizophrenia, catatonic, in remission\\""	"^ESCTSC419617"	NA	NA	"\\"Schizophrenia, catatonic, in remission\\""	"111483008"	"schizophrenia"
"4196201000006119"	NA	NA	NA	NA	"Mixed bipolar I disorder in full remission (disorder)"	"111485001"	"bipolar"
"419861000006117"	NA	NA	"[X]Persistent delusional disorders"	"Eu22"	"[X]Persistent delusional disorders"	"231487004"	"other psychosis"
"423041000006119"	NA	NA	"[X]Post-schizophrenic depression"	"Eu204"	"[X]Post-schizophrenic depression"	"231485007"	"schizophrenia"
"423271000006116"	NA	NA	"[X]Prepsychotic schizophrenia"	"Eu21-4"	"[X]Prepsychotic schizophrenia"	"247804008"	"other psychosis"
"423471000006117"	NA	NA	"[X]Prodromal schizophrenia"	"Eu21-5"	"[X]Prodromal schizophrenia"	"247804008"	"other psychosis"
"423731000006114"	NA	NA	"[X]Pseudoneurotic schizophrenia"	"Eu21-6"	"[X]Pseudoneurotic schizophrenia"	"31027006"	"other psychosis"
"423741000006116"	NA	NA	"[X]Pseudopsychopathic schizophrenia"	"Eu21-7"	"[X]Pseudopsychopathic schizophrenia"	"31027006"	"other psychosis"
"424071000006112"	NA	NA	"[X]Psychogenic paranoid psychosis"	"Eu233-2"	"[X]Psychogenic paranoid psychosis"	"191680007"	"other psychosis"
"424231000006116"	NA	NA	"[X]Psychosis NOS"	"Eu2z-1"	"[X]Psychosis NOS"	"69322001"	"other psychosis"
"424511000006112"	NA	NA	"[X]Reactive psychosis"	"Eu23z-2"	"[X]Reactive psychosis"	"231437006"	"other psychosis"
"424661000006111"	NA	NA	"[X]Recurrent manic episodes"	"Eu31y-2"	"[X]Recurrent manic episodes"	"191590005"	"bipolar"
"424841000006113"	NA	NA	"[X]Residual schizophrenia"	"Eu205"	"[X]Residual schizophrenia"	"26025008"	"schizophrenia"
"424931000006113"	NA	NA	"[X]Restzustand schizophrenic"	"Eu205-2"	"[X]Restzustand schizophrenic"	"26025008"	"schizophrenia"
"425501000006113"	NA	NA	"\\"[X]Schizoaffective disorder, depressive type\\""	"Eu251"	"\\"[X]Schizoaffective disorder, depressive type\\""	"84760002"	"other psychosis"
"425511000006111"	NA	NA	"\\"[X]Schizoaffective disorder, manic type\\""	"Eu250"	"\\"[X]Schizoaffective disorder, manic type\\""	"271428004"	"other psychosis"
"425521000006115"	NA	NA	"\\"[X]Schizoaffective disorder, mixed type\\""	"Eu252"	"\\"[X]Schizoaffective disorder, mixed type\\""	"270901009"	"other psychosis"
"425541000006110"	NA	NA	"[X]Schizoaffective disorders"	"Eu25"	"[X]Schizoaffective disorders"	"68890003"	"other psychosis"
"425551000006112"	NA	NA	"[X]Schizoaffective psychosis NOS"	"Eu25z-1"	"[X]Schizoaffective psychosis NOS"	"68890003"	"other psychosis"
"425561000006114"	NA	NA	"\\"[X]Schizoaffective psychosis, depressive type\\""	"Eu251-1"	"\\"[X]Schizoaffective psychosis, depressive type\\""	"84760002"	"other psychosis"
"425571000006119"	NA	NA	"\\"[X]Schizoaffective psychosis, manic type\\""	"Eu250-1"	"\\"[X]Schizoaffective psychosis, manic type\\""	"271428004"	"other psychosis"
"425601000006114"	NA	NA	"[X]Schizophrenia"	"Eu20"	"[X]Schizophrenia"	"58214004"	"schizophrenia"
"425641000006111"	NA	NA	"[X]Schizophrenic catalepsy"	"Eu202-2"	"[X]Schizophrenic catalepsy"	"191542003"	"schizophrenia"
"425651000006113"	NA	NA	"[X]Schizophrenic catatonia"	"Eu202-3"	"[X]Schizophrenic catatonia"	"191542003"	"schizophrenia"
"425671000006115"	NA	NA	"[X]Schizophrenic reaction"	"Eu232-4"	"[X]Schizophrenic reaction"	"278853003"	"other psychosis"
"425681000006117"	NA	NA	"[X]Schizophreniform disord NOS"	"Eu20y-2"	"[X]Schizophreniform disord NOS"	"58214004"	"schizophrenia"
"425691000006119"	NA	NA	"\\"[X]Schizophreniform psychosis, depressive type\\""	"Eu251-2"	"\\"[X]Schizophreniform psychosis, depressive type\\""	"84760002"	"other psychosis"
"425701000006119"	NA	NA	"\\"[X]Schizophreniform psychosis, manic type\\""	"Eu250-2"	"\\"[X]Schizophreniform psychosis, manic type\\""	"271428004"	"other psychosis"
"425711000006116"	NA	NA	"[X]Schizophrenifrm psychos NOS"	"Eu20y-3"	"[X]Schizophrenifrm psychos NOS"	"58214004"	"schizophrenia"
"425731000006110"	NA	NA	"[X]Schizotypal personality disorder"	"Eu21-8"	"[X]Schizotypal personality disorder"	"31027006"	"other psychosis"
"425921000006114"	NA	NA	"[X]Sensitiver Beziehungswahn"	"Eu220-4"	"[X]Sensitiver Beziehungswahn"	"41189006"	"other psychosis"
"426881000006111"	NA	NA	"[X]Simple schizophrenia"	"Eu206"	"[X]Simple schizophrenia"	"191527001"	"schizophrenia"
"428451000006119"	NA	NA	"[X]Symptomatic psychosis NOS"	"Eu0z-2"	"[X]Symptomatic psychosis NOS"	"280427006"	"other psychosis"
"43595011"	NA	NA	"Residual schizophrenia"	"E106"	"Residual schizophrenia"	"26025008"	"schizophrenia"
"44335019"	NA	NA	"Paraphrenia"	"E122"	"Paraphrenia"	"26472000"	"other psychosis"
"450785011"	NA	NA	"Oneirophrenia"	"E104-1"	"Oneirophrenia"	"307504004"	"other psychosis"
"4539931000006112"	NA	NA	NA	NA	"History of schizophrenia"	"161468000"	"schizophrenia"
"456731000006115"	NA	NA	"Acute exacerbation of chronic schizo-affective schizophrenia"	"E1074"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"191572009"	"other psychosis"
"456801000006115"	NA	NA	"Acute exacerbation subchronic schizo-affective schizophrenia"	"E1073"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"191571002"	"other psychosis"
"4569010"	NA	NA	"Delusion"	"1BH-1"	"Delusions (finding)"	"2073000"	"other psychosis"
"4763641000006116"	"Acute exacerbation of chronic disorganised schizophrenia"	"^ESCTAC476364"	NA	NA	"Acute exacerbation of chronic disorganised schizophrenia"	"191539009"	"schizophrenia"
"4763661000006117"	"Acute exacerbation of chronic disorganized schizophrenia"	"^ESCTAC476366"	NA	NA	"Acute exacerbation of chronic disorganized schizophrenia"	"191539009"	"schizophrenia"
"4763691000006113"	"\\"Schizophrenia, catatonic\\""	"^ESCTSC476369"	NA	NA	"\\"Schizophrenia, catatonic\\""	"191542003"	"schizophrenia"
"4763701000006113"	"Schizophrenic flexibilatis cerea"	"^ESCTSC476370"	NA	NA	"Schizophrenic flexibilatis cerea"	"191542003"	"schizophrenia"
"4763731000006117"	"Subchronic catatonic schizophrenia with acute exacerbation"	"^ESCTSU476373"	NA	NA	"Subchronic catatonic schizophrenia with acute exacerbation"	"191547009"	"schizophrenia"
"4763751000006112"	"Chronic catatonic schizophrenia with acute exacerbation"	"^ESCTCH476375"	NA	NA	"Chronic catatonic schizophrenia with acute exacerbation"	"191548004"	"schizophrenia"
"4763771000006119"	"Subchronic paranoid schizophrenia with acute exacerbation"	"^ESCTSU476377"	NA	NA	"Subchronic paranoid schizophrenia with acute exacerbation"	"191554003"	"schizophrenia"
"4763791000006118"	"Chronic paranoid schizophrenia with acute exacerbation"	"^ESCTCH476379"	NA	NA	"Chronic paranoid schizophrenia with acute exacerbation"	"191555002"	"schizophrenia"
"4763861000006116"	"\\"Latent schizophrenia, in remission\\""	"^ESCTLA476386"	NA	NA	"\\"Latent schizophrenia, in remission\\""	"191565008"	"other psychosis"
"4763891000006112"	"Subchronic schizoaffective schizophrenia"	"^ESCTSU476389"	NA	NA	"Subchronic schizoaffective schizophrenia"	"191569002"	"other psychosis"
"4763911000006114"	"Acute exacerbation of subchronic schizoaffective schizophrenia"	"^ESCTAC476391"	NA	NA	"Acute exacerbation of subchronic schizoaffective schizophrenia"	"191571002"	"other psychosis"
"4763921000006118"	"Acute exacerbation of chronic schizoaffective schizophrenia"	"^ESCTAC476392"	NA	NA	"Acute exacerbation of chronic schizoaffective schizophrenia"	"191572009"	"other psychosis"
"4763941000006113"	"\\"Schizoaffective schizophrenia, in remission\\""	"^ESCTSC476394"	NA	NA	"\\"Schizoaffective schizophrenia, in remission\\""	"191574005"	"other psychosis"
"4763951000006110"	"\\"Schizophrenia, schizoaffective, in remission\\""	"^ESCTSC476395"	NA	NA	"\\"Schizophrenia, schizoaffective, in remission\\""	"191574005"	"other psychosis"
"4764391000006115"	NA	NA	NA	NA	"Paranoia"	"191667009"	"other psychosis"
"4767311000006117"	"\\"Bipolar affective disorder, current episode mixed\\""	"^ESCTBI476731"	NA	NA	"\\"Bipolar affective disorder, current episode mixed\\""	"192362008"	"bipolar"
"480834016"	NA	NA	"Delusions"	"1BH"	"Delusions (finding)"	"2073000"	"other psychosis"
"492761000000114"	NA	NA	"Bipolar affective disorder resolved"	"212V"	NA	NA	"bipolar"
"492821000000113"	NA	NA	"Schizophrenia resolved"	"212W"	NA	NA	"schizophrenia"
"492881000000114"	NA	NA	"Psychosis resolved"	"212X"	NA	NA	"other psychosis"
"492910018"	NA	NA	"Ideas of reference"	"1BH2"	"Ideas of reference"	"41189006"	"other psychosis"
"4941461000006118"	NA	NA	NA	NA	"Paranoid delusion (finding)"	"225452001"	"other psychosis"
"5023391000006116"	"Reactive psychosis"	"^ESCTRE502339"	NA	NA	"Reactive psychosis"	"231437006"	"other psychosis"
"5023901000006110"	"Post-schizophrenic depression"	"^ESCTPO502390"	NA	NA	"Post-schizophrenic depression"	"231485007"	"schizophrenia"
"5023961000006111"	"Manic"	"^ESCTMA502396"	NA	NA	"Manic"	"231494001"	"bipolar"
"5128631000006110"	NA	NA	NA	NA	"Cutaneous monosymptomatic delusional psychosis (disorder)"	"238972008"	"other psychosis"
"5128641000006117"	NA	NA	NA	NA	"Delusions of parasitosis (disorder)"	"238973003"	"other psychosis"
"5128651000006115"	NA	NA	NA	NA	"Delusions of infestation (disorder)"	"238974009"	"other psychosis"
"5128691000006114"	NA	NA	NA	NA	"Delusional hyperhidrosis (disorder)"	"238977002"	"other psychosis"
"513691000006116"	NA	NA	"\\"Bipolar affect disord, currently manic, severe, no psychosis\\""	"E1143"	"\\"Bipolar affect disord, currently manic, severe, no psychosis\\""	"162004"	"bipolar"
"513701000006116"	NA	NA	"\\"Bipolar affect disord, currently manic,severe with psychosis\\""	"E1144"	"\\"Bipolar affect disord, currently manic,severe with psychosis\\""	"191623007"	"bipolar"
"513711000006118"	NA	NA	"\\"Bipolar affect disord, now depressed, part/unspec remission\\""	"E1155"	"\\"Bipolar affect disord, now depressed, part/unspec remission\\""	"49512000"	"bipolar"
"513721000006114"	NA	NA	"\\"Bipolar affect disord, now depressed, severe with psychosis\\""	"E1154"	"\\"Bipolar affect disord, now depressed, severe with psychosis\\""	"765176007"	"bipolar"
