"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antipsychotic"
"1150341000033113"	"Quetiapine Fumarate  Tablets (starter pack)  6 x 25 mg, 2 x 100 mg"	"Tablet"	"Oral"	"Quetiapine"	NA	NA	"Quetiapine"
"1158141000033113"	"Redeptin  Injection  2 mg/ ml"	"Solution for injection"	"Intramuscular"	"Fluspirilene"	NA	NA	"Fluspirilene"
"1161241000033115"	"Remoxipride Hydrochloride  M/R capsules  150 mg"	"Capsule"	"Oral"	"Remoxipride"	NA	NA	"Remoxipride"
"1161341000033113"	"Remoxipride Hydrochloride  M/R capsules  300 mg"	"Capsule"	"Oral"	"Remoxipride"	NA	NA	"Remoxipride"
"1173841000033113"	"Risperdal 1mg/ml oral solution"	"Oral solution"	"Oral"	"Risperidone"	"1.000mg/1.000ml"	NA	"Risperidone"
"1173941000033117"	"Risperidone 1mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"Risperidone"	"1.000mg/1.000ml"	"04020100"	"Risperidone"
"1176241000033115"	"Risperdal 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"1.000mg"	NA	"Risperidone"
"1176341000033113"	"Risperdal 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"2.000mg"	NA	"Risperidone"
"1176441000033119"	"Risperdal 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"3.000mg"	NA	"Risperidone"
"1176541000033118"	"Risperdal 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"4.000mg"	NA	"Risperidone"
"1176641000033117"	"Risperidone 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"1.000mg"	"04020100"	"Risperidone"
"1176741000033114"	"Risperidone 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"2.000mg"	"04020100"	"Risperidone"
"1176841000033116"	"Risperidone 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"3.000mg"	"04020100"	"Risperidone"
"1176941000033112"	"Risperidone 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"4.000mg"	"04020100"	"Risperidone"
"1177641000033119"	"Risperdal 6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"6.000mg"	NA	"Risperidone"
"1177741000033111"	"Risperidone 6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"6.000mg"	"04020100"	"Risperidone"
"1182641000033114"	"Roxiam  M/R capsules  150 mg"	"Capsule"	"Oral"	"Remoxipride"	NA	NA	"Remoxipride"
"1182741000033117"	"Roxiam  M/R capsules  300 mg"	"Capsule"	"Oral"	"Remoxipride"	NA	NA	"Remoxipride"
"1268341000033116"	"Serenace 500microgram capsules"	"Capsule/ Oral capsule"	"Oral"	"Haloperidol"	"500.000microgram"	NA	"Haloperidol"
"1269641000033115"	"Serenace  Elixir  2 mg/5 ml"	NA	NA	"Haloperidol"	NA	NA	"Haloperidol"
"1269741000033112"	"Serenace 2mg/ml liquid"	"Oral solution"	"Oral"	"Haloperidol"	"2.000mg/1.000ml"	NA	"Haloperidol"
"1271541000033112"	"Serenace 20mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Haloperidol"	"10.000mg/1.000ml"	NA	"Haloperidol"
"1271641000033113"	"Serenace 5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Haloperidol"	"5.000mg/1.000ml"	NA	"Haloperidol"
"1275941000033115"	"Serenace 1.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"1.500mg"	NA	"Haloperidol"
"1276041000033113"	"Serenace 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"10.000mg"	NA	"Haloperidol"
"1276141000033112"	"Serenace 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"20.000mg"	NA	"Haloperidol"
"1276241000033117"	"Serenace 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Haloperidol"	"5.000mg"	NA	"Haloperidol"
"1276841000033118"	"Serdolect 12mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"12.000mg"	NA	"Sertindole"
"1276941000033114"	"Serdolect 16mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"16.000mg"	NA	"Sertindole"
"1277041000033110"	"Serdolect 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"20.000mg"	NA	"Sertindole"
"1277141000033114"	"Serdolect 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"4.000mg"	NA	"Sertindole"
"1277241000033119"	"Sertindole 12mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"12.000mg"	"04020100"	"Sertindole"
"1277341000033112"	"Sertindole 16mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"16.000mg"	"04020100"	"Sertindole"
"1277441000033118"	"Sertindole 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"20.000mg"	"04020100"	"Sertindole"
"1277541000033117"	"Sertindole 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertindole"	"4.000mg"	"04020100"	"Sertindole"
"1277641000033116"	"Seroquel 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"100.000mg"	NA	"Quetiapine"
"1277741000033113"	"Seroquel 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"200.000mg"	NA	"Quetiapine"
"1277841000033115"	"Seroquel 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"25.000mg"	NA	"Quetiapine"
"1277941000033111"	"Seroquel  Tablets (starter pack)  6 x 25 mg, 2 x 100 mg"	"Tablet"	"Oral"	"Quetiapine"	NA	NA	"Quetiapine"
"1366641000033118"	"Solian 200 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"200.000mg"	NA	"Amisulpride"
"1366741000033110"	"Solian 50 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"50.000mg"	NA	"Amisulpride"
"1370441000033112"	"Sparine  Injection  50 mg/ml"	"Solution for injection"	"Intramuscular"	"Promazine"	NA	NA	"Promazine"
"1372741000033116"	"Sparine  Suspension  50 mg/5 ml"	NA	NA	"Promazine"	NA	NA	"Promazine"
"1373141000033110"	"Sparine  Tablets  100 mg"	"Tablet"	"Oral"	"Promazine"	NA	NA	"Promazine"
"1373241000033115"	"Sparine  Tablets  25 mg"	"Tablet"	"Oral"	"Promazine"	NA	NA	"Promazine"
"1373341000033113"	"Sparine  Tablets  50 mg"	"Tablet"	"Oral"	"Promazine"	NA	NA	"Promazine"
"1379041000033113"	"Stemetil  Injection  25 mg/2 ml"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	NA	NA	"Prochlorperazine"
"1379241000033117"	"Stelazine  Injection  1 mg/ml"	"Solution for injection"	"Intramuscular"	"Trifluoperazine"	NA	NA	"Trifluoperazine"
"1379641000033119"	"Stemetil  Injection  12.5 mg/ml"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	NA	NA	"Prochlorperazine"
"1381441000033113"	"Stelazine  Liquid  10mg/ml"	NA	NA	"Trifluoperazine"	NA	NA	"Trifluoperazine"
"1384241000033110"	"Stemetil Eff 5mg sachets"	"Effervescent granules"	"Oral"	"Prochlorperazine"	"5.000mg"	NA	"Prochlorperazine"
"1385341000033116"	"Stelazine 10mg Spansules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"10.000mg"	NA	"Trifluoperazine"
"1385441000033110"	"Stelazine 15mg Spansules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"15.000mg"	NA	"Trifluoperazine"
"1385541000033111"	"Stelazine 2mg Spansules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"2.000mg"	NA	"Trifluoperazine"
"1385741000033115"	"Stemetil 25mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"25.000mg"	NA	"Prochlorperazine"
"1385841000033113"	"Stemetil 5mg suppositories"	"Suppository"	"Rectal"	"Prochlorperazine"	"5.000mg"	NA	"Prochlorperazine"
"1385941000033117"	"Stelazine 1mg/5ml syrup"	"Oral solution"	"Oral"	"Trifluoperazine"	"200.000microgram/1.000ml"	NA	"Trifluoperazine"
"1386041000033110"	"Stemetil 5mg/5ml syrup"	"Oral solution"	"Oral"	"Prochlorperazine"	"1.000mg/1.000ml"	NA	"Prochlorperazine"
"1386341000033112"	"Stelazine 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trifluoperazine"	"1.000mg"	NA	"Trifluoperazine"
"1386441000033118"	"Stelazine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trifluoperazine"	"5.000mg"	NA	"Trifluoperazine"
"1386541000033117"	"Stemetil 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prochlorperazine"	"25.000mg"	NA	"Prochlorperazine"
"1386641000033116"	"Stemetil 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prochlorperazine"	"5.000mg"	NA	"Prochlorperazine"
"1396441000033117"	"Sulpiride 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"200.000mg"	"04020100"	"Sulpiride"
"1396541000033116"	"Sulpitil 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"200.000mg"	NA	"Sulpiride"
"1397641000033117"	"Sulpiride 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sulpiride"	"400.000mg"	"04020100"	"Sulpiride"
"1432341000033111"	"Thioridazine 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Thioridazine"	"20.000mg/1.000ml"	"04020100"	"Thioridazine"
"1432441000033117"	"Thioridazine 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Thioridazine"	"5.000mg/1.000ml"	"04020100"	"Thioridazine"
"1432541000033116"	"Thioridazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Thioridazine"	"5.000mg/1.000ml"	"04020100"	"Thioridazine"
"1432741000033112"	"Thioridazine  Syrup  12.5mg/5 ml"	"Oral solution"	"Oral"	"Thioridazine"	NA	NA	"Thioridazine"
"1433641000033111"	"Thioridazine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"10.000mg"	"04020100"	"Thioridazine"
"1433741000033119"	"Thioridazine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"100.000mg"	"04020100"	"Thioridazine"
"1433841000033112"	"Thioridazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"25.000mg"	"04020100"	"Thioridazine"
"1433941000033116"	"Thioridazine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Thioridazine"	"50.000mg"	"04020100"	"Thioridazine"
"1459841000033114"	"Trifluoperazine  Injection  1 mg/ml"	"Solution for injection"	"Intramuscular"	"Trifluoperazine"	NA	NA	"Trifluoperazine"
"1462041000033119"	"Trifluoperazine  Liquid  10mg/ml"	NA	NA	"Trifluoperazine"	NA	NA	"Trifluoperazine"
"1464141000033113"	"Trifluoperazine 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trifluoperazine"	"1.000mg/1.000ml"	"04020100"	"Trifluoperazine"
"1466941000033117"	"Trifluoperazine 10mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"10.000mg"	"04020100"	"Trifluoperazine"
"1467041000033116"	"Trifluoperazine 15mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"15.000mg"	"04020100"	"Trifluoperazine"
"1467141000033117"	"Trifluoperazine 2mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"2.000mg"	"04020100"	"Trifluoperazine"
"1467641000033110"	"Trifluoperazine 1mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trifluoperazine"	"200.000microgram/1.000ml"	"04020100"	"Trifluoperazine"
"1470641000033116"	"Trifluoperazine 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trifluoperazine"	"1.000mg"	"04020100"	"Trifluoperazine"
"1470741000033113"	"Trifluoperazine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trifluoperazine"	"5.000mg"	"04020100"	"Trifluoperazine"
"1471641000033112"	"Triperidol  Tablets  1 mg"	"Tablet"	"Oral"	"Trifluperidol"	NA	NA	"Trifluperidol"
"1471741000033115"	"Triperidol  Tablets  500 mcg"	"Tablet"	"Oral"	"Trifluperidol"	NA	NA	"Trifluperidol"
"1473341000033117"	"Triptafen tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"25.000mg + 2.000mg"	NA	"Perphenazine"
"1473441000033111"	"Triptafen-M tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perphenazine"	"10.000mg + 2.000mg"	NA	"Perphenazine"
"1473741000033116"	"Trifluperidol  Tablets  1 mg"	"Tablet"	"Oral"	"Trifluperidol"	NA	NA	"Trifluperidol"
"1474541000033114"	"Trifluperidol  Tablets  500 mcg"	"Tablet"	"Oral"	"Trifluperidol"	NA	NA	"Trifluperidol"
"1512741000033113"	"Nozinan 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Levomepromazine"	"25.000mg"	NA	"Levomepromazine"
"1563441000033114"	"Zuclopenthixol acetate 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	"04020100"	"Zuclopenthixol"
"1563541000033110"	"Zuclopenthixol acetate 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"50.000mg/1.000ml"	"04020100"	"Zuclopenthixol"
"1563641000033111"	"Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"200.000mg/1.000ml"	"04020200"	"Zuclopenthixol"
"1563741000033119"	"Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Zuclopenthixol"	"500.000mg/1.000ml"	"04020200"	"Zuclopenthixol"
"1564041000033119"	"Zuclopenthixol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"10.000mg"	"04020100"	"Zuclopenthixol"
"1564141000033115"	"Zuclopenthixol 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"2.000mg"	"04020100"	"Zuclopenthixol"
"1564241000033110"	"Zuclopenthixol 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zuclopenthixol"	"25.000mg"	"04020100"	"Zuclopenthixol"
"1565141000033119"	"Zyprexa 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"10.000mg"	NA	"Olanzapine"
"1565241000033114"	"Zyprexa 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"5.000mg"	NA	"Olanzapine"
"1565341000033116"	"Zyprexa 7.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"7.500mg"	NA	"Olanzapine"
"1661141000033114"	"Olanzapine 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"2.500mg"	"04020100"	"Olanzapine"
"1698441000033110"	"Sulpiride 200mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Sulpiride"	"40.000mg/1.000ml"	"04020100"	"Sulpiride"
"1713941000033118"	"Zyprexa 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"2.500mg"	NA	"Olanzapine"
"1719341000033115"	"Chlorpromazine 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine"	"20.000mg/1.000ml"	"04020100"	"Chlorpromazine"
"1765741000033116"	"Zoleptil 100 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zotepine"	"100.000mg"	NA	"Zotepine"
"1765841000033114"	"Zoleptil 25 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zotepine"	"25.000mg"	NA	"Zotepine"
"1765941000033118"	"Zoleptil 50 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zotepine"	"50.000mg"	NA	"Zotepine"
"1766041000033111"	"Zotepine 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zotepine"	"100.000mg"	"04020100"	"Zotepine"
"1766141000033110"	"Zotepine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zotepine"	"25.000mg"	"04020100"	"Zotepine"
"1766241000033115"	"Zotepine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Zotepine"	"50.000mg"	"04020100"	"Zotepine"
"1832841000033113"	"Quetiapine Fumarate  Tablets (starter pack)  6x25 mg, 2x100 mg, 2x150 mg"	"Tablet"	"Oral"	"Quetiapine"	NA	NA	"Quetiapine"
"1832941000033117"	"Seroquel  Tablets (starter pack)  6x25 mg, 2x100 mg, 2x150 mg"	"Tablet"	"Oral"	"Quetiapine"	NA	NA	"Quetiapine"
"1844641000033118"	"Quetiapine 150mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"150.000mg"	"04020100"	"Quetiapine"
"1844741000033110"	"Seroquel 150mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"150.000mg"	NA	"Quetiapine"
"2077741000033115"	"Olanzapine 5mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"5.000mg"	"04020100"	"Olanzapine"
"2077841000033113"	"Olanzapine 10mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"10.000mg"	"04020100"	"Olanzapine"
"2077941000033117"	"Zyprexa 5mg Velotabs"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"5.000mg"	NA	"Olanzapine"
"2078041000033119"	"Zyprexa 10mg Velotabs"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"10.000mg"	NA	"Olanzapine"
"2188141000033115"	"Risperdal 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"500.000microgram"	NA	"Risperidone"
"2188241000033110"	"Risperidone 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Risperidone"	"500.000microgram"	"04020100"	"Risperidone"
"2216641000033113"	"Amisulpride 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"400.000mg"	"04020100"	"Amisulpride"
"2216741000033116"	"Solian 400 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"400.000mg"	NA	"Amisulpride"
"2640141000033112"	"Promazine 50mg/5ml oral solution"	"Oral solution"	"Oral"	"Promazine"	"10.000mg/1.000ml"	"04020100"	"Promazine"
"2644841000033114"	"Amisulpride 100mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"Amisulpride"	"100.000mg/1.000ml"	"04020100"	"Amisulpride"
"2644941000033118"	"Solian 100mg/ml oral solution"	"Oral solution"	"Oral"	"Amisulpride"	"100.000mg/1.000ml"	NA	"Amisulpride"
"2653841000033110"	"Levinan 6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Levomepromazine"	"6.000mg"	NA	"Levomepromazine"
"2658941000033110"	"Sulpor 200mg/5ml oral solution"	"Oral solution"	"Oral"	"Sulpiride"	"40.000mg/1.000ml"	NA	"Sulpiride"
"2730641000033111"	"Promazine Hydrochloride  Syrup  50 mg/5 ml"	"Oral solution"	"Oral"	"Promazine"	NA	NA	"Promazine"
"2758141000033116"	"Haloperidol 200micrograms/ml oral solution sugar free"	"Oral solution"	"Oral"	"Haloperidol"	"200.000microgram/1.000ml"	"04020100"	"Haloperidol"
"2759641000033117"	"Olanzapine 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"15.000mg"	"04020100"	"Olanzapine"
"2759741000033114"	"Olanzapine 15mg oral lyophilisates sugar free"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"15.000mg"	"04020100"	"Olanzapine"
"2759841000033116"	"Zyprexa 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Olanzapine"	"15.000mg"	NA	"Olanzapine"
"2759941000033112"	"Zyprexa 15mg Velotabs"	"Oral lyophilisate"	"Oral"	"Olanzapine"	"15.000mg"	NA	"Olanzapine"
"2779841000033118"	"Risperdal Consta 25mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for suspension for injection/ Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"25.000mg"	NA	"Risperidone"
"2779941000033114"	"Risperdal Consta 37.5mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for suspension for injection/ Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"37.500mg"	NA	"Risperidone"
"2780041000033113"	"Risperdal Consta 50mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for suspension for injection/ Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"50.000mg"	NA	"Risperidone"
"2780141000033112"	"Risperidone 25mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for suspension for injection/ Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"25.000mg"	"04020200"	"Risperidone"
"2780241000033117"	"Risperidone 37.5mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for suspension for injection/ Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"37.500mg"	"04020200"	"Risperidone"
"2780341000033110"	"Risperidone 50mg powder and solvent for prolonged-release suspension for injection vials"	"Powder and solvent for suspension for injection/ Powder and solvent for prolonged-release suspension for inj"	"Intramuscular"	"Risperidone"	"50.000mg"	"04020200"	"Risperidone"
"2835141000033114"	"Amisulpride 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"100.000mg"	"04020100"	"Amisulpride"
"2835241000033119"	"Solian 100 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amisulpride"	"100.000mg"	NA	"Amisulpride"
"2868841000033116"	"Risperidone 1mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Risperidone"	"1.000mg"	"04020100"	"Risperidone"
"2868941000033112"	"Risperidone 2mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Risperidone"	"2.000mg"	"04020100"	"Risperidone"
"2869041000033115"	"Risperdal Quicklet 1mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Risperidone"	"1.000mg"	NA	"Risperidone"
"2869141000033116"	"Risperdal Quicklet 2mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Risperidone"	"2.000mg"	NA	"Risperidone"
"2929741000033118"	"Haloperidol 5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Haloperidol"	"5.000mg/1.000ml"	"04020100"	"Haloperidol"
"2929841000033111"	"Haldol 5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Haloperidol"	"5.000mg/1.000ml"	NA	"Haloperidol"
"2944041000033118"	"Stemetil 12.5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	"12.500mg/1.000ml"	NA	"Prochlorperazine"
"2969141000033110"	"Buccastem M 3mg tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine"	"3.000mg"	NA	"Prochlorperazine"
"2975841000033113"	"Quetiapine 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"300.000mg"	"04020100"	"Quetiapine"
"2975941000033117"	"Seroquel 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quetiapine"	"300.000mg"	NA	"Quetiapine"
"3030841000033118"	"Olanzapine 10mg powder for solution for injection vials"	"Powder for solution for injection"	"Intramuscular"	"Olanzapine"	"10.000mg"	"04020100"	"Olanzapine"
"3063441000033119"	"Levomepromazine 25mg/1ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Levomepromazine"	"25.000mg/1.000ml"	"04020100"	"Levomepromazine"
"3063541000033118"	"Levomepromazine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Levomepromazine"	"25.000mg"	"04020100"	"Levomepromazine"
"3063641000033117"	"Levomepromazine 6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Levomepromazine"	"6.000mg"	"04020100"	"Levomepromazine"
"3090541000033111"	"Flupentixol 50mg/0.5ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	"04020200"	"Flupentixol"
"3090641000033112"	"Flupentixol 100mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"100.000mg/1.000ml"	"04020200"	"Flupentixol"
"3090741000033115"	"Flupentixol 200mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"200.000mg/1.000ml"	"04020200"	"Flupentixol"
"3090841000033113"	"Flupentixol 20mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	"04020200"	"Flupentixol"
"3090941000033117"	"Flupentixol 40mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20.000mg/1.000ml"	"04020200"	"Flupentixol"
"3091041000033110"	"Flupentixol 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"1.000mg"	"04030400"	"Flupentixol"
"3091141000033114"	"Flupentixol 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"500.000microgram"	"04030400"	"Flupentixol"
"3091241000033119"	"Flupentixol 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Flupentixol"	"3.000mg"	"04020100"	"Flupentixol"
"3103841000033110"	"Pipotiazine 100mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50.000mg/1.000ml"	"04020200"	"Pipotiazine"
"3104041000033117"	"Pipotiazine 50mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Pipotiazine"	"50.000mg/1.000ml"	"04020200"	"Pipotiazine"
"3108841000033119"	"Prochlorperazine 5mg effervescent granules sachets sugar free"	"Effervescent granules"	"Oral"	"Prochlorperazine"	"5.000mg"	"04060000"	"Prochlorperazine"
"3108941000033110"	"Prochlorperazine 12.5mg/1ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Prochlorperazine"	"12.500mg/1.000ml"	"04060000"	"Prochlorperazine"
"3109141000033119"	"Prochlorperazine 5mg/5ml oral solution"	"Oral solution"	"Oral"	"Prochlorperazine"	"1.000mg/1.000ml"	"04060000"	"Prochlorperazine"
"3137541000033113"	"Aripiprazole 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aripiprazole"	"10.000mg"	"04020100"	"Aripiprazole"
"3137641000033114"	"Aripiprazole 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aripiprazole"	"15.000mg"	"04020100"	"Aripiprazole"
"3137741000033117"	"Aripiprazole 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aripiprazole"	"30.000mg"	"04020100"	"Aripiprazole"
"3137841000033110"	"Abilify 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aripiprazole"	"10.000mg"	NA	"Aripiprazole"
"3137941000033119"	"Abilify 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aripiprazole"	"15.000mg"	NA	"Aripiprazole"
"3138041000033116"	"Abilify 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aripiprazole"	"30.000mg"	NA	"Aripiprazole"
