"Read.code"	"Term"	"Group"	"Aurum.Medcode"	"Gold.Medcode"	"On.QOF"	"On.OHID"
"Eu2z-1"	"[X]Psychosis NOS"	"other psychosis"	"424231000006116"	"694"	"YES"	"YES"
"Eu30"	"[X]Manic episode"	"bipolar"	"396741000006113"	"12173"	"YES"	"YES"
"Eu300"	"[X]Hypomania"	"bipolar"	"389401000006111"	"2741"	"YES"	"YES"
"Eu301"	"[X]Mania without psychotic symptoms"	"bipolar"	"296110017"	"13024"	"YES"	"YES"
"Eu30-1"	"\"[X]Bipolar disorder, single manic episode\""	"bipolar"	"367151000006111"	"9521"	"NO"	"YES"
"Eu302"	"[X]Mania with psychotic symptoms"	"bipolar"	"401863011"	"21065"	"YES"	"YES"
"Eu302-1"	"[X]Mania with mood-congruent psychotic symptoms"	"bipolar"	"396701000006111"	"37102"	"YES"	"YES"
"Eu302-2"	"[X]Mania with mood-incongruent psychotic symptoms"	"bipolar"	"396711000006114"	"48632"	"YES"	"YES"
"Eu302-3"	"[X]Manic stupor"	"bipolar"	"396761000006112"	"0"	"YES"	"YES"
"Eu30y"	"[X]Other manic episodes"	"bipolar"	"296118012"	"32088"	"YES"	"YES"
"Eu30z"	"\"[X]Manic episode, unspecified\""	"bipolar"	"401864017"	"44513"	"YES"	"YES"
"Eu30z-1"	"[X]Mania NOS"	"bipolar"	"396691000006111"	"4678"	"YES"	"YES"
"Eu31"	"[X]Bipolar affective disorder"	"bipolar"	"367101000006112"	"6874"	"YES"	"YES"
"Eu310"	"\"[X]Bipolar affective disorder, current episode hypomanic\""	"bipolar"	"367111000006110"	"16808"	"YES"	"YES"
"Eu311"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"bipolar"	"367081000006116"	"26299"	"YES"	"YES"
"Eu31-1"	"[X]Manic-depressive illness"	"bipolar"	"396791000006116"	"1531"	"YES"	"YES"
"Eu312"	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	"bipolar"	"367071000006119"	"28277"	"YES"	"YES"
"Eu31-2"	"[X]Manic-depressive psychosis"	"bipolar"	"396801000006115"	"6710"	"YES"	"YES"
"Eu313"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"bipolar"	"367091000006118"	"16562"	"YES"	"YES"
"Eu31-3"	"[X]Manic-depressive reaction"	"bipolar"	"396071000006119"	"66153"	"YES"	"YES"
"Eu314"	"\"[X]Bipol aff disord, curr epis sev depress, no psychot symp\""	"bipolar"	"367051000006112"	"23713"	"YES"	"YES"
"Eu315"	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	"bipolar"	"367061000006114"	"4732"	"YES"	"YES"
"Eu316"	"\"[X]Bipolar affective disorder, current episode mixed\""	"bipolar"	"367121000006119"	"44693"	"YES"	"YES"
"Eu317"	"\"[X]Bipolar affective disorder, currently in remission\""	"bipolar"	"296130018"	"27584"	"YES"	"YES"
"Eu318"	"[X]Bipolar affective disorder type I"	"bipolar"	"1785851000006110"	"104065"	"YES"	"YES"
"Eu319"	"[X]Bipolar affective disorder type II"	"bipolar"	"1785861000006112"	"103915"	"YES"	"YES"
"Eu319-1"	"[X]Bipolar II disorder"	"bipolar"	"1785871000006117"	"104051"	"YES"	"YES"
"Eu31y"	"SMI"	"bipolar"	"401865016"	"53840"	"YES"	"YES"
"Eu31y-1"	"[X]Bipolar II disorder"	"bipolar"	"367161000006113"	"73924"	"YES"	"YES"
"Eu31y-2"	"[X]Recurrent manic episodes"	"bipolar"	"424661000006111"	"51032"	"YES"	"YES"
"Eu31z"	"\"[X]Bipolar affective disorder, unspecified\""	"bipolar"	"296135011"	"33751"	"YES"	"YES"
"Eu332-3"	"\"[X]Manic-depress psychosis,depressd,no psychotic symptoms\""	"bipolar"	"396771000006117"	"29451"	"NO"	"YES"
"Eu333-2"	"\"[X]Manic-depress psychosis,depressed type+psychotic symptoms\""	"bipolar"	"396781000006119"	"28677"	"YES"	"YES"
"Eu3y0-1"	"[X]Mixed affective episode"	"bipolar"	"398541000006116"	"30688"	"NO"	"YES"
"Eu528"	"[X]Erotomania"	"other psychosis"	"2532965018"	"50326"	"NO"	"YES"
"ZRby100"	"\"Profile of mood states, bipolar\""	"bipolar"	NA	"30282"	"NO"	"NO"
"225E"	"O/E - paranoid delusions"	"other psychosis"	"2549129012"	"12472"	"NO"	"NO"
"6657-1"	"Lithium monitoring"	"bipolar"	"411890010"	"16889"	"NO"	"NO"
"1BH-1"	"Delusion"	"other psychosis"	"4569010"	"17982"	"NO"	"NO"
"1BH"	"Delusions"	"other psychosis"	"480834016"	"1915"	"NO"	"NO"
"1BH1"	"Grandiose delusions"	"other psychosis"	"369805011"	"32875"	"NO"	"NO"
"1BH2"	"Ideas of reference"	"other psychosis"	"492910018"	"55479"	"NO"	"NO"
"1BH3"	"Paranoid ideation"	"other psychosis"	"2548181016"	"22643"	"NO"	"NO"
"1BH0"	"Delusion of persecution"	"other psychosis"	"1452014"	"43462"	"NO"	"NO"
"212T"	"\"Psychosis, schizophrenia + bipolar affective disord resolved\""	"other psychosis"	"996171000006114"	"19345"	"NO"	"NO"
"212V"	"Bipolar affective disorder resolved"	"bipolar"	"492761000000114"	"85102"	"NO"	"NO"
"212W"	"Schizophrenia resolved"	"schizophrenia"	"492821000000113"	"88275"	"NO"	"NO"
"212X"	"Psychosis resolved"	"other psychosis"	"492881000000114"	"85972"	"NO"	"NO"
"6657"	"On lithium"	"bipolar"	"401522012"	"22564"	"NO"	"NO"
"6657-2"	"Started lithium"	"bipolar"	"401523019"	"34795"	"NO"	"NO"
"285-1"	"\"Psychotic condition, insight present\""	"other psychosis"	"402504012"	"4390"	"NO"	"NO"
"225F"	"O/E - delusion of persecution"	"other psychosis"	"2549426013"	"52523"	"NO"	"NO"
"665B"	"Lithium stopped"	"bipolar"	"264612016"	"19350"	"NO"	"NO"
"44W81"	"Lithium level high - toxic"	"bipolar"	"259418011"	"16641"	"NO"	"NO"
"K0C6"	"Chronic lithium nephrotoxicity"	"bipolar"	"1230030015"	"105680"	"NO"	"NO"
"9Ol7"	"Lithium monitoring third letter"	"bipolar"	"1141991000000116"	"100862"	"NO"	"NO"
"44vE"	"Lithium level therapeutic"	"bipolar"	"259417018"	"26146"	"NO"	"NO"
"8CE90"	"Lithium patient information booklet given"	"bipolar"	"1648881000000118"	"101020"	"NO"	"NO"
"9Ol5"	"Lithium monitoring first letter"	"bipolar"	"1141911000000113"	"99853"	"NO"	"NO"
"8BM00"	"Lithium annual review"	"bipolar"	"1658491000000117"	"101085"	"NO"	"NO"
"8Cd5"	"Advice given about lithium side-effects and toxicity"	"bipolar"	"1648961000000116"	"101021"	"NO"	"NO"
"44W8"	"Serum lithium level"	"bipolar"	"404498017"	"13772"	"NO"	"NO"
"9Ol6"	"Lithium monitoring second letter"	"bipolar"	"1141951000000112"	"100440"	"NO"	"NO"
"R1053"	"\"[D]Lithium, blood level abnormal\""	"bipolar"	"317648012"	"10338"	"NO"	"NO"
"44W80"	"Lithium level therapeutic"	"bipolar"	"741241000006115"	"12292"	"NO"	"NO"
"44W8-1"	"Lithium: blood level"	"bipolar"	"373672018"	"13771"	"NO"	"NO"
"665J"	"Lithium level checked at 3 monthly intervals"	"bipolar"	"1662121000000117"	"101694"	"NO"	"NO"
"665K"	"Lithium therapy record book completed"	"bipolar"	"1667141000000114"	"101675"	"NO"	"NO"
"46P3"	"Urine lithium"	"bipolar"	"68641000006116"	"33321"	"NO"	"NO"
"44W82"	"Lithium level low"	"bipolar"	"259419015"	"23111"	"NO"	"NO"
"46P30"	"Urine lithium concentration"	"bipolar"	"2322241000000116"	NA	"NO"	"NO"
